Road Name,Number of Contracts,Total Length of Works (Km),Condition Category
Z4024,0,0.0,A
Z5072,0,0.0,A
Z8405,0,0.0,A
Z1430,13,2.17,D
R280,0,0.0,A
Z1407,2,1.1,B
N105,1,28.74,D
Z2811,0,0.0,A
Z1059,0,0.0,A
N711,0,0.0,A
Z5010,1,7.0,C
Z1452,0,0.0,A
Z4607,1,1.0,B
Z1618,0,0.0,A
N605,0,0.0,A
Z4616,4,21.2,C
Z1443,5,6.88,D
Z1202,0,0.0,A
Z5001,1,2.01,B
Z1048,0,0.0,A
Z1416,0,0.0,A
N123,0,0.0,A
Z8414,0,0.0,A
Z5622,0,0.0,A
Z1421,0,0.0,A
Z5063,0,0.0,A
Z5701,2,7.79,C
Z5054,1,5.17,C
Z7007,0,0.0,A
R771,7,0.14,D
Z7030,0,0.0,A
R746,0,0.0,A
Z8913,0,0.0,A
Z7613,0,0.0,A
R152,0,0.0,A
R713,0,0.0,A
Z7707,4,4.46,C
Z6004,0,0.0,A
Z6033,1,1.9,B
Z8703,0,0.0,A
Z1054,0,0.0,A
Z1063,0,0.0,A
N203,0,0.0,A
R820,1,7.0,C
Z6855,0,0.0,A
Z8056,0,0.0,A
Z1036,0,0.0,A
Z5048,0,0.0,A
Z8003,0,0.0,A
Z8034,0,0.0,A
N503,0,0.0,A
Z5202,0,0.0,A
Z1001,0,0.0,A
Z8408,0,0.0,A
Z1122,0,0.0,A
N108,0,0.0,A
Z3707,1,3.0,B
Z7504,0,0.0,A
Z5080,4,7.97,C
Z3030,0,0.0,A
N804,2,11.73,C
R545,0,0.0,A
Z7551,0,0.0,A
R210,0,0.0,A
Z6018,0,0.0,A
Z3007,0,0.0,A
R451,0,0.0,A
R743,3,1.14,B
Z7002,0,0.0,A
Z8943,0,0.0,A
Z7409,0,0.0,A
Z7057,1,0.95,B
Z2048,0,0.0,A
Z7702,0,0.0,A
R160,0,0.0,A
Z8916,0,0.0,A
R602,0,0.0,A
N8,0,0.0,A
R480,0,0.0,A
Z2805,0,0.0,A
Z8205,0,0.0,A
N705,1,0.08,B
Z2832,0,0.0,A
Z5004,0,0.0,A
Z5051,0,0.0,A
Z6819,1,3.5,B
Z5066,0,0.0,A
Z4007,0,0.0,A
Z1018,0,0.0,A
Z5704,1,6.16,C
N126,0,0.0,A
Z1424,0,0.0,A
Z1413,0,0.0,A
N111,0,0.0,A
Z3616,0,0.0,A
Z2115,0,0.0,A
Z2122,0,0.0,A
Z7501,0,0.0,A
R240,0,0.0,A
Z2036,0,0.0,A
R301,0,0.0,A
Z1099,0,0.0,A
Z2063,0,0.0,A
Z3002,0,0.0,A
Z5855,0,0.0,A
Z7201,0,0.0,A
Z3035,0,0.0,A
N801,0,0.0,A
R222,0,0.0,A
Z1610,0,0.0,A
N206,0,0.0,A
Z1066,0,0.0,A
Z5507,0,0.0,A
Z8053,0,0.0,A
Z5018,1,3.0,B
R812,0,0.0,A
Z1051,0,0.0,A
Z7488,0,0.0,A
Z8706,0,0.0,A
Z5471,0,0.0,A
Z1127,0,0.0,A
Z1438,0,0.0,A
N506,3,2.53,B
Z8031,0,0.0,A
Z1004,0,0.0,A
Z5207,0,0.0,A
Z1033,0,0.0,A
Z6805,7,13.31,D
Z5552,0,0.0,A
R870,2,13.99,C
Z1022,0,0.0,A
R861,0,0.0,A
N520,0,0.0,A
N517,1,0.8,B
Z5709,2,4.94,B
Z1429,1,13.05,C
Z1136,0,0.0,A
Z1101,0,0.0,A
N403,0,0.0,A
N5,4,16.139,C
Z8717,1,4.3,B
Z2808,0,0.0,A
Z1040,0,0.0,A
Z8208,1,1.0,B
N708,0,0.0,A
Z5009,0,0.0,A
Z8603,4,1.62,C
Z1636,0,0.0,A
Z5402,0,0.0,A
Z1601,0,0.0,A
N303,0,0.0,A
Z3024,2,5.44,C
Z2045,0,0.0,A
Z7451,0,0.0,A
Z1088,0,0.0,A
R310,5,34.82,D
Z7466,0,0.0,A
R251,0,0.0,A
R504,0,0.0,A
Z3713,0,0.0,A
Z2010,0,0.0,A
R372,0,0.0,A
Z7404,0,0.0,A
