road,LRPName,length,condition,roadName
N1,LRP037a,1408.8,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP049a,15.9,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP051a,12.2,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP064c,3.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP068a,4.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP077a,1.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP083a,1.4,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP083b,2.9,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP088a,23.4,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP098a,27.9,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP101a,30.48,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP101a,30.4,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP105a,14.3,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP107a,24.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP109a,9.2,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP111a,3.2,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP112a,13.4,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP118d,2.6,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
