LRPName,avg_earthquake_score
LRP001a,0.569078947368421
LRP001b,0.586111111111111
LRP001c,0.5297029702970297
LRP001d,0.618421052631579
LRP001e,0.5
LRP001f,0.33333333333333337
LRP001g,0.33333333333333337
LRP001k,0.5
LRP002a,0.5844594594594594
LRP002b,0.5566502463054188
LRP002c,0.5296610169491525
LRP002d,0.5945945945945945
LRP002e,0.4782608695652174
LRP002f,0.5
LRP002g,0.6666666666666667
LRP002h,0.5
LRP002i,0.5
LRP002j,0.5
LRP003a,0.5829831932773109
LRP003b,0.5724637681159421
LRP003c,0.5892857142857142
LRP003d,0.5681818181818181
LRP003e,0.5
LRP003f,0.55
LRP003g,0.4
LRP003h,1.0
LRP003i,0.5
LRP004a,0.5899772209567198
LRP004b,0.5941176470588236
LRP004c,0.5613207547169812
LRP004d,0.47058823529411764
LRP004e,0.43333333333333335
LRP004f,0.33333333333333337
LRP004g,0.0
LRP004i,0.33333333333333337
LRP004k,0.0
LRP005a,0.5962025316455697
LRP005b,0.54
LRP005c,0.5904761904761904
LRP005d,0.5543478260869565
LRP005e,0.5625
LRP005f,0.6875
LRP005g,0.5
LRP005h,0.5
LRP006a,0.597051597051597
LRP006b,0.5974842767295598
LRP006c,0.586021505376344
LRP006d,0.5344827586206897
LRP006e,0.40909090909090906
LRP006f,0.19999999999999996
LRP006g,0.5
LRP006h,0.0
LRP007a,0.6117021276595744
LRP007b,0.5597014925373134
LRP007c,0.54
LRP007d,0.515625
LRP007e,0.5714285714285714
LRP007f,0.41666666666666663
LRP007g,0.5
LRP007h,0.5
LRP007i,0.5
LRP007k,0.5
LRP008a,0.5787500000000001
LRP008b,0.5629629629629629
LRP008c,0.553191489361702
LRP008d,0.5789473684210527
LRP008e,0.6499999999999999
LRP008f,0.5
LRP008g,0.5
LRP008k,0.5
LRP009a,0.5749279538904899
LRP009b,0.5629921259842521
LRP009c,0.6081081081081081
LRP009d,0.55
LRP009e,0.4545454545454546
LRP009f,0.0
LRP009g,0.25
LRP009j,0.0
LRP009k,0.0
LRP010a,0.57439446366782
LRP010b,0.5450819672131149
LRP010c,0.5421686746987953
LRP010d,0.3846153846153846
LRP010e,0.6363636363636365
LRP010f,0.5
LRP011a,0.5616883116883118
LRP011b,0.5285714285714285
LRP011c,0.5
LRP011d,0.5555555555555556
LRP011e,0.4642857142857143
LRP011f,0.33333333333333337
LRP011g,0.25
LRP011h,0.5
LRP012a,0.5892857142857142
LRP012b,0.5333333333333334
LRP012c,0.5078125
LRP012d,0.5192307692307692
LRP012e,0.5909090909090908
LRP012f,0.30000000000000004
LRP012g,0.4285714285714286
LRP012i,0.5
LRP012j,0.5
LRP013a,0.566420664206642
LRP013b,0.5984251968503937
LRP013c,0.5384615384615385
LRP013d,0.5925925925925926
LRP013e,0.4545454545454546
LRP013f,0.33333333333333337
LRP013g,0.30000000000000004
LRP013h,0.33333333333333337
LRP013i,0.0
LRP013j,0.0
LRP013k,0.0
LRP014a,0.5490566037735849
LRP014b,0.5476190476190477
LRP014c,0.5514705882352942
LRP014d,0.5625
LRP014e,0.5
LRP014f,0.6000000000000001
LRP015a,0.5868725868725868
LRP015b,0.5384615384615385
LRP015c,0.5238095238095237
LRP015d,0.5652173913043479
LRP015e,0.4444444444444444
LRP015f,0.0
LRP015h,0.5
LRP016a,0.5432098765432098
LRP016b,0.5862068965517242
LRP016c,0.5
LRP016d,0.34782608695652173
LRP016e,0.5
LRP016f,0.5
LRP017a,0.5738095238095238
LRP017b,0.6388888888888888
LRP017c,0.55
LRP017d,0.5714285714285714
LRP017e,0.5625
LRP017f,0.6666666666666667
LRP017g,0.0
LRP017i,0.0
LRP018a,0.5965346534653466
LRP018b,0.4593023255813954
LRP018c,0.49056603773584906
LRP018d,0.5357142857142858
LRP018e,0.6875
LRP018f,0.5
LRP018g,0.5
LRP018i,0.5
LRP018k,0.5
LRP018m,0.5
LRP018o,0.5
LRP019a,0.5909090909090908
LRP019b,0.5874999999999999
LRP019c,0.5731707317073171
LRP019d,0.5588235294117647
LRP019e,0.5
LRP019f,0.5
LRP020a,0.5479041916167664
LRP020b,0.6041666666666667
LRP020c,0.47959183673469385
LRP020d,0.5263157894736843
LRP020e,0.5625
LRP021a,0.6312849162011174
LRP021b,0.515625
LRP021c,0.609375
LRP021d,0.6363636363636365
LRP021e,0.5555555555555556
LRP021f,0.5
LRP022a,0.6000000000000001
LRP022b,0.5975609756097562
LRP022c,0.4655172413793104
LRP022d,0.5
LRP023a,0.5945945945945945
LRP023b,0.5701754385964912
LRP023c,0.564516129032258
LRP023d,0.6111111111111112
LRP023e,0.4
LRP024a,0.6058394160583942
LRP024b,0.6309523809523809
LRP024c,0.5192307692307692
LRP024d,0.5
LRP024e,0.75
LRP024f,0.5
LRP025a,0.6000000000000001
LRP025b,0.5800000000000001
LRP025c,0.5
LRP025d,0.44999999999999996
LRP025e,0.16666666666666663
LRP025f,0.5
LRP025h,1.0
LRP026a,0.627906976744186
LRP026b,0.5945945945945945
LRP026c,0.5909090909090908
LRP026d,0.5
LRP026e,0.625
LRP026f,1.0
LRP027a,0.5874999999999999
LRP027b,0.6363636363636365
LRP027c,0.5576923076923077
LRP027d,0.30000000000000004
LRP027e,0.6666666666666667
LRP027f,0.0
LRP028a,0.6136363636363635
LRP028b,0.5918367346938775
LRP028c,0.40909090909090906
LRP028d,0.5
LRP028e,0.6666666666666667
LRP028f,0.5
LRP028g,0.5
LRP028h,0.0
LRP029a,0.5454545454545454
LRP029b,0.5595238095238095
LRP029c,0.5263157894736843
LRP029d,0.5454545454545454
LRP029e,1.0
LRP029f,0.75
LRP030a,0.5567010309278351
LRP030b,0.5375000000000001
LRP030c,0.5588235294117647
LRP030d,0.4285714285714286
LRP030e,0.5
LRP030g,0.5
LRP030h,0.5
LRP031a,0.5714285714285714
LRP031b,0.5294117647058822
LRP031c,0.52
LRP031d,0.30000000000000004
LRP031e,0.5
LRP031f,0.5
LRP032a,0.6136363636363635
LRP032b,0.4571428571428572
LRP032c,0.5
LRP032d,0.36363636363636365
LRP032e,0.5
LRP033a,0.6105263157894736
LRP033b,0.5465116279069768
LRP033c,0.6111111111111112
LRP033d,0.4
LRP033e,0.0
LRP034a,0.5666666666666667
LRP034b,0.5151515151515151
LRP034c,0.5555555555555556
LRP034d,0.5
LRP034e,0.5
LRP035a,0.5721649484536082
LRP035b,0.5909090909090908
LRP035c,0.3666666666666667
LRP035d,0.5
LRP035e,0.25
LRP035f,0.5
LRP036a,0.6024096385542168
LRP036b,0.588235294117647
LRP036c,0.6111111111111112
LRP036d,0.2857142857142857
LRP036e,0.375
LRP036f,0.5
LRP037a,0.5864197530864197
LRP037b,0.4464285714285714
LRP037c,0.5555555555555556
LRP037d,0.5
LRP037g,0.5
LRP038a,0.5714285714285714
LRP038b,0.375
LRP038c,0.4642857142857143
LRP038d,0.6666666666666667
LRP038e,0.5
LRP039a,0.5670731707317074
LRP039b,0.42105263157894735
LRP039c,0.5666666666666667
LRP039d,0.3571428571428571
LRP039e,1.0
LRP040a,0.5724637681159421
LRP040b,0.4629629629629629
LRP040c,0.5769230769230769
LRP040d,0.5
LRP040e,0.5
LRP041a,0.5423728813559323
LRP041b,0.4772727272727273
LRP041c,0.5
LRP041e,0.6666666666666667
LRP041f,0.5
LRP042a,0.47619047619047616
LRP042b,0.5333333333333334
LRP042c,0.4117647058823529
LRP042d,0.5
LRP042e,0.5
LRP042g,0.5
LRP043a,0.564516129032258
LRP043b,0.5434782608695652
LRP043c,0.6666666666666667
LRP043d,0.5
LRP043e,1.0
LRP043f,0.75
LRP044a,0.5603448275862069
LRP044b,0.5869565217391304
LRP044c,0.5
LRP044d,0.625
LRP044e,0.75
LRP044f,0.5
LRP044g,0.5
LRP045a,0.5952380952380953
LRP045b,0.631578947368421
LRP045c,0.4444444444444444
LRP045d,0.25
LRP045e,0.5
LRP045f,0.5
LRP045g,0.5
LRP046a,0.5808823529411764
LRP046b,0.5555555555555556
LRP046c,0.5625
LRP046d,0.5
LRP046e,0.5
LRP046f,0.5
LRP046g,0.5
LRP046h,0.5
LRP047a,0.6346153846153846
LRP047b,0.6000000000000001
LRP047c,0.6666666666666667
LRP047d,0.25
LRP047e,0.25
LRP048a,0.6037735849056605
LRP048b,0.5833333333333333
LRP048c,0.25
LRP048d,1.0
LRP049a,0.6296296296296295
LRP049b,0.55
LRP049c,0.6666666666666667
LRP049d,0.5625
LRP049e,0.5
LRP050a,0.5108695652173914
LRP050b,0.6666666666666667
LRP050c,0.625
LRP050d,0.5
LRP051a,0.5816326530612246
LRP051b,0.5714285714285714
LRP051c,0.5909090909090908
LRP051d,0.75
LRP051e,0.5
LRP052a,0.5232558139534884
LRP052b,0.6428571428571428
LRP052c,0.41666666666666663
LRP052d,0.5
LRP052e,0.0
LRP053a,0.5700000000000001
LRP053b,0.605263157894737
LRP053c,0.7
LRP053d,0.8333333333333333
LRP053e,0.5
LRP053f,0.5
LRP053g,0.5
LRP054a,0.627906976744186
LRP054b,0.5
LRP054c,0.5
LRP054d,0.5
LRP054e,0.5
LRP055a,0.5625
LRP055b,0.5625
LRP055c,0.7142857142857142
LRP055d,0.75
LRP055e,0.5
LRP056a,0.5294117647058822
LRP056b,0.5769230769230769
LRP056c,0.5
LRP056d,0.6666666666666667
LRP057a,0.5714285714285714
LRP057b,0.4
LRP057c,0.25
LRP057d,0.5
LRP058a,0.5909090909090908
LRP058b,0.59375
LRP058c,0.5
LRP058d,0.5
LRP058e,0.5
LRP058f,0.5
LRP059a,0.625
LRP059b,0.5
LRP059c,0.38888888888888884
LRP059e,0.0
LRP060a,0.5714285714285714
LRP060b,0.6363636363636365
LRP060c,0.5833333333333333
LRP061a,0.5740740740740742
LRP061b,0.5
LRP061c,0.1875
LRP061d,0.0
LRP061e,0.0
LRP061f,0.0
LRP062a,0.6499999999999999
LRP062b,0.6153846153846154
LRP062c,0.5714285714285714
LRP063a,0.5625
LRP063b,0.8
LRP063c,0.5
LRP064a,0.5535714285714286
LRP064b,0.7142857142857142
LRP064c,0.75
LRP064e,1.0
LRP065a,0.6200000000000001
LRP065b,0.375
LRP065c,0.5
LRP065d,0.0
LRP066a,0.6041666666666667
LRP066b,0.5
LRP066c,0.6000000000000001
LRP066d,0.6666666666666667
LRP066e,0.75
LRP067a,0.6499999999999999
LRP067b,0.7
LRP067c,0.5
LRP067d,0.0
LRP067e,0.25
LRP068a,0.625
LRP068b,0.6666666666666667
LRP068c,0.7
LRP068d,0.75
LRP068e,0.75
LRP068f,0.5
LRP069a,0.5555555555555556
LRP069b,0.5
LRP069c,0.16666666666666663
LRP069d,0.5
LRP069e,0.5
LRP070a,0.5217391304347827
LRP070b,0.625
LRP070c,0.5
LRP070d,0.5
LRP071a,0.6333333333333333
LRP071b,0.7
LRP071c,0.8333333333333333
LRP071e,1.0
LRP072a,0.6153846153846154
LRP072b,0.5
LRP072c,0.75
LRP072d,0.5
LRP072e,1.0
LRP073a,0.625
LRP073b,0.7857142857142858
LRP073c,0.5
LRP073e,0.5
LRP073f,0.5
LRP073g,0.5
LRP074a,0.5
LRP074b,0.625
LRP074c,0.25
LRP075a,0.5526315789473684
LRP075b,0.5833333333333333
LRP075c,0.6666666666666667
LRP076a,0.5277777777777777
LRP076b,0.5625
LRP076c,0.125
LRP076d,0.625
LRP076e,0.5
LRP077a,0.5714285714285714
LRP077b,0.5833333333333333
LRP077c,0.41666666666666663
LRP078a,0.5625
LRP078b,0.7
LRP078c,1.0
LRP079a,0.6428571428571428
LRP079b,0.5625
LRP079d,0.5
LRP080a,0.7142857142857142
LRP080b,0.7857142857142858
LRP080c,0.25
LRP081a,0.6785714285714286
LRP081b,0.8333333333333333
LRP081c,1.0
LRP082a,0.625
LRP082b,0.7
LRP082c,0.5
LRP083a,0.6176470588235294
LRP083b,0.5
LRP083c,0.25
LRP084a,0.5714285714285714
LRP084b,0.7
LRP084c,0.0
LRP085a,0.5833333333333333
LRP085b,0.8333333333333333
LRP085d,1.0
LRP086a,0.7142857142857142
LRP086b,0.875
LRP087a,0.55
LRP087b,0.75
LRP087c,0.5
LRP087d,0.5
LRP088a,0.6785714285714286
LRP088b,0.75
LRP088c,0.5
LRP088d,0.5
LRP088e,0.5
LRP089a,0.7727272727272727
LRP089b,0.75
LRP089c,0.5
LRP089d,0.5
LRP090a,0.6333333333333333
LRP090b,0.5
LRP091a,0.6875
LRP091b,0.5555555555555556
LRP091d,0.5
LRP091e,0.5
LRP092a,0.6000000000000001
LRP092b,0.8333333333333333
LRP092c,0.25
LRP093a,0.7222222222222223
LRP093b,0.8333333333333333
LRP093c,0.5
LRP093e,1.0
LRP094a,0.55
LRP094b,0.5
LRP094c,0.5
LRP095a,0.7222222222222223
LRP095b,0.5
LRP095c,0.6666666666666667
LRP096a,0.6875
LRP096b,0.0
LRP096c,0.33333333333333337
LRP097a,0.6818181818181819
LRP097b,1.0
LRP098a,0.5833333333333333
LRP098b,0.75
LRP098c,1.0
LRP099a,0.6111111111111112
LRP099b,0.25
LRP100a,0.6818181818181819
LRP100b,0.5
LRP101a,0.5833333333333333
LRP101c,0.5
LRP102a,0.5
LRP102c,0.5
LRP103a,0.5
LRP103b,0.6666666666666667
LRP103c,0.5
LRP104a,0.6363636363636365
LRP104c,0.75
LRP105a,0.5454545454545454
LRP105b,0.5
LRP105d,0.5
LRP106a,0.6499999999999999
LRP106b,0.33333333333333337
LRP107a,0.5555555555555556
LRP107b,0.75
LRP108a,0.6428571428571428
LRP108b,0.6000000000000001
LRP109a,0.6111111111111112
LRP109b,0.0
LRP109c,0.25
LRP110a,0.5833333333333333
LRP110b,1.0
LRP110c,0.75
LRP110d,1.0
LRP111a,0.6111111111111112
LRP111b,0.75
LRP111c,0.5
LRP111d,1.0
LRP111e,0.5
LRP111f,0.5
LRP112a,0.5555555555555556
LRP112b,0.5
LRP113a,0.55
LRP113b,0.375
LRP114a,0.5
LRP114b,1.0
LRP114c,0.5
LRP114e,0.5
LRP115a,0.5909090909090908
LRP115b,0.5
LRP115c,0.5
LRP116a,0.6875
LRP116b,0.6666666666666667
LRP116c,0.5
LRP116d,0.8333333333333333
LRP117a,0.5
LRP117b,0.6666666666666667
LRP117d,0.0
LRP118a,0.5714285714285714
LRP118b,0.5
LRP118d,0.25
LRP118e,0.0
LRP118g,0.0
LRP119a,0.5
LRP119b,0.6000000000000001
LRP119c,0.0
LRP120a,0.6666666666666667
LRP120b,0.5
LRP121a,0.7
LRP121b,0.75
LRP121c,0.0
LRP122a,0.6428571428571428
LRP122b,0.6666666666666667
LRP123a,0.6666666666666667
LRP123b,0.5
LRP123c,0.5
LRP123d,0.0
LRP123e,0.0
LRP124a,0.6428571428571428
LRP124c,0.0
LRP125a,0.6875
LRP125b,0.5
LRP125c,0.5
LRP125d,0.0
LRP126a,0.6666666666666667
LRP126b,0.6666666666666667
LRP126c,0.0
LRP126d,0.0
LRP127a,0.5
LRP127b,0.75
LRP127c,0.0
LRP128a,0.5833333333333333
LRP128b,0.6666666666666667
LRP129a,0.6666666666666667
LRP129b,0.375
LRP129c,0.5
LRP129d,1.0
LRP129e,1.0
LRP130a,0.7
LRP130b,0.75
