LRPName,avg_flood_score
LRP001a,0.2534435261707989
LRP001b,0.23972602739726026
LRP001c,0.21851851851851853
LRP001d,0.1724137931034483
LRP001e,0.22916666666666666
LRP001f,0.0
LRP001g,0.3333333333333333
LRP001k,0.3333333333333333
LRP002a,0.2833333333333333
LRP002b,0.23839662447257384
LRP002c,0.2708333333333333
LRP002d,0.15277777777777776
LRP002e,0.20370370370370372
LRP002f,0.16666666666666666
LRP002g,0.1111111111111111
LRP002i,0.3333333333333333
LRP002j,0.3333333333333333
LRP003a,0.27445652173913043
LRP003b,0.2298850574712644
LRP003c,0.23106060606060608
LRP003d,0.30630630630630634
LRP003e,0.15789473684210525
LRP003f,0.1111111111111111
LRP003g,0.0
LRP003h,0.0
LRP003i,0.0
LRP004a,0.2938967136150235
LRP004b,0.2792022792022792
LRP004c,0.28174603174603174
LRP004d,0.2738095238095238
LRP004e,0.25
LRP004f,0.6666666666666666
LRP004g,0.0
LRP004i,0.0
LRP004k,0.0
LRP005a,0.3227176220806794
LRP005b,0.2621082621082621
LRP005c,0.32510288065843623
LRP005d,0.2222222222222222
LRP005e,0.2222222222222222
LRP005f,0.2380952380952381
LRP005g,0.16666666666666666
LRP005h,0.0
LRP006a,0.28512820512820514
LRP006b,0.2741935483870968
LRP006c,0.2412280701754386
LRP006d,0.20833333333333334
LRP006e,0.041666666666666664
LRP006f,0.06666666666666667
LRP006g,0.0
LRP006h,0.0
LRP007a,0.2812846068660022
LRP007b,0.23492063492063495
LRP007c,0.31746031746031744
LRP007d,0.30952380952380953
LRP007e,0.2222222222222222
LRP007f,0.16666666666666666
LRP007g,0.0
LRP007h,0.3333333333333333
LRP007i,0.1111111111111111
LRP007k,0.0
LRP008a,0.30852211434735705
LRP008b,0.2908496732026144
LRP008c,0.3377777777777778
LRP008d,0.3333333333333333
LRP008e,0.3333333333333333
LRP008f,0.0
LRP008g,0.0
LRP008k,0.0
LRP009a,0.2964329643296433
LRP009b,0.3042071197411003
LRP009c,0.34972677595628415
LRP009d,0.24731182795698925
LRP009e,0.26666666666666666
LRP009f,0.0
LRP009g,0.5
LRP009j,0.6666666666666666
LRP009k,0.6666666666666666
LRP010a,0.32318840579710145
LRP010b,0.3129251700680272
LRP010c,0.29523809523809524
LRP010d,0.2222222222222222
LRP010e,0.14814814814814814
LRP010f,0.0
LRP011a,0.2938775510204082
LRP011b,0.29069767441860467
LRP011c,0.2631578947368421
LRP011d,0.24242424242424243
LRP011e,0.125
LRP011f,0.0
LRP011g,0.0
LRP011h,0.0
LRP012a,0.2838541666666667
LRP012b,0.23297491039426524
LRP012c,0.2142857142857143
LRP012d,0.3
LRP012e,0.25925925925925924
LRP012f,0.25
LRP012g,0.0
LRP012i,0.0
LRP012j,0.0
LRP013a,0.2850678733031674
LRP013b,0.18556701030927836
LRP013c,0.26666666666666666
LRP013d,0.3333333333333333
LRP013e,0.16666666666666666
LRP013f,0.3333333333333333
LRP013g,0.0
LRP013h,0.2222222222222222
LRP014a,0.3092006033182504
LRP014b,0.2474747474747475
LRP014c,0.2033898305084746
LRP014d,0.2698412698412698
LRP014e,0.27272727272727276
LRP014f,0.0
LRP015a,0.2745098039215686
LRP015b,0.23958333333333334
LRP015c,0.20567375886524822
LRP015d,0.24242424242424243
LRP015e,0.2916666666666667
LRP015f,0.0
LRP016a,0.26
LRP016b,0.26666666666666666
LRP016c,0.24166666666666667
LRP016d,0.2962962962962963
LRP016e,0.16666666666666666
LRP016f,0.3333333333333333
LRP017a,0.2777777777777778
LRP017b,0.20952380952380953
LRP017c,0.2280701754385965
LRP017d,0.22916666666666666
LRP017e,0.05555555555555555
LRP017f,0.16666666666666666
LRP017g,0.6666666666666666
LRP017i,0.6666666666666666
LRP018a,0.2791666666666667
LRP018b,0.20952380952380953
LRP018c,0.2222222222222222
LRP018d,0.2333333333333333
LRP018e,0.2857142857142857
LRP018f,0.6666666666666666
LRP018g,0.0
LRP018i,0.0
LRP018k,0.0
LRP018m,0.0
LRP018o,0.0
LRP019a,0.2222222222222222
LRP019b,0.20952380952380953
LRP019c,0.23423423423423426
LRP019d,0.11904761904761905
LRP019e,0.0
LRP019f,0.0
LRP020a,0.30092592592592593
LRP020b,0.28125
LRP020c,0.14814814814814814
LRP020d,0.24074074074074073
LRP020e,0.16666666666666666
LRP021a,0.2679738562091503
LRP021b,0.20833333333333334
LRP021c,0.16091954022988506
