Road Name,Number of Contracts,Total Length of Works (Km)
Z8003,0,0.0
Z8034,0,0.0
N503,0,0.0
Z5202,0,0.0
Z1001,0,0.0
Z8408,0,0.0
Z1122,0,0.0
N108,0,0.0
Z3707,1,3.0
Z7504,0,0.0
Z5080,4,7.97
Z3030,0,0.0
N804,2,11.73
R545,0,0.0
Z7551,0,0.0
R210,0,0.0
Z6018,0,0.0
Z3007,0,0.0
R451,0,0.0
R743,3,1.14
Z7002,0,0.0
Z8943,0,0.0
Z7409,0,0.0
Z7057,1,0.95
Z2048,0,0.0
Z7702,0,0.0
R160,0,0.0
Z8916,0,0.0
R602,0,0.0
N8,0,0.0
R480,0,0.0
Z2805,0,0.0
Z8205,0,0.0
N705,1,0.08
Z2832,0,0.0
Z5004,0,0.0
Z5051,0,0.0
Z6819,1,3.5
Z5066,0,0.0
Z4007,0,0.0
Z1018,0,0.0
Z5704,1,6.16
N126,0,0.0
Z1424,0,0.0
Z1413,0,0.0
N111,0,0.0
Z3616,0,0.0
Z2115,0,0.0
Z2122,0,0.0
Z7501,0,0.0
R240,0,0.0
Z2036,0,0.0
R301,0,0.0
Z1099,0,0.0
Z2063,0,0.0
Z3002,0,0.0
Z5855,0,0.0
Z7201,0,0.0
Z3035,0,0.0
N801,0,0.0
R222,0,0.0
Z1610,0,0.0
N206,0,0.0
Z1066,0,0.0
Z5507,0,0.0
Z8053,0,0.0
Z5018,1,3.0
R812,0,0.0
Z1051,0,0.0
Z7488,0,0.0
Z8706,0,0.0
Z5471,0,0.0
Z1127,0,0.0
Z1438,0,0.0
N506,3,2.53
Z8031,0,0.0
Z1004,0,0.0
Z5207,0,0.0
Z1033,0,0.0
Z6805,7,13.31
Z5552,0,0.0
R870,2,13.99
Z1022,0,0.0
R861,0,0.0
N520,0,0.0
N517,1,0.8
Z5709,2,4.94
Z1429,1,13.05
Z1136,0,0.0
Z1101,0,0.0
N403,0,0.0
N5,4,16.139
Z8717,1,4.3
Z2808,0,0.0
Z1040,0,0.0
Z8208,1,1.0
N708,0,0.0
Z5009,0,0.0
Z8603,4,1.62
Z1636,0,0.0
Z5402,0,0.0
Z1601,0,0.0
N303,0,0.0
Z3024,2,5.44
Z2045,0,0.0
Z7451,0,0.0
Z1088,0,0.0
R310,5,34.82
Z7466,0,0.0
R251,0,0.0
R504,0,0.0
Z3713,0,0.0
Z2010,0,0.0
R372,0,0.0
Z7404,0,0.0
Z3607,2,2.28
Z1402,1,0.109
Z1009,0,0.0
Z4016,0,0.0
Z4021,0,0.0
Z5040,0,0.0
Z4602,2,1.23
R585,8,36.65
Z2823,1,6.02
Z1216,0,0.0
Z5015,0,0.0
Z5022,2,7.87
Z1221,0,0.0
R171,0,0.0
Z7607,0,0.0
R146,0,0.0
Z5858,0,0.0
Z6010,0,0.0
Z6027,0,0.0
Z3038,0,0.0
Z1811,0,0.0
R113,0,0.0
R765,1,15.02
Z7024,0,0.0
Z8611,0,0.0
Z5410,0,0.0
Z8067,0,0.0
R180,0,0.0
Z1052,0,0.0
Z8705,1,1.0
N205,0,0.0
Z1065,0,0.0
Z5504,0,0.0
Z6853,0,0.0
Z1124,0,0.0
Z5472,0,0.0
Z1030,0,0.0
Z5551,0,0.0
Z8005,0,0.0
Z6806,2,25.5
Z8032,0,0.0
N505,0,0.0
Z1007,0,0.0
Z4018,0,0.0
Z8750,0,0.0
Z2121,0,0.0
Z3615,2,5.09
R360,3,45.8
Z2035,0,0.0
Z5803,0,0.0
Z2002,0,0.0
Z7502,0,0.0
Z3701,1,19.4
R460,2,2.0
Z8909,0,0.0
Z7609,0,0.0
R302,0,0.0
R543,0,0.0
Z6029,3,1.4
Z3036,0,0.0
N802,1,3.0
R221,0,0.0
Z5856,3,1.75
N706,0,0.0
Z2831,0,0.0
Z5007,0,0.0
Z2806,0,0.0
Z8206,0,0.0
Z4610,0,0.0
Z1472,0,0.0
Z1445,3,3.4
N519,0,0.0
Z1504,0,0.0
Z5707,3,6.02
Z5613,1,2.02
N112,0,0.0
N125,0,0.0
Z8412,0,0.0
Z5624,0,0.0
Z7001,0,0.0
Z3609,0,0.0
R890,0,0.0
Z7701,2,1.8
Z6035,0,0.0
Z7054,0,0.0
Z7615,1,0.5
R163,0,0.0
Z8915,0,0.0
R601,10,55.38
Z7468,0,0.0
Z1086,0,0.0
R145,0,0.0
Z7604,0,0.0
R172,0,0.0
Z6024,1,1.8
Z1812,0,0.0
Z7045,1,5.89
Z7710,0,0.0
Z8810,0,0.0
R110,1,1.0
R881,0,0.0
Z2038,0,0.0
Z1129,0,0.0
Z1436,1,8.0
Z1401,0,0.0
Z4101,0,0.0
N103,0,0.0
Z4022,0,0.0
Z5043,0,0.0
Z5074,0,0.0
N508,0,0.0
Z4015,0,0.0
Z5209,2,3.45
Z1629,0,0.0
R586,1,0.08
N603,0,0.0
Z5021,0,0.0
Z8708,0,0.0
N208,0,0.0
Z5509,0,0.0
Z3010,0,0.0
Z7059,0,0.0
Z7618,0,0.0
Z7465,0,0.0
R313,7,14.86
Z7452,0,0.0
Z3710,0,0.0
Z2013,0,0.0
Z7407,0,0.0
R371,1,34.52
Z3604,2,0.62
N514,0,0.0
Z8023,0,0.0
Z4009,0,0.0
Z1016,0,0.0
Z1021,0,0.0
Z6817,1,16.16
Z1102,0,0.0
Z5301,0,0.0
Z5463,0,0.0
N128,0,0.0
Z1135,0,0.0
N6,0,0.0
Z1043,0,0.0
Z5401,0,0.0
Z1602,0,0.0
Z1448,0,0.0
Z1510,2,4.18
Z1038,0,0.0
Z5046,0,0.0
Z5559,0,0.0
Z4104,0,0.0
N106,0,0.0
Z1433,6,5.38
R283,0,0.0
N712,0,0.0
Z8058,0,0.0
Z1210,0,0.0
Z5024,1,4.53
Z2812,0,0.0
Z4604,0,0.0
Z1466,0,0.0
Z8815,0,0.0
Z3009,0,0.0
Z7715,0,0.0
Z6021,8,4.72
Z7040,0,0.0
R140,17,47.65
Z3709,4,19.52
Z1130,0,0.0
N405,0,0.0
Z8011,3,30.69
Z6812,0,0.0
R850,0,0.0
N511,0,0.0
Z1013,0,0.0
Z5210,0,0.0
Z8605,0,0.0
Z5404,0,0.0
N3,3,2.33
Z1046,0,0.0
N211,0,0.0
Z1071,0,0.0
Z8044,0,0.0
Z5510,0,0.0
Z7457,0,0.0
Z7460,0,0.0
R316,0,0.0
R557,0,0.0
R202,0,0.0
Z7709,0,0.0
R560,1,38.86
Z5903,0,0.0
Z3601,0,0.0
R748,1,0.43
Z3040,1,15.96
Z2016,0,0.0
Z3704,3,10.9
Z3004,0,0.0
Z7718,0,0.0
Z3033,0,0.0
R546,0,0.0
Z7552,0,0.0
Z1060,0,0.0
Z8055,0,0.0
Z5501,0,0.0
Z6856,0,0.0
Z8062,0,0.0
R814,0,0.0
Z5029,0,0.0
Z1057,0,0.0
Z4609,0,0.0
Z1616,0,0.0
Z8037,0,0.0
Z1002,0,0.0
Z1035,0,0.0
R685,0,0.0
Z5554,0,0.0
Z6803,2,5.26
Z1121,0,0.0
R745,1,5.03
R772,0,0.0
Z7004,0,0.0
Z1083,0,0.0
R151,0,0.0
Z8910,0,0.0
Z7610,0,0.0
R604,2,2.2
Z6030,0,0.0
Z1806,0,0.0
R710,8,24.12
Z7704,0,0.0
Z8804,0,0.0
Z1440,0,0.0
Z4622,0,0.0
Z5409,0,0.0
Z4615,0,0.0
Z5035,0,0.0
Z8203,1,23.89
Z2834,0,0.0
N703,0,0.0
Z8049,0,0.0
Z1201,0,0.0
Z5002,0,0.0
N120,0,0.0
Z5621,0,0.0
Z1422,5,15.81
Z1415,0,0.0
