road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc,cleaned_name,LR_indicator,is_on_land,is_connected_to_road
N1,31.472,PC Girder Bridge,LRP032a,VOBAR CHAR (L),29.0,A,109831,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.472,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5605,90.6541944444444,bcs1,VOBAR CHAR,L,True,True
N1,32.121,PC Girder Bridge,LRP032d,BOBARCHAR BRIDGE(L),28.9,A,109825,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,9.2,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5564722222222,90.6588611111111,bcs1,BOBARCHAR BRIDGE,L,True,True
N1,33.591,PC Girder Bridge,LRP034a,Madhya Baushia Bridge(L),72.49,A,120028,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,9.15,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5473611111111,90.6695,bcs1,MADHYA BAUSHIA BRIDGE,L,True,True
N1,35.181,Box Culvert,LRP035a,.,9.5,A,117863,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.181,21.2,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5342222222222,90.6843333333333,bcs1,,R,True,True
N1,35.408,PC Girder Bridge,LRP036a,Baushia bazar Bridge( L ),25.45,A,120030,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.408,9.2,1995.0,17.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.529916,90.6952219,road_precise,BAUSHIA BAZAR BRIDGE,L,True,True
N1,50.558,Box Culvert,LRP051a,RAIPUR BOX CULVERT,12.2,A,101147,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,50.558,11.6,1988.0,2.0,Comilla,Comilla,Comilla,Gouripur,23.5347222222222,90.825,bcs1,RAIPUR BOX CULVERT,,True,True
N1,63.538,Box Culvert,LRP064c,SONAPUR BOX CULVERT,3.0,A,101169,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,63.538,12.4,1992.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.5023888888888,90.9420277777777,bcs1,SONAPUR BOX CULVERT,,True,True
N1,68.04,Box Culvert,LRP068a,MILL GHAT BOX CULVERT,4.5,A,101175,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,68.04,8.3,1991.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4951944444444,90.983,bcs1,MILL GHAT BOX CULVERT,,True,True
N1,76.481,Slab Culvert,LRP077a,NIMSHAR SLAB CULVERT,1.5,A,101189,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,76.481,12.3,1999.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4815277777777,91.0617777777777,bcs1,NIMSHAR SLAB CULVERT,,True,True
N1,82.437,Box Culvert,LRP083a,TIPRA BAZAR BOX CULVERT,1.4,A,101200,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,82.437,12.2,1993.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4788333333333,91.1177499999999,bcs1,TIPRA BAZAR BOX CULVERT,,True,True
N1,82.989,Slab Culvert,LRP083b,AMTOLI SLAB CULVERT,2.9,A,101202,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,82.989,12.0,1985.0,1.0,Comilla,Comilla,Comilla,Comilla,23.4792777777777,91.1234999999999,bcs1,AMTOLI SLAB CULVERT,,True,True
N1,87.713,RCC Girder Bridge,LRP088a,DHANPUR RCC GIDER BRIDGE,23.4,A,101205,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,87.713,9.2,1988.0,3.0,Comilla,Comilla,Comilla,Comilla,23.4489444444444,91.14725,bcs1,DHANPUR RCC GIDER BRIDGE,,True,True
N1,97.257,RCC Girder Bridge,LRP098a,RAZAPARA RCC GIDER BRIDGE,27.9,A,101218,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,97.257,9.2,1995.0,3.0,Comilla,Comilla,Comilla,Comilla,23.4037777777777,91.2175833333333,bcs1,RAZAPARA RCC GIDER BRIDGE,,True,True
N1,100.938,RCC Girder Bridge,LRP101a,SUAGAZI RCC GIDER BRIDGE,30.4,A,101220,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,100.938,9.2,1990.0,4.0,Comilla,Comilla,Comilla,Comilla,23.3784166666666,91.2398611111111,bcs1,SUAGAZI RCC GIDER BRIDGE,,True,True
N1,104.753,Box Culvert,LRP105a,CHANSIRI BOXCUIVERT,14.3,A,101225,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,104.753,8.5,1974.0,3.0,Comilla,Comilla,Comilla,Comilla,23.3488055555555,91.2599166666666,bcs1,CHANSIRI BOXCUIVERT,,True,True
N1,106.519,Box Culvert,LRP107a,MIABAZAR BOX CULVERT,24.0,A,101227,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,106.519,10.4,1974.0,5.0,Comilla,Comilla,Comilla,Comilla,23.336,91.2701111111111,bcs1,MIABAZAR BOX CULVERT,,True,True
N1,108.125,Box Culvert,LRP109a,NOYA BAZER BOX CULVERT,9.2,A,101230,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,108.125,11.5,1990.0,2.0,Comilla,Comilla,Comilla,Comilla,23.3241944444444,91.2790833333333,bcs1,NOYA BAZER BOX CULVERT,,True,True
N1,110.551,Box Culvert,LRP111a,LALGORE BEZER CULVERT,3.2,A,101135,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,110.551,12.2,1986.0,1.0,Comilla,Comilla,Comilla,Comilla,23.3039166666666,91.2887777777777,bcs1,LALGORE BEZER CULVERT,,True,True
N1,111.509,Box Culvert,LRP112a,SUPUYA BOX CULVERT,13.4,A,101138,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,111.509,8.4,1986.0,3.0,Comilla,Comilla,Comilla,Comilla,23.2960277777777,91.2915,bcs1,SUPUYA BOX CULVERT,,True,True
N1,117.627,Box Culvert,LRP118d,BALUZURI 2 CULVERT,2.6,A,101184,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,117.627,12.2,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2453611111111,91.3110555555555,bcs1,BALUZURI CULVERT,R,True,True
