road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc,cleaned_name,LR_indicator,is_on_land,is_connected_to_road
N2,124.46,Box Culvert,LRP125b,HARITALA 2 BOX CULVERT,4.3,A,103456,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,124.46,12.5,2003.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2197777777777,91.3636944444444,bcs1,HARITALA BOX CULVERT,R,True,True
N2,124.638,Box Culvert,LRP125c,HORI TOLA BOX CULVERT,6.6,A,103462,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,124.638,12.5,2002.0,3.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2211944444444,91.3644166666666,bcs1,HORI TOLA BOX CULVERT,,True,True
N2,124.856,Box Culvert,LRP125d,HORITALA BOX CULVERT,5.3,A,103465,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,124.856,12.5,2003.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2231388888888,91.3648055555555,bcs1,HORITALA BOX CULVERT,,True,True
N2,125.593,Box Culvert,LRP126b,SHIBPUR BOX CULVERT,2.0,A,103476,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,125.593,12.43,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2295555555555,91.3665277777777,bcs1,SHIBPUR BOX CULVERT,,True,True
N2,125.78,Box Culvert,LRP126d,SHIBPUR BOX CULVERT,4.3,A,103486,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,125.78,12.3,2003.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.23125,91.3670833333333,bcs1,SHIBPUR BOX CULVERT,,True,True
N2,126.21,Box Culvert,LRP127a,SHIBPUR BOX CULVERT,2.0,A,103473,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,126.21,12.4,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.235,91.3680555555555,bcs1,SHIBPUR BOX CULVERT,R,True,True
N2,126.772,Box Culvert,LRP127c,RIAZNAZAR BOX CULVERT,1.5,A,103543,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,126.772,12.6,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2398888888888,91.369,bcs1,RIAZNAZAR BOX CULVERT,,True,True
N2,127.076,Box Culvert,LRP128a,RIAZ NAGAR BOX CULVERT,1.5,A,103541,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,127.076,12.3,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2425,91.3697222222222,bcs1,RIAZ NAGAR BOX CULVERT,,True,True
N2,127.691,Box Culvert,LRP128b,TAJPUR BOX CULVERT,6.6,A,103537,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,127.691,12.2,2003.0,3.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2476666666666,91.3713888888888,bcs1,TAJPUR BOX CULVERT,,True,True
N2,128.04,Box Culvert,LRP129a,JAJPUR BOX CULVERT,1.5,A,103525,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,128.04,12.9,2002.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2505,91.3726944444444,bcs1,JAJPUR BOX CULVERT,,True,True
N2,128.37,Box Culvert,LRP129b,TAJPUR BOX CULVERT,3.3,A,103446,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,128.37,12.5,2003.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2532222222222,91.3742499999999,bcs1,TAJPUR BOX CULVERT,,True,True
N2,128.753,Box Culvert,LRP129c,BAKHARNAGAR BOX CULVERT,3.3,A,103451,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,128.753,12.4,2003.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2559722222222,91.3764444444444,bcs1,BAKHARNAGAR BOX CULVERT,,True,True
N2,129.103,Box Culvert,LRP130a,CHARA BOX CULVERT,1.5,A,103454,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,129.103,12.4,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2586111111111,91.3781666666666,bcs1,CHARA BOX CULVERT,,True,True
N2,129.405,Box Culvert,LRP130b,CHARA BOX CULVERT,4.3,A,103459,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,129.405,12.4,2003.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2610277777777,91.3795555555555,bcs1,CHARA BOX CULVERT,,True,True
N2,129.546,Box Culvert,LRP130c,CHARA BOX CULVERT,3.0,A,103447,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,129.546,12.4,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2620555555555,91.3800555555555,bcs1,CHARA BOX CULVERT,,True,True
N2,130.641,Box Culvert,LRP131b,OLIPUR BOX CULVERT,2.0,A,103498,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,130.641,5.66,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2710833333333,91.3847777777777,bcs1,OLIPUR BOX CULVERT,,True,True
N2,131.468,Box Culvert,LRP132a,LEVEL CROSING BOX CULVERT,4.3,A,103501,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,131.468,12.23,2004.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.271,91.3923611111111,bcs1,LEVEL CROSING BOX CULVERT,,True,True
N2,131.547,Box Culvert,LRP132b,OLIPUR BOX CULVERT,1.7,A,103515,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,131.547,12.25,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2714444444444,91.3933611111111,bcs1,OLIPUR BOX CULVERT,,True,True
N2,131.767,Box Culvert,LRP132c,SHARALDI BOX CULVERT,2.0,A,103518,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,131.767,12.25,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2723055555555,91.3948611111111,bcs1,SHARALDI BOX CULVERT,,True,True
N2,132.792,PC Girder Bridge,LRP133a,SHUTAN BAZAR,82.8,A,103448,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,132.792,10.5,2004.0,3.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2761194444444,91.4038916666666,bcs1,SHUTAN BAZAR,,True,True
N2,133.252,Box Culvert,LRP134a,SATANKONADI BRIDGE,2.6,A,103453,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,133.252,12.15,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2784166666666,91.4078611111111,bcs1,SATANKONADI BRIDGE,,True,True
N2,133.439,Box Culvert,LRP134b,SATANKANADI,2.6,A,103457,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,133.439,12.25,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2792499999999,91.4091666666666,bcs1,SATANKANADI,,True,True
N2,133.659,Box Culvert,LRP134c,NURPUR,2.5,A,103463,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,133.659,12.35,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2804166666666,91.41125,bcs1,NURPUR,,True,True
N2,134.422,Box Culvert,LRP135a,NURPUR CULVERT,2.6,A,103502,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,134.422,12.3,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2820277777777,91.4182777777777,bcs1,NURPUR CULVERT,,True,True
N2,134.957,Box Culvert,LRP135b,N ASHUTPUR,4.2,A,103511,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,134.957,12.1,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2819166666666,91.4236666666666,bcs1,N ASHUTPUR,,True,True
N2,136.247,Box Culvert,LRP137a,BORCLAR CULVERT,12.5,A,103492,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,136.247,12.15,2004.0,3.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2800555555555,91.4361388888888,bcs1,BORCLAR CULVERT,,True,True
N2,137.262,Box Culvert,LRP138a,BORCHAR,2.6,A,103519,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,137.262,12.25,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2759166666666,91.4445277777777,bcs1,BORCHAR,,True,True
N2,137.784,Box Culvert,LRP138b,TALUGARAR,2.6,A,103483,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,137.784,12.25,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2723611111111,91.4479166666666,bcs1,TALUGARAR,,True,True
N2,138.267,Box Culvert,LRP139a,BISHOROAH BOX CULVERT,2.6,A,103526,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,138.267,12.25,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2690555555555,91.4510833333333,bcs1,BISHOROAH BOX CULVERT,,True,True
N2,138.769,Box Culvert,LRP139b,BISHOROAD CULVERT,2.1,A,103479,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,138.769,12.25,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2663888888888,91.4547222222222,bcs1,BISHOROAD CULVERT,,True,True
N2,139.271,Box Culvert,LRP140a,WORLD ROAD CULVERT,2.1,A,103535,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,139.271,12.2,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2665555555555,91.4596666666666,bcs1,WORLD ROAD CULVERT,,True,True
N2,139.773,Box Culvert,LRP140c,BIRMACHAR CULVERT,2.1,A,103474,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,139.773,12.25,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2668611111111,91.4646666666666,bcs1,BIRMACHAR CULVERT,,True,True
N2,140.402,Box Culvert,LRP141a,BIRAM CHAR BOX CULVERT,1.6,A,103534,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,140.402,12.35,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2671111111111,91.4708055555555,bcs1,BIRAM CHAR BOX CULVERT,,True,True
N2,140.804,Box Culvert,LRP141b,SHAIS TAGONG CULVEERT,1.6,A,103470,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,140.804,12.35,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2671944444444,91.4745833333333,bcs1,SHAIS TAGONG CULVEERT,,True,True
N2,141.382,Truss with RCC Slab,LRP142c,SAYESTAGONJ BRIDGE,216.15,A,103468,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,141.382,9.5,2000.0,3.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2701111111111,91.4785,bcs1,SAYESTAGONJ BRIDGE,,True,True
N2,142.912,RCC Bridge,LRP143c,ADDIPASHA R C C BRIDGE,27.0,A,103478,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,142.912,9.8,1980.0,3.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2800277777777,91.4880277777777,bcs1,ADDIPASHA C C BRIDGE,R,True,True
N2,145.077,Box Culvert,LRP146a,BAINA BOX CULVERT,2.0,A,103499,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,145.077,12.5,2002.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2906666666666,91.5056666666666,bcs1,BAINA BOX CULVERT,,True,True
N2,146.094,Box Culvert,LRP147a,JOYPUR BOX CULVERT,1.5,A,103503,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,146.094,12.4,2002.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.2979166666666,91.5112222222222,bcs1,JOYPUR BOX CULVERT,,True,True
N2,146.376,Box Culvert,LRP147b,MIRPUR BOX CULVERT,17.2,A,103510,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,146.376,12.35,2003.0,4.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3004166666666,91.512,bcs1,MIRPUR BOX CULVERT,,True,True
N2,146.673,Box Culvert,LRP147d,MIRPUR BOX CULVERT,1.9,A,103522,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,146.673,12.9,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.30275,91.5133055555555,bcs1,MIRPUR BOX CULVERT,,True,True
N2,147.167,Box Culvert,LRP148a,RUPSANKAR BOX CULVERT,2.0,A,103556,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,147.167,12.35,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3055,91.5169444444444,bcs1,RUPSANKAR BOX CULVERT,,True,True
N2,147.428,Box Culvert,LRP148b,KHAMAR GOAN BOX CULVERT,1.5,A,103640,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,147.428,12.33,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3076111111111,91.5183055555555,bcs1,KHAMAR GOAN BOX CULVERT,,True,True
N2,148.175,Box Culvert,LRP149a,CHARGUY BOX CULVEFRT,6.3,A,103642,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,148.175,12.35,2004.0,3.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.313,91.5225,bcs1,CHARGUY BOX CULVEFRT,,True,True
N2,148.983,Box Culvert,LRP149b,DOWLOTPUR BOX CULVERT,8.0,A,103648,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,148.983,12.4,2003.0,4.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3178055555555,91.5276666666666,bcs1,DOWLOTPUR BOX CULVERT,,True,True
N2,149.509,PC Girder Bridge,LRP150a,DOWLOTPUR PC BRIDGE,41.0,A,103645,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,149.509,10.45,2003.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3225277777777,91.5301944444444,bcs1,DOWLOTPUR PC BRIDGE,,True,True
N2,150.057,Box Culvert,LRP151a,TOLAMPUR BOX CULVERT,8.0,A,103641,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,150.057,12.4,2003.0,4.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3269999999999,91.5323611111111,bcs1,TOLAMPUR BOX CULVERT,,True,True
N2,151.154,Box Culvert,LRP152a,JANJJALIA,1.3,A,103585,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,151.154,12.4,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3368611111111,91.53375,bcs1,JANJJALIA,,True,True
N2,151.559,Box Culvert,LRP152c,JANNJALIA,4.2,A,103573,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,151.559,12.4,2003.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3403611111111,91.5343611111111,bcs1,JANNJALIA,,True,True
N2,151.86,Box Culvert,LRP152d,KABIR PUR,10.6,A,103571,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,151.86,12.4,2003.0,4.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3429166666666,91.5348611111111,bcs1,KABIR PUR,,True,True
N2,152.198,Box Culvert,LRP153a,ISLAMABAD,3.0,A,103568,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,152.198,12.45,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3458611111111,91.5351388888888,bcs1,ISLAMABAD,,True,True
N2,152.501,Box Culvert,LRP153b,KABIR PUR CULVERT,2.5,A,103565,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,152.501,12.3,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3486111111111,91.5358055555555,bcs1,KABIR PUR CULVERT,,True,True
N2,153.38,Box Culvert,LRP154c,CHALTA BOX CULVERT,3.0,A,103558,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,153.38,12.4,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3551388888888,91.53975,bcs1,CHALTA BOX CULVERT,,True,True
N2,154.294,Box Culvert,LRP155a,CHALTA BAZAR BOX CULVERT,3.0,A,103557,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,154.294,12.35,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3630555555555,91.5422777777777,bcs1,CHALTA BAZAR BOX CULVERT,,True,True
N2,154.93,PC Girder Bridge,LRP155b,MOKKADI,15.8,A,103542,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,154.93,10.5,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.368,91.5445833333333,bcs1,MOKKADI,,True,True
N2,155.528,Box Culvert,LRP156a,ADITPUR,19.0,A,103520,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,155.528,12.4,2003.0,6.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3732222222222,91.5471666666666,bcs1,ADITPUR,,True,True
N2,156.065,Box Culvert,LRP157a,MOSHIDOLONG,3.0,A,103516,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,156.065,12.4,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3780277777777,91.5495,bcs1,MOSHIDOLONG,,True,True
N2,156.615,RCC Girder Bridge,LRP157b,MOGLIE,13.6,A,103513,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,156.615,10.5,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.382,91.5515277777777,bcs1,MOGLIE,,True,True
N2,157.701,Box Culvert,LRP158a,DOVEREL,2.6,A,103509,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,157.701,12.4,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3901111111111,91.5571111111111,bcs1,DOVEREL,,True,True
N2,158.437,Box Culvert,LRP159b,HASANABAD BOX CULVERT,5.2,A,103488,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,158.437,12.5,2003.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3958333333333,91.5608888888888,bcs1,HASANABAD BOX CULVERT,,True,True
N2,158.639,Box Culvert,LRP159c,HASANABAD,5.4,A,103487,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,158.639,12.4,2003.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3975,91.5620833333333,bcs1,HASANABAD,,True,True
N2,158.959,Box Culvert,LRP159d,MONDUL KAFON,3.0,A,103485,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,158.959,12.35,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.3998611111111,91.5636388888888,bcs1,MONDUL KAFON,,True,True
N2,159.377,Box Culvert,LRP160a,PUTI JURRI,2.0,A,103481,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,159.377,12.3,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.4034722222222,91.5645,bcs1,PUTI JURRI,,True,True
N2,159.669,PC Girder Bridge,LRP160b,PUTA JURI PC GIRDER BRIDGE,19.5,A,103477,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,159.669,10.5,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.4061388888888,91.5650277777777,bcs1,PUTA JURI PC GIRDER BRIDGE,,True,True
N2,160.123,Box Culvert,LRP161a,PUTA JURI SCHOOL,2.6,A,103472,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,160.123,12.4,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.4100277777777,91.5650833333333,bcs1,PUTA JURI SCHOOL,,True,True
N2,160.867,Box Culvert,LRP161b,KAZI MADAM,5.0,A,103466,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,160.867,12.3,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.4168611111111,91.5661666666666,bcs1,KAZI MADAM,R,True,True
N2,161.333,Box Culvert,LRP162c,SHUKCHAR,4.0,A,103458,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,161.333,12.4,2003.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.42075,91.5673333333333,bcs1,SHUKCHAR,,True,True
N2,161.492,Box Culvert,LRP162d,SHUKCHAR,2.0,A,103455,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,161.492,12.4,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.4221111111111,91.5676388888888,bcs1,SHUKCHAR,,True,True
N2,161.748,Box Culvert,LRP162e,SHUKCHAR,3.8,A,103452,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,161.748,12.4,2003.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.4242638888888,91.5680555555555,bcs1,SHUKCHAR,,True,True
N2,162.123,Box Culvert,LRP163a,SUCK CHAR BOX CULVERT,1.5,A,103563,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,162.123,12.35,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.4275277777777,91.5683611111111,bcs1,SUCK CHAR BOX CULVERT,,True,True
N2,162.266,Box Culvert,LRP163b,COLTANPUR BOX CULVERT,1.5,A,103567,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,162.266,12.35,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.4290277777777,91.5679166666666,bcs1,COLTANPUR BOX CULVERT,,True,True
N2,162.479,Box Culvert,LRP163c,COLYANPUR BOX CULVERT,1.5,A,103572,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,162.479,12.4,2003.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.4308888888888,91.5683333333333,bcs1,COLYANPUR BOX CULVERT,,True,True
N2,162.825,Box Culvert,LRP163d,SHAMREPUR BOX CULVERT,5.3,A,103575,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,162.825,12.45,2003.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.4339444444444,91.5686666666666,bcs1,SHAMREPUR BOX CULVERT,,True,True
N2,163.37,Box Culvert,LRP164a,BROCHAR BOX CULVERT,6.2,A,103583,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,163.37,12.35,2003.0,2.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.4388333333333,91.5691944444444,bcs1,BROCHAR BOX CULVERT,,True,True
N2,163.759,Box Culvert,LRP164d,BARO CHAR BOX CULVERT,3.0,A,103591,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,163.759,12.45,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.44225,91.5698055555555,bcs1,BARO CHAR BOX CULVERT,,True,True
N2,164.225,Box Culvert,LRP165c,ROKAMPUR BOX CULVERT,2.0,A,103601,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,164.225,12.45,2004.0,1.0,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.4461944444444,91.5709722222222,bcs1,ROKAMPUR BOX CULVERT,,True,True
