Seed,Avg_Travel_Time,Num_Trucks,Num_Broken_Bridges,Avg_Delay_Time
1234567,304.18,24599,13,23.55
2345678,378.14,24302,22,99.31
3456789,326.31,24624,15,48.84
4567890,323.88,24647,8,44.77
5678901,339.02,24535,20,59.48
6789012,309.34,24562,14,27.18
7890123,330.96,24537,16,52.03
8901234,322.2,24650,13,42.22
9012345,316.4,24531,17,38.5
1234500,349.77,24410,23,72.04
