Seed,Avg_Travel_Time,Num_Trucks,Num_Broken_Bridges
1234567,14.0,792,0
2345678,14.0,792,0
3456789,14.0,792,0
4567890,14.0,792,0
5678901,14.0,792,0
6789012,14.0,792,0
7890123,14.0,792,0
8901234,67.81,737,1
9012345,14.0,792,0
1234500,14.0,792,0
