Seed,Avg_Travel_Time,Num_Trucks,Num_Broken_Bridges,Avg_Delay_Time
1234567,18.1,784,1,3.96
2345678,14.0,792,0,0.0
3456789,14.0,792,0,0.0
4567890,35.32,748,3,20.86
5678901,21.01,786,1,6.77
6789012,39.37,713,2,25.41
7890123,16.97,755,2,2.88
8901234,14.0,792,0,0.0
9012345,14.0,792,0,0.0
1234500,53.83,732,1,39.97
