Seed,Avg_Travel_Time,Num_Trucks,Num_Broken_Bridges,Avg_Delay_Time
1234567,18.1,784,1,3.96
2345678,14.0,792,0,0.0
3456789,14.0,792,0,0.0
4567890,14.0,792,0,0.0
5678901,14.0,792,0,0.0
6789012,14.0,776,1,0.0
7890123,16.46,783,1,2.39
8901234,14.0,792,0,0.0
9012345,14.0,792,0,0.0
1234500,14.0,792,0,0.0
