Seed,Avg_Travel_Time,Num_Trucks,Num_Broken_Bridges,Avg_Delay_Time
1234567,284.59,24844,2,3.75
2345678,304.66,24772,4,24.23
3456789,283.02,24886,2,2.27
4567890,282.1,24830,1,0.93
5678901,280.92,24889,0,0.0
6789012,279.54,24895,0,0.0
7890123,283.75,24856,2,4.18
8901234,281.63,24919,0,0.0
9012345,285.48,24888,3,3.46
1234500,278.31,24885,0,0.0
