Seed,Avg_Travel_Time,Num_Trucks,Num_Broken_Bridges,Avg_Delay_Time
1234567,652.77,22185,150,384.69
2345678,695.38,21498,154,429.25
3456789,656.93,22353,136,387.54
4567890,665.56,22307,133,394.58
5678901,658.61,22183,151,390.83
6789012,671.26,21855,157,403.0
7890123,630.29,22010,149,365.35
8901234,661.79,21777,141,394.78
9012345,733.78,21060,173,473.05
1234500,662.2,21811,149,394.45
