Seed,Avg_Travel_Time,Num_Trucks,Num_Broken_Bridges,Avg_Delay_Time
1234567,409.07,23834,50,132.28
2345678,405.87,23727,53,130.39
3456789,358.94,24210,37,81.19
4567890,456.35,23819,48,179.47
5678901,444.23,23746,47,169.97
6789012,388.03,23968,43,113.11
7890123,431.4,23771,51,156.66
8901234,421.47,23610,52,148.42
9012345,431.78,23860,51,156.07
1234500,494.44,23367,59,219.97
