,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRP036c,36.144,"Side Road, Right","R541, Start Sirajganj Div.",24.4228049,89.5963608,,N405.lrps.htm
,LRP036d,36.54,Bridge,Bridge start,24.4232771,89.5924441,,N405.lrps.htm
,LRP036e,36.75,Bridge,Bridge end,24.4235271,89.5903052,,N405.lrps.htm
,LRP037,36.855,Km Post,Rajshahi 120 km,24.4235549,89.589833,,N405.lrps.htm
,LRP038,37.855,Km Post,Km post missing,24.4241104,89.5800827,,N405.lrps.htm
,LRP039,38.855,Km Post,Natore 74 km,24.4222771,89.5703882,,N405.lrps.htm
,LRP040,39.835,Km Post,Km post broken,24.4203604,89.5609167,,N405.lrps.htm
,LRP040a,40.28,Bridge,Bridge start,24.4197216,89.5565833,,N405.lrps.htm
,LRP040b,40.344,Bridge,Bridge end,24.419666,89.556,,N405.lrps.htm
,LRPE,40.78,Others,"Road end with Hatikamrul more Intersection with N5, N507 & N405.",24.4190827,89.5518056,,N405.lrps.htm
,,,,,,,,N405.lrps.htm
,,,,,,,,N405.lrps.htm
