,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start of Road From R301 at Kaliganj,23.9258049,90.5575278,,R302.lrps.htm
,LRPSa,0.14,Culvert,Box culvert,23.9252771,90.5587222,,R302.lrps.htm
,LRP001,1,Km Post,Km post missing,23.9207771,90.5654444,,R302.lrps.htm
,LRP001a,1.61,Culvert,Box Culvert,23.9232493,90.5704993,,R302.lrps.htm
,LRP002,2,Km Post,Km post missing,23.9241938,90.5741382,,R302.lrps.htm
,LRP003,3,Km Post,Km post missing,23.923416,90.5837219,,R302.lrps.htm
,LRP003a,3.55,Culvert,Box Culvert,23.9240271,90.5891386,,R302.lrps.htm
,LRP004,4,Km Post,Km post missing,23.9243604,90.593333,,R302.lrps.htm
,LRP005,5,Km Post,Km post missing,23.927416,90.6022222,,R302.lrps.htm
,LRP006,5.843,Km Post,Kaliganj 4 km,23.9327216,90.6080556,,R302.lrps.htm
,LRP007,6.843,Km Post,Km post missing,23.9399441,90.6138611,,R302.lrps.htm
,LRP007a,6.936,Others,Intersection of Road with R301 under Ghorashal bridge.,23.9404719,90.6140833,,R302.lrps.htm
,LRPE,7.475,Others,The road ends Intersecting R301 near Shahid Maizuddin Bridge,23.9413608,90.6155,,R302.lrps.htm
,,,,,,,,R302.lrps.htm
,,,,,,,,R302.lrps.htm
