,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,"Start from Koroytala.Varkarzo more from N-7 Palbari,Jessore",23.1811382,89.1911108,,N708.lrps.htm
,LRP001,0.035,Km Post,"Monihar 4.75 km, khulna 66 km",23.1810271,89.1914163,,N708.lrps.htm
,LRP001a,0.355,Culvert,Box culvert,23.1805271,89.1941941,,N708.lrps.htm
,LRP001b,0.405,"Side Road, Right","N-707,Jessore town old Section",23.1797771,89.1946386,,N708.lrps.htm
,LRP002,1.035,Km Post,"Monihar 3.75 km, Dhaka 253 Km",23.1777771,89.2003611,,N708.lrps.htm
,LRP002a,1.692,Bridge,Baily Bridge start,23.1760549,89.2063611,,N708.lrps.htm
,LRP002b,1.714,Bridge,Baily Bridge end,23.1760271,89.2065556,,N708.lrps.htm
,LRP003,2.35,Km Post,"Monihar 2.75 Km , Narail 36 Km",23.1765271,89.2096667,,N708.lrps.htm
,LRP003a,2.513,Cross Road,N-702.Jessore-Magura road,23.1770827,89.21425,,N708.lrps.htm
,LRP003b,2.94,Round About,Poly Technique more,23.1770549,89.2184993,,N708.lrps.htm
,LRP004,3.05,Km Post,Monihar 0.75 Km,23.1761104,89.2189438,,N708.lrps.htm
,LRP004a,3.595,Bridge,R.C.C Bridge start,23.1715549,89.2203049,,N708.lrps.htm
,LRP004b,3.615,Bridge,R.C.C Bridge end,23.1713049,89.2203882,,N708.lrps.htm
,LRP005,4.05,Km Post,"Monihar 0.75km, Narail 34 km",23.1675549,89.2217493,,N708.lrps.htm
,LRP005a,4.73,"Side Road, Right","N707, Jessure Town",23.1614444,89.2222771,,N708.lrps.htm
,LRP006,4.745,Km Post,"Monihar 0 km, Khulna 61.25 km",23.1614444,89.2223049,,N708.lrps.htm
,LRPE,4.75,Others,End of road at Monihar Cinema Hall More,23.161,89.2226382,,N708.lrps.htm
,,,,,,,,N708.lrps.htm
,,,,,,,,N708.lrps.htm
