,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Road start from Diabari More,23.7985552,90.3434163,,N501.lrps.htm
,LRP001,0.952,Km Post,Km post missing,23.8061389,90.3425274,,N501.lrps.htm
,LRP002,1.951,Km Post,Ashulia 14km,23.8143889,90.3406663,,N501.lrps.htm
,LRP003,2.951,Km Post,Info missing,23.8230549,90.3420552,,N501.lrps.htm
,LRP003a,3.914,Culvert,Slice gate,23.8289716,90.3431941,,N501.lrps.htm
,LRP004,3.951,Km Post,Km post broken,23.829666,90.3426108,,N501.lrps.htm
,LRP004a,4.876,Culvert,Sluice gate,23.837083,90.340083,,N501.lrps.htm
,LRP005,4.951,Km Post,info missing,23.8378608,90.3401941,,N501.lrps.htm
,LRP006,5.951,Km Post,Ashulia 9km,23.8453886,90.3410274,,N501.lrps.htm
,LRP006a,6.611,"Side Road, Left","N511, Birulia - Ashulia Road",23.8508611,90.3410552,,N501.lrps.htm
,LRP007,6.951,Km Post,Ashulia 8km,23.8534722,90.3428608,,N501.lrps.htm
,LRP008,7.951,Km Post,Ashulia 7km,23.8605833,90.3488052,,N501.lrps.htm
,LRP009,8.951,Km Post,Ashulia 6km,23.8687493,90.3529722,,N501.lrps.htm
,LRP010,9.951,Km Post,Ashulia 5km,23.8605556,90.3543611,,N501.lrps.htm
,LRP011,10.951,Km Post,Km post Broken,23.8837774,90.3605556,,N501.lrps.htm
,LRPE,11.942,Others,The road ends intersecting N302 at Dhour,23.8922497,90.3618056,,N501.lrps.htm
,,,,,,,,N501.lrps.htm
,,,,,,,,N501.lrps.htm
