,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,"Start from N5 at Baderhat more,Bera Pabna",23.8942774,89.6485274,,N513.lrps.htm
,LRPSa,0.52,Culvert,Box culvert,23.8902497,89.6508889,,N513.lrps.htm
,LRP001,1,Km Post,Km post missing,23.8867497,89.6533889,,N513.lrps.htm
,LRP002,2,Km Post,Km post missing,23.8774716,89.6566389,,N513.lrps.htm
,LRP003,3,Km Post,Not Accessible,0,0,,N513.lrps.htm
,LRP004,4,Km Post,Not Accessible,0,0,,N513.lrps.htm
,LRP005,5,Km Post,Not Accessible,0,0,,N513.lrps.htm
,LRP005a,5.88,Others,Survey start,23.8478052,89.6723882,,N513.lrps.htm
,LRP006,6,Km Post,Km post missing,23.8467219,89.6725827,,N513.lrps.htm
,LRP007,7,Km Post,Km post missing,23.8381386,89.6746938,,N513.lrps.htm
,LRP007a,7.01,Culvert,Box Culvert,23.8310827,89.6802771,,N513.lrps.htm
,LRP008,8,Km Post,Km post missing,23.8260827,89.6883886,,N513.lrps.htm
,LRP008a,8.788,Culvert,Box culvert,23.8260827,89.6883886,,N513.lrps.htm
,LRP009,9,Km Post,Km post missing,23.8228327,89.6951941,,N513.lrps.htm
,LRP010,10,Km Post,Km post missing,23.8220271,89.6971663,,N513.lrps.htm
,LRP011,11,Km Post,Km post missing,23.8183327,89.7059167,,N513.lrps.htm
,LRPE,11.88,Others,End at Khayerchar,23.8146944,89.7128333,,N513.lrps.htm
,,,,,,,,N513.lrps.htm
,,,,,,,,N513.lrps.htm
