,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,"Starts of road from N1,Dhaka teknaf road at Madanpur.",23.6904163,90.5466108,,N105.lrps.htm
,LRP001,1,Km Post,Km post missing,23.6984163,90.5510556,,N105.lrps.htm
,LRP001a,1.12,Culvert,Box culvert,23.6993052,90.5515278,,N105.lrps.htm
,LRP002,2.054,Km Post,"Bangabandhu Bridge 128 km,Mymensingh 132 km",23.7055278,90.5576944,,N105.lrps.htm
,LRP002a,2.336,Culvert,Box culvert,23.7072222,90.5596389,,N105.lrps.htm
,LRP003,3.109,Km Post,"Bangabandhu bridge 127 km,Mymensingh 130 km",23.7118889,90.5651111,,N105.lrps.htm
,LRP003a,3.805,Culvert,Box culvert,23.7161944,90.5700827,,N105.lrps.htm
,LRP004,4.105,Km Post,"Bangabandhu bridge 126 km,Mymensingh 129 km,Gazipur 45 km",23.7179993,90.5722216,,N105.lrps.htm
,LRP004a,4.535,"Side Road, Right",Tanaki Road,23.7206104,90.5753604,,N105.lrps.htm
,LRP005,5.128,Km Post,"Bangabandhu bridge 125 km,Mymensingh 128 km,Gazipur 44 km",23.7242216,90.5794716,,N105.lrps.htm
,LRP005a,5.692,Culvert,Box culvert,23.7277216,90.5834441,,N105.lrps.htm
,LRP006,6.128,Km Post,"Bangabandhu bridge 124 km,Gazipur 43 km,Mymensingh 127 km",23.7303882,90.5865552,,N105.lrps.htm
,LRP006a,6.229,Culvert,Box culvert,23.7310549,90.5872774,,N105.lrps.htm
,LRP006b,6.309,"Side Road, Right","R114, Nayapur- Raipura Road",23.7314716,90.5877774,,N105.lrps.htm
,LRP006c,6.781,Culvert,Box Culvert,23.7357219,90.5871941,,N105.lrps.htm
,LRP007,7.128,Km Post,"Bangabondhu Bridge-123 km,Mymanshingh -126 km, Gazipur 42 km",23.7388052,90.5868052,,N105.lrps.htm
,LRP007a,7.223,Cross Road,"Z1090, Majerchar -Kayetpara Road",23.7396663,90.5867219,,N105.lrps.htm
,LRP007b,7.789,Bridge,Bridge Start,23.7445552,90.5856108,,N105.lrps.htm
,LRP007c,7.831,Bridge,Bridge end,23.7448608,90.5854163,,N105.lrps.htm
,LRP008,8.143,Km Post,"Bangabondhu Bridge- 122 km, Mymensingh- 125 km, Gazipur 41km",23.747333,90.584083,,N105.lrps.htm
,LRP009,9.165,Km Post,"Bangabondhu Bridge 121km, Mymensingh- 124 km, Gazipur 40 km",23.7538611,90.5805827,,N105.lrps.htm
,LRP009a,9.29,Culvert,Box Culvert,23.7561111,90.5792493,,N105.lrps.htm
,LRP009b,9.707,Bridge,Bridge Start,23.7595833,90.5774438,,N105.lrps.htm
,LRP009c,9.736,Bridge,Bridge end,23.7597778,90.5773049,,N105.lrps.htm
,LRP010,10.173,Km Post,"Bangabondhu Bridge- 120 km, Mymensingh- 123 km, Gazipur 39 km",23.7633611,90.5751938,,N105.lrps.htm
,LRP010a,10.44,Culvert,Box Culvert,23.7658611,90.5738604,,N105.lrps.htm
,LRP010b,10.925,Bridge,Bridge Start,23.7692216,90.5719993,,N105.lrps.htm
,LRP010c,10.956,Bridge,Bridge end,23.7695271,90.5718604,,N105.lrps.htm
,LRP011,11.213,Km Post,Information missing,23.7717216,90.5714716,,N105.lrps.htm
,LRP012,12.257,Km Post,"Bangabondhu Bridge 118 km, Mymenshingh 151 km, Gazipur 37 km",23.7805549,90.5700549,,N105.lrps.htm
,LRP012a,12.803,Cross Road,N2 Dhaka-Sylhet -Jaflong Road,23.7851941,90.5688049,,N105.lrps.htm
,LRP013,13.278,Km Post,Information missing,23.7892219,90.5688049,,N105.lrps.htm
,LRP014,14.278,Km Post,Km Post missing,23.7986941,90.5687216,,N105.lrps.htm
,LRP015,15.278,Km Post,Km post missing,23.8061667,90.5698049,,N105.lrps.htm
,LRP016,16.278,Km Post,km Post missing,23.8141389,90.5669993,,N105.lrps.htm
,LRP017,17.278,Km Post,Km Post Missing,23.8227216,90.5647222,,N105.lrps.htm
,LRP017a,17.903,Culvert,Box Culvert,23.828166,90.5633611,,N105.lrps.htm
,LRP017b,18.212,Culvert,Box Culvert,23.8305827,90.5622222,,N105.lrps.htm
,LRP018,18.278,Km Post,km Post missing,23.8309438,90.5620556,,N105.lrps.htm
,LRP018a,19.158,Culvert,Box Culvert,23.8381108,90.5593056,,N105.lrps.htm
,LRP019,19.278,Km Post,km Post missing,23.8383886,90.5585833,,N105.lrps.htm
,LRP019a,19.644,Culvert,Box Culvert,23.8382219,90.5550278,,N105.lrps.htm
,LRP019b,20.007,Culvert,Box Culvert,23.8381941,90.5515556,,N105.lrps.htm
,LRP020,20.278,Km Post,km Post missing,23.8374163,90.5491663,,N105.lrps.htm
,LRP020a,20.279,Bridge,"Bridge Start, Kanchon Bridge",23.8374163,90.5491663,,N105.lrps.htm
,LRP020b,21.09,Bridge,Bridge end,23.8344997,90.5419163,,N105.lrps.htm
,LRP020c,21.15,Others,RHD Dhaka Start,0,0,,N105.lrps.htm
,LRP020c,21.15,Others,RHD Dhaka Start,0,0,,N105.lrps.htm
,LRP020d,21.221,"Side Road, Left",Purbachal Road,23.8346386,90.5406386,,N105.lrps.htm
,LRP021,21.278,Km Post,km Post missing,23.8350552,90.5400552,,N105.lrps.htm
,LRP021a,21.308,Culvert,Box Culvert,23.8350552,90.5400552,,N105.lrps.htm
,LRP021b,21.899,Culvert,Box Culvert,23.8392774,90.5362219,,N105.lrps.htm
,LRP022,22.278,Km Post,Km Post missing,0,0,,N105.lrps.htm
,LRP023,22.68,Km Post,"Bangabandhu Bridge- 109 km, Tangail-86 km, Gazipur- 28 km",23.8446386,90.5313049,,N105.lrps.htm
,LRP023a,23.363,Culvert,Box Culvert,23.8465274,90.5295271,,N105.lrps.htm
,LRP024,23.674,Km Post,Info missing,23.8515,90.5250827,,N105.lrps.htm
,LRP025,24.681,Km Post,"Bangabandhu Bridge- 107 km, Tangail-84 km, Gazipur- 26 km",23.8584167,90.5189716,,N105.lrps.htm
,LRP025a,24.911,Culvert,Box Culvert,23.8602222,90.5179438,,N105.lrps.htm
,LRP025b,25.168,Culvert,Box Culvert,23.86225,90.5167493,,N105.lrps.htm
,LRP026,25.681,Km Post,Km Post missing,23.8663333,90.5143611,,N105.lrps.htm
,LRP026a,25.984,Culvert,Box Culvert,23.8680271,90.5120556,,N105.lrps.htm
,LRP026b,26.213,Culvert,Box Culvert,23.8692493,90.51025,,N105.lrps.htm
,LRP026c,26.241,Culvert,Culvert,23.871416,90.5068056,,N105.lrps.htm
,LRP027,26.681,Km Post,Km Post missing,23.8715271,90.5066111,,N105.lrps.htm
,LRP028,27.715,Km Post,"Bangabandhu bridge 104 km, Mymenshingh-108 km, Gazipur- 23 km",23.8795271,90.5024167,,N105.lrps.htm
,LRP028a,27.735,Culvert,Box Culvert,23.8796938,90.5023611,,N105.lrps.htm
,LRP028b,28.575,Culvert,Box Culvert,23.8854719,90.4979997,,N105.lrps.htm
