,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start of Road from N3 at Rajendrapur,24.095583,90.4018611,,R312.lrps.htm
,LRPSa,0.267,Culvert,Box Culvert,24.0973052,90.4033333,,R312.lrps.htm
,LRPSb,0.728,Culvert,Box Culvert,24.0982774,90.4076667,,R312.lrps.htm
,LRPSc,0.875,Culvert,Box Culvert,24.0985274,90.4090833,,R312.lrps.htm
,LRP001,1.059,Km Post,Kapasia 18 km,24.0988608,90.4108611,,R312.lrps.htm
,LRP001a,1.934,Culvert,Box Culvert,24.1005556,90.4192493,,R312.lrps.htm
,LRP002,2.059,Km Post,Km post missing,24.1008611,90.4204438,,R312.lrps.htm
,LRP003,3.059,Km Post,Kapasia 16 km,24.1018611,90.429916,,R312.lrps.htm
,LRP004,4.076,Km Post,Kapasia 15 km,24.099083,90.4394997,,R312.lrps.htm
,LRP004a,4.289,Culvert,Box Culvert,24.0984997,90.4414719,,R312.lrps.htm
,LRP005,5.076,Km Post,Km post missing,24.0994163,90.4483052,,R312.lrps.htm
,LRP005a,5.219,Rail Road Crossing,Rail Road Crossing,24.0996108,90.449583,,R312.lrps.htm
,LRP005b,5.88,Bridge,Bridge Start,24.0997219,90.4552778,,R312.lrps.htm
,LRP005c,5.898,Bridge,Bridge End,24.0997774,90.4554167,,R312.lrps.htm
,LRP006,6.074,Km Post,Kapasia 13 km,24.0834719,90.4570556,,R312.lrps.htm
,LRP006a,6.547,Culvert,Box Culvert,24.1004167,90.4615833,,R312.lrps.htm
,LRP006b,6.998,Culvert,Box Culvert,24.1015,90.4658333,,R312.lrps.htm
,LRP007,7.074,Km Post,Km post missing,24.1016389,90.4666389,,R312.lrps.htm
,LRP007a,7.542,Culvert,Box Culvert,24.1023333,90.4710271,,R312.lrps.htm
,LRP007b,7.728,Culvert,Box Culvert,24.1015833,90.4726382,,R312.lrps.htm
,LRP008,8.049,Km Post,Kapasia,24.1014167,90.4757216,,R312.lrps.htm
,LRP008a,8.575,Culvert,Box Culvert,24.1020833,90.4808604,,R312.lrps.htm
,LRP008b,8.766,Culvert,Box Culvert,24.1022778,90.4826938,,R312.lrps.htm
,LRP009,9.069,Km Post,Kapasia 10 km,24.10275,90.4856663,,R312.lrps.htm
,LRP009a,9.152,Culvert,Box Culvert,24.1028889,90.4864441,,R312.lrps.htm
,LRP009b,9.994,Bridge,Bridge Start,24.1041944,90.4945552,,R312.lrps.htm
,LRP009c,10.053,Bridge,Bridge End,24.1043333,90.4951108,,R312.lrps.htm
,LRP010,10.069,Km Post,Km post missing,24.1043333,90.4952497,,R312.lrps.htm
,LRP010a,10.695,Culvert,Box Culvert,24.1063056,90.5008056,,R312.lrps.htm
,LRP011,11.069,Km Post,Km post missing,24.108,90.504,,R312.lrps.htm
,LRP011a,11.083,Bridge,Bridge Start,24.1080278,90.5041111,,R312.lrps.htm
,LRP012,12.067,Km Post,Kapasia 7 km,24.1082222,90.5135,,R312.lrps.htm
,LRP013,13.083,Km Post,Kapasia 6 km,24.1129722,90.5219993,,R312.lrps.htm
