,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRP027,26.265,Km Post,Kuakata 44 km Amtoli 3 km,22.154,90.2422219,,R880.lrps.htm
,LRP027a,26.415,Culvert,Box Culvert,22.1528611,90.2411663,,R880.lrps.htm
,LRP027b,27.235,Culvert,Box Culvert,22.1473886,90.2360552,,R880.lrps.htm
,LRP028,27.265,Km Post,Kuakata 43 km Khepupara 20 km,22.1471941,90.2358886,,R880.lrps.htm
,LRP028a,27.719,Culvert,Box Culvert,22.1439163,90.2334719,,R880.lrps.htm
,LRP029,28.265,Km Post,Kuakata 42 km Khepupara 19 km,22.1389997,90.2337774,,R880.lrps.htm
,LRP029a,29.138,"Side Road, Left",R 881 Kuakata road,22.1331938,90.2306104,,R880.lrps.htm
,LRP029b,29.2,Others,Start of Barguna RHD,0,0,,R880.lrps.htm
,LRP029b,29.2,Others,Start of Barguna RHD,0,0,,R880.lrps.htm
,LRP030,29.265,Km Post,Km post missing,22.1327493,90.2295271,,R880.lrps.htm
,LRP030a,30.095,Others,Ferry ghat start(paira river),22.1344163,90.2230271,,R880.lrps.htm
,LRP031,30.265,Km Post,LRP Winthin River,22.1345274,90.2226104,,R880.lrps.htm
,LRP032,31.265,Km Post,LRP Winthin River,22.1398052,90.2138056,,R880.lrps.htm
,LRP032a,31.913,Others,ferry ghat end Barguna,22.1434719,90.2081667,,R880.lrps.htm
,LRP033,32.043,Km Post,Barguna 12 km,22.1435552,90.20725,,R880.lrps.htm
,LRP034,33.053,Km Post,Barguna 10 km,22.1513889,90.2058333,,R880.lrps.htm
,LRP034a,33.903,Culvert,Box Culvert,22.1558333,90.198833,,R880.lrps.htm
,LRP035,34.053,Km Post,Barguna 9 km,22.1565556,90.1973608,,R880.lrps.htm
,LRP036,35.103,Km Post,Barguna 8 km,22.1612222,90.1889997,,R880.lrps.htm
,LRP037,36.053,Km Post,Barguna 7 km,22.1655556,90.1811104,,R880.lrps.htm
,LRP038,37.053,Km Post,Barguna 6 km,22.1703049,90.1730271,,R880.lrps.htm
,LRP038a,37.368,Culvert,Sluice gate,22.1705549,90.1703604,,R880.lrps.htm
,LRP039,38.063,Km Post,Barguna 5 km,22.170416,90.1633611,,R880.lrps.htm
,LRP039a,38.418,Culvert,Sluice Ghat,22.1699993,90.1605556,,R880.lrps.htm
,LRP040,39.073,Km Post,Barguna 4 km,22.1682216,90.154,,R880.lrps.htm
,LRP041,40.073,Km Post,Barguna 3 km,22.1641944,90.1496386,,R880.lrps.htm
,LRP041a,40.633,Culvert,Slice ghat,22.1603889,90.1476108,,R880.lrps.htm
,LRP042,41.073,Km Post,Barguna 2 km,22.1595278,90.1429719,,R880.lrps.htm
,LRP042a,41.178,Culvert,Sluice ghat,22.1594444,90.1425552,,R880.lrps.htm
,LRP043,42.073,Km Post,Barguna 1 km,22.1595833,90.1332493,,R880.lrps.htm
,LRP043a,42.52,Culvert,Box Culvert,22.15975,90.1293882,,R880.lrps.htm
,LRP043b,43.021,"Side Road, Right",Z 8810 to Bakergonj,22.1613333,90.1244716,,R880.lrps.htm
,LRP044,43.073,Km Post,Km post missing,22.1612778,90.1239716,,R880.lrps.htm
,LRP044a,43.419,Bridge,R.C.c Bridge start,22.1608333,90.1208049,,R880.lrps.htm
,LRP044b,43.47,Bridge,R.C.c Bridge end,22.1606389,90.1205271,,R880.lrps.htm
,LRP045,44.073,Km Post,Km post missing,22.1594722,90.1140556,,R880.lrps.htm
,LRP046,45.098,Km Post,Info missing,22.1578889,90.10475,,R880.lrps.htm
,LRP046a,45.116,Bridge,R.C.C Bridge start,22.1579722,90.1050833,,R880.lrps.htm
,LRP046b,45.148,Bridge,R.C.C Bridge end,22.1579167,90.1048056,,R880.lrps.htm
,LRP047,46.098,Km Post,Kachira 10 km,22.1571944,90.095083,,R880.lrps.htm
,LRP047a,46.183,Culvert,Box Culvert,22.1572222,90.0949997,,R880.lrps.htm
,LRP047b,46.513,Culvert,Box Culvert,22.1573889,90.091083,,R880.lrps.htm
,LRP047c,46.9,Bridge,Bridge Start,22.1576944,90.0879441,,R880.lrps.htm
,LRP047d,46.927,Bridge,Bridge end,22.1576944,90.0876663,,R880.lrps.htm
,LRP048,47.098,Km Post,Kachira 9 km,22.158,90.0854441,,R880.lrps.htm
,LRP048a,47.478,Culvert,Sluice gate,22.1584444,90.0769438,,R880.lrps.htm
,LRP049,48.098,Km Post,Km post missing,22.15775,90.0763604,,R880.lrps.htm
,LRP050,49.108,Km Post,Km post missing,22.1521111,90.069416,,R880.lrps.htm
,LRP050a,49.373,Others,ferry ghat start,22.1518056,90.067166,,R880.lrps.htm
,LRP051,50.108,Km Post,Km post with river,22.1569722,90.05925,,R880.lrps.htm
,LRP051a,50.973,Others,Ferry ghat end,22.1591667,90.0545,,R880.lrps.htm
,LRP052,51.108,Km Post,Km post missing,22.1595833,90.054,,R880.lrps.htm
,LRP053,52.423,Km Post,Kachira 3 km,22.1550833,90.042083,,R880.lrps.htm
,LRP054,53.423,Km Post,Kachira 2 km,22.1569444,90.0330271,,R880.lrps.htm
,LRP055,54.423,Km Post,Kachira 1 km,22.1612778,90.0245827,,R880.lrps.htm
,LRP055a,55.168,Culvert,Box Culvert,22.16,90.0198327,,R880.lrps.htm
,LRP056,55.423,Km Post,Kachira 00 km,22.1600833,90.0174716,,R880.lrps.htm
,LRPE,55.728,Others,"End of road at Kachira more and meet with Z8708, Barguna.",22.1604722,90.0145833,,R880.lrps.htm
,,,,,,,,R880.lrps.htm
,,,,,,,,R880.lrps.htm
