,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Road start from N1at Pubali Bank thana road more Chokoria .,21.7596389,92.0764716,,R172.lrps.htm
,LRPSa,0.692,Cross Road,"Z 1127,Lakkarchar-Bagguzra road",21.7575556,92.0704716,,R172.lrps.htm
,LRP001,1,Km Post,KM post missing,21.7573056,92.067666,,R172.lrps.htm
,LRP001a,1.28,"Side Road, Right","Z 1127,Lakkarchar-Bagguzra road",21.7580833,92.0650278,,R172.lrps.htm
,LRP001b,1.385,Culvert,Box culvert,21.7581667,92.0644722,,R172.lrps.htm
,LRP001c,1.454,Culvert,Box Culvert,21.7587222,92.0631667,,R172.lrps.htm
,LRP001d,1.725,Bridge,Bridge start,21.75875,92.0615278,,R172.lrps.htm
,LRP001e,1.865,Bridge,Bridge end,21.7588611,92.0601944,,R172.lrps.htm
,LRP002,2,Km Post,Km post missing,21.7584722,92.0586944,,R172.lrps.htm
,LRP003,2.96,Km Post,Badarkhali 14 km,21.7543611,92.0507778,,R172.lrps.htm
,LRP003a,3.67,Culvert,Box culvert,21.7512222,92.0449441,,R172.lrps.htm
,LRP004,3.96,Km Post,BadarKhali 13 km,21.7505556,92.0421941,,R172.lrps.htm
,LRP005,4.96,Km Post,KM post missing,21.7504167,92.0334163,,R172.lrps.htm
,LRP005a,5.122,Culvert,Box culvert,21.7494997,92.0322216,,R172.lrps.htm
,LRP006,5.96,Km Post,Km post missing,21.7507222,92.024916,,R172.lrps.htm
,LRP006a,6,Culvert,Box culvert,21.7508611,92.024666,,R172.lrps.htm
,LRP006b,6.575,Bridge,Bridge Start,21.7515,92.0197771,,R172.lrps.htm
,LRP006c,6.592,Bridge,Bridge End,21.7515833,92.019666,,R172.lrps.htm
,LRP006d,6.75,Culvert,Box culvert,21.7526944,92.0187493,,R172.lrps.htm
,LRP007,6.96,Km Post,KM post Missing,21.7537778,92.0170549,,R172.lrps.htm
,LRP007a,7.14,Culvert,Box culvert,21.7538333,92.0170549,,R172.lrps.htm
,LRP007b,7.845,Culvert,Box Culvert,21.7538889,92.016,,R172.lrps.htm
,LRP007c,7.955,"Side Road, Right",R170,21.7521389,92.0078056,,R172.lrps.htm
,LRP008,7.96,Km Post,Km post Missing,21.7521667,92.0078333,,R172.lrps.htm
,LRP009,8.945,Km Post,Badarkhali 8 km,21.7519444,91.9986663,,R172.lrps.htm
,LRP010,9.945,Km Post,Badarkhali 7 km,21.7520556,91.9889997,,R172.lrps.htm
,LRP010a,10.31,Culvert,Box culvert,21.7521111,91.9854163,,R172.lrps.htm
,LRP010b,10.905,"Side Road, Right",Z1128,21.7521389,91.979666,,R172.lrps.htm
,LRP011,10.945,Km Post,Km post Missing,21.7518056,91.979166,,R172.lrps.htm
,LRP011a,11.447,Culvert,Box culvert,21.7486386,91.9757771,,R172.lrps.htm
,LRP012,11.925,Km Post,Badarkhali 5Km,21.7461108,91.9720827,,R172.lrps.htm
,LRP012a,12.357,Culvert,Box culvert,21.7442774,91.9683604,,R172.lrps.htm
,LRP013,12.925,Km Post,Km post Broken,21.7443608,91.9633889,,R172.lrps.htm
,LRP013a,13.019,Culvert,Box culvert,21.7437497,91.9628056,,R172.lrps.htm
,LRP013b,13.15,Culvert,Box culvert,21.7428608,91.9619722,,R172.lrps.htm
,LRP013c,13.299,Culvert,Box culvert,21.7417219,91.9614167,,R172.lrps.htm
,LRP013d,13.755,Culvert,Box culvert,21.7386386,91.9591389,,R172.lrps.htm
,LRP014,13.935,Km Post,KM post Broken,21.7378608,91.9573611,,R172.lrps.htm
,LRP014a,14.107,Culvert,Box culvert,21.7367219,91.9562778,,R172.lrps.htm
,LRP014b,14.28,Culvert,Box culvert,21.7352497,91.95575,,R172.lrps.htm
,LRP014c,14.775,Culvert,Box culvert,21.7308327,91.9558889,,R172.lrps.htm
,LRP014d,14.91,Culvert,Box culvert,21.7296938,91.9556389,,R172.lrps.htm
,LRP015,14.92,Km Post,Badarkhali 2Km,21.7296104,91.9555833,,R172.lrps.htm
,LRP015a,15.745,Culvert,Box culvert,21.7223604,91.9553056,,R172.lrps.htm
,LRP016,15.92,Km Post,Badarkhali 1km,21.7208327,91.955,,R172.lrps.htm
,LRP016a,16.675,Culvert,Box culvert,21.7164444,91.9505,,R172.lrps.htm
,LRP017,16.91,Km Post,Km post missing,21.7162222,91.9482497,,R172.lrps.htm
,LRPE,17.27,Others,Bridge end & road end with Moheshkhali bridge,21.7158889,91.9448608,,R172.lrps.htm
,,,,,,,,R172.lrps.htm
,,,,,,,,R172.lrps.htm
