,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Road Start From N2 At Khadimnagar Bypass Point,24.9162778,91.9495552,,N210.lrps.htm
,LRP001,0.04,Km Post,Dhaka 255 Km,24.9158889,91.9496663,,N210.lrps.htm
,LRP001a,0.2,Culvert,Box Culvert,24.9145,91.9496941,,N210.lrps.htm
,LRP001b,0.649,Culvert,Box Culvert,24.9104722,91.9496108,,N210.lrps.htm
,LRP001c,0.732,Culvert,Box Culvert,24.9097778,91.9494719,,N210.lrps.htm
,LRP001d,1.005,Culvert,Box Culvert,24.9073889,91.9488886,,N210.lrps.htm
,LRP002,1.03,Km Post,Dhaka 254 Km,24.90725,91.948833,,N210.lrps.htm
,LRP002a,1.628,Culvert,Box Culvert,24.902,91.9475552,,N210.lrps.htm
,LRP002b,1.945,Culvert,Box Culvert,24.8992774,91.9468608,,N210.lrps.htm
,LRP003,2.035,Km Post,Dhaka 253 Km,24.8984997,91.9466386,,N210.lrps.htm
,LRP003a,2.644,Culvert,Box Culvert,24.8932219,91.9450552,,N210.lrps.htm
,LRP003b,2.95,Culvert,Box Culvert,24.8905552,91.9441386,,N210.lrps.htm
,LRP004,3.035,Km Post,Dhaka 252 Km,24.8898052,91.9438886,,N210.lrps.htm
,LRP004a,3.151,Bridge,Bridge Start,24.888833,91.943583,,N210.lrps.htm
,LRP004b,3.194,Bridge,Bridge End,24.8884441,91.9434719,,N210.lrps.htm
,LRP004c,3.376,Culvert,Box Culvert,24.8869163,91.9429441,,N210.lrps.htm
,LRP004d,3.719,Culvert,Box Culvert,24.8841941,91.9414997,,N210.lrps.htm
,LRP005,4.04,Km Post,Dhaka 251 Km,24.8818327,91.9394719,,N210.lrps.htm
,LRP005a,4.129,Culvert,Box Culvert,24.8812771,91.9389441,,N210.lrps.htm
,LRP005b,4.421,Culvert,Box Culvert,24.8792493,91.9371108,,N210.lrps.htm
,LRP005c,4.713,Culvert,Box Culvert,24.8772216,91.9353052,,N210.lrps.htm
,LRP006,5.04,Km Post,Dhaka 250 Km,24.8748604,91.9331938,,N210.lrps.htm
,LRP006a,5.195,Culvert,Box Culvert,24.8738327,91.9322771,,N210.lrps.htm
,LRP007,5.97,Km Post,Dhaka 249 Km,24.8673604,91.9304993,,N210.lrps.htm
,LRP007a,5.985,Bridge,Bridge Start,24.8672216,91.9304993,,N210.lrps.htm
,LRP007b,6.385,Bridge,Bridge End,24.8637222,91.9295827,,N210.lrps.htm
,LRP007c,7.045,Cross Road,"R250,Sylhet-Jakiganj road",24.8581111,91.9277771,,N210.lrps.htm
,LRP008,7.07,Km Post,Dhaka 248 Km,24.8578611,91.9276382,,N210.lrps.htm
,LRP008a,7.194,Culvert,Box Culvert,24.8568611,91.9272216,,N210.lrps.htm
,LRP008b,7.75,Culvert,Box Culvert,24.8524444,91.9246382,,N210.lrps.htm
,LRP009,8.07,Km Post,Dhaka 247 Km,24.8499163,91.922916,,N210.lrps.htm
,LRP009a,8.094,Culvert,Box Culvert,24.849333,91.9224993,,N210.lrps.htm
,LRP009b,8.529,Culvert,Box Culvert,24.8476386,91.9193604,,N210.lrps.htm
,LRP009c,9.04,Culvert,Box Culvert,24.846833,91.9144444,,N210.lrps.htm
,LRP010,9.07,Km Post,Dhaka 246 Km,24.846833,91.9140278,,N210.lrps.htm
,LRP010a,9.545,Culvert,Box Culvert,24.8469997,91.9093611,,N210.lrps.htm
,LRP010b,10.055,Culvert,Box Culvert,24.8474163,91.9044167,,N210.lrps.htm
,LRP011,10.07,Km Post,Dhaka 245 Km,24.8474719,91.9041667,,N210.lrps.htm
,LRP011a,10.313,Culvert,Box Culvert,24.8476663,91.9017778,,N210.lrps.htm
,LRPE,10.844,Others,Road End With N208 at Royal City Chottor,24.8479997,91.8967497,,N210.lrps.htm
,,,,,,,,N210.lrps.htm
,,,,,,,,N210.lrps.htm
