,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRP026a,25.95,Culvert,Box culvert,23.7495274,89.1263882,,N704.lrps.htm
,LRP027,26.886,Km Post,Kustia 19 km Bogra 168 km,23.757,89.1221382,,N704.lrps.htm
,LRP027a,26.966,Culvert,Box culvert,23.7576667,89.1217771,,N704.lrps.htm
,LRP027b,27.606,Bridge,Bridge(Brovrn0,23.7629444,89.1193882,,N704.lrps.htm
,LRP027c,27.637,Bridge,Bridge (Broven),23.7631944,89.1193049,,N704.lrps.htm
,LRP028,27.886,Km Post,Km post missing,23.7656667,89.1184438,,N704.lrps.htm
,LRP029,28.876,Km Post,Kustia 17 km Meherpur 75 km,23.7738327,89.1155556,,N704.lrps.htm
,LRP030,29.876,Km Post,Kustia 16 km Pabna 49 km,23.782416,89.1128056,,N704.lrps.htm
,LRP030a,30.03,Culvert,Box Culvert,23.783833,89.1125278,,N704.lrps.htm
,LRP030b,30.278,Culvert,Box Culvert,23.7859997,89.1121111,,N704.lrps.htm
,LRP031,30.876,Km Post,Kustia 15 km,23.7912497,89.1111111,,N704.lrps.htm
,LRP031a,31.744,Culvert,Box Culvert,23.7989719,89.1096389,,N704.lrps.htm
,LRP032,31.876,Km Post,Rajshasi 151 km Kustia 14 km,23.8001111,89.1094444,,N704.lrps.htm
,LRP033,32.873,Km Post,Kustia 13 km,23.8089444,89.10775,,N704.lrps.htm
,LRP033a,33.483,Culvert,Box culvert,23.8143056,89.10675,,N704.lrps.htm
,LRP033b,33.544,Bridge,R.C.C Bridge start,23.8148611,89.1094167,,N704.lrps.htm
,LRP033c,33.563,Bridge,R.C.c Bridge end,23.8151111,89.1066111,,N704.lrps.htm
,LRP034,33.873,Km Post,Km post missing,23.8180271,89.1060556,,N704.lrps.htm
,LRP035,34.873,Km Post,Kustia 11 km Bogra 160 km,23.8266938,89.1044444,,N704.lrps.htm
,LRP035a,35.413,Culvert,Box Culvert,23.8315271,89.1035278,,N704.lrps.htm
,LRP036,35.873,Km Post,Kustia 10 km Rajshahi 147 km,23.835583,89.10275,,N704.lrps.htm
,LRP037,36.868,Km Post,Kustia 9 km Meherpur 59 km,23.8436108,89.0987774,,N704.lrps.htm
,LRP037a,37.123,Culvert,Box Culvert,23.8454997,89.0973886,,N704.lrps.htm
,LRP038,37.868,Km Post,Km post missing,23.852,89.0984997,,N704.lrps.htm
,LRP038a,38.49,Culvert,Box culvert,23.8575833,89.0993886,,N704.lrps.htm
,LRP039,38.868,Km Post,Kustia 7 km Bogra 156 km,23.86025,89.0979719,,N704.lrps.htm
,LRP040,39.858,Km Post,Km post broken,23.868416,89.094333,,N704.lrps.htm
,LRP040a,40.382,Culvert,R.C.c Culvert,23.872916,89.0927774,,N704.lrps.htm
,LRP041,40.878,Km Post,Kustia 5 km Meherpur 63 km,23.8770827,89.0912774,,N704.lrps.htm
,LRP041a,41.222,"Side Road, Left",R747 to Chuadanga,23.8800827,89.0921663,,N704.lrps.htm
,LRP041b,41.302,Culvert,Sluice ghat,23.8803882,89.0925552,,N704.lrps.htm
,LRP041c,41.378,Culvert,Box Culvert,23.8807493,89.0931941,,N704.lrps.htm
,LRP042,42.038,Km Post,Kustia 4 km,23.8833049,89.0992774,,N704.lrps.htm
,LRP042a,42.428,Culvert,Box Culvert,23.8847219,89.1027778,,N704.lrps.htm
,LRP043,42.858,Km Post,Kustia 3 km Bogra 152 km,23.8866386,89.1064167,,N704.lrps.htm
,LRP043a,43.069,Bridge,R.C.c Bridge start,23.888083,89.1078333,,N704.lrps.htm
,LRP043b,43.104,Bridge,R.C.c Bridge end,23.8883052,89.1080278,,N704.lrps.htm
,LRP043c,43.43,"Side Road, Right",R 710 Rajbari,23.8907219,89.1099722,,N704.lrps.htm
,LRP043d,43.585,Culvert,Box culvert,23.8919163,89.1108889,,N704.lrps.htm
