Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic,source_file
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),Z8408.traffic.htm
Z8408-1,Borashi (Int.with R850) - Int.with N805,LRPS,0,0,LRP002,1891,3.14,3.140,0.0,0.0,48.0,0.0,0.0,63.0,35.0,71.0,597.0,315.0,265.0,334.0,0.0,1129.0,599.0,1728.0,1728.0,Z8408.traffic.htm
Z8408-2,Int.with N805 - Shingipara (Int.with Z7704),LRP002,1275,3.14,LRP002,12200,13.449,10.309,0.0,0.0,48.0,0.0,0.0,63.0,35.0,71.0,597.0,315.0,265.0,334.0,0.0,1129.0,599.0,1728.0,1728.0,Z8408.traffic.htm
,,,,,,,,,,,,,,,,,,,,,,,,,,Z8408.traffic.htm
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,,Z8408.traffic.htm
