Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic,source_file
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),R170.traffic.htm
R170-1,"Patiya (road start, int with N1) - Satterhat (int with Z1070)",LRPS,0,0,LRPS,10460,10.46,10.460,0.0,128.0,102.0,0.0,0.0,76.0,22.0,64.0,2200.0,726.0,1232.0,1340.0,0.0,3318.0,2572.0,5890.0,5890.0,R170.traffic.htm
R170-2,Satterhat (int with Z1070) - int with Z1040,LRPS,10460,10.46,LRPS,13795,13.795,3.335,0.0,128.0,102.0,0.0,0.0,76.0,22.0,64.0,2200.0,726.0,1232.0,1340.0,0.0,3318.0,2572.0,5890.0,5890.0,R170.traffic.htm
R170-3,Int with Z1040 - Anowara Hospital (int with Z1018),LRPS,13795,13.795,LRP016,1400,17.145,3.350,0.0,124.0,319.0,97.0,331.0,241.0,63.0,289.0,4314.0,550.0,119.0,147.0,0.0,6328.0,266.0,6594.0,6594.0,R170.traffic.htm
R170-4,Anowara Hospital (int with Z1018) - Gunaigari (Int.with Z1019),LRP016,1400,17.145,LRP035,988,34.688,17.543,0.0,124.0,319.0,97.0,331.0,241.0,63.0,289.0,4314.0,550.0,119.0,147.0,0.0,6328.0,266.0,6594.0,6594.0,R170.traffic.htm
R170-5,Gunaigari (Int.with Z1019) - Bashkhali (int with R171),LRP035,988,34.688,LRP044,1000,43.7,9.012,0.0,124.0,319.0,97.0,331.0,241.0,63.0,289.0,4314.0,550.0,119.0,147.0,0.0,6328.0,266.0,6594.0,6594.0,R170.traffic.htm
R170-6,Bashkhali (int with R171) - Toitong (int with Z1124),LRP044,1000,43.7,LRP057,1071,56.901,13.201,0.0,124.0,319.0,97.0,331.0,241.0,63.0,289.0,4314.0,550.0,119.0,147.0,0.0,6328.0,266.0,6594.0,6594.0,R170.traffic.htm
R170-7,Toitong (int with Z1124) - Pekua (int with Z1125),LRP057,1071,56.901,LRP059,6015,63.845,6.944,0.0,250.0,216.0,0.0,685.0,246.0,391.0,178.0,1164.0,267.0,148.0,1528.0,0.0,3397.0,1676.0,5073.0,5073.0,R170.traffic.htm
R170-8,Pekua (int with Z1125) - Bagguzra (int with Z1127),LRP059,6015,63.845,LRP059,11310,69.14,5.295,0.0,250.0,216.0,0.0,685.0,246.0,391.0,178.0,1164.0,267.0,148.0,1528.0,0.0,3397.0,1676.0,5073.0,5073.0,R170.traffic.htm
R170-9,"Bagguzra (int with Z1127) - Eidmoni (road end, int with R172)",LRP059,11310,69.14,LRP059,16754,74.584,5.444,0.0,250.0,216.0,0.0,685.0,246.0,391.0,178.0,1164.0,267.0,148.0,1528.0,0.0,3397.0,1676.0,5073.0,5073.0,R170.traffic.htm
,,,,,,,,,,,,,,,,,,,,,,,,,,R170.traffic.htm
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,,R170.traffic.htm
