,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start of road from N2 Round about at intersection at Itakhola,23.980166,90.7334719,,R211.lrps.htm
,LRPSa,0.075,Bridge,Bridge start,23.9808049,90.7337219,,R211.lrps.htm
,LRPSb,0.086,Bridge,Bridge end,23.9808882,90.7337497,,R211.lrps.htm
,LRP001,0.901,Km Post,Kishoreganj 48 km Motkhola 29 km,23.9879163,90.735583,,R211.lrps.htm
,LRP001a,1.162,Culvert,Box Culvert,23.9901108,90.7360552,,R211.lrps.htm
,LRP001b,1.691,Culvert,Box Culvert,23.9947219,90.7371386,,R211.lrps.htm
,LRP002,1.923,Km Post,Kishoreganj 47 km Motkhola 28 km,23.9967497,90.7375552,,R211.lrps.htm
,LRP002a,2.452,Culvert,Box Culvert,24.0015,90.7375274,,R211.lrps.htm
,LRP003,2.933,Km Post,Kishoreganj 46 km Motkhola 27 km,24.0057778,90.7374163,,R211.lrps.htm
,LRP003a,3.564,Culvert,Box Culvert,24.0114444,90.7372497,,R211.lrps.htm
,LRP003b,3.75,"Side Road, Right",Road to Narsingdi Z2033,24.0129722,90.7373052,,R211.lrps.htm
,LRP004,3.946,Km Post,Kishoreganj 45 km Motkhola 26 km,24.0147778,90.7371941,,R211.lrps.htm
,LRP004a,4.351,Bridge,Bridge start,24.0183604,90.7375274,,R211.lrps.htm
,LRP005,4.962,Km Post,"Kishoreganj 44 km ,Motkhola 25 km",24.0238327,90.7381386,,R211.lrps.htm
,LRP005a,5.178,Culvert,Box Culvert,24.0257216,90.7383052,,R211.lrps.htm
,LRP006,5.961,Km Post,Kishoreganj 43 km Motkhola 24 km,24.0324993,90.7363608,,R211.lrps.htm
,LRP006a,5.99,Bridge,Bridge start,24.0327216,90.736333,,R211.lrps.htm
,LRP006b,6.001,Bridge,Bridge end,24.0328327,90.7363052,,R211.lrps.htm
,LRP006c,6.196,Culvert,Box Culvert,24.0344997,90.7357497,,R211.lrps.htm
,LRP006d,6.632,"Side Road, Left",Road to Banren bazar (Z2036),24.0383052,90.7347497,,R211.lrps.htm
,LRP007,6.978,Km Post,Info missing,24.0406386,90.7367774,,R211.lrps.htm
,LRP007a,7.284,"Side Road, Left",Road to Hatirdia (Z2044),24.0427219,90.7384441,,R211.lrps.htm
,LRP007b,7.395,Bridge,Bridge start,24.0436941,90.7383608,,R211.lrps.htm
,LRP007c,7.409,Bridge,Bridge end,24.043833,90.738333,,R211.lrps.htm
