,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start at Policchnical more infront of Alco Aluminium sign Board and Intersection R585&R586(Fulbari Bus Stand )Dinajpur.,25.6230271,88.6439719,,R586.lrps.htm
,LRP001,1,Km Post,Km post missing,25.6310827,88.6483052,,R586.lrps.htm
,LRP001a,1.16,Cross Road,"Z-5025,Dinajpur -Rangpur Road",25.6323049,88.6491108,,R586.lrps.htm
,LRP001b,1.19,Bridge,R.C.C Bridge start,25.6492497,88.6493886,,R586.lrps.htm
,LRP001c,1.21,Bridge,R.C.C Bridge end,25.6492497,88.6492497,,R586.lrps.htm
,LRP001d,1.618,Culvert,Box culvert,25.636083,88.6495274,,R586.lrps.htm
,LRP002,2,Km Post,Km post missing,25.6396108,88.6485552,,R586.lrps.htm
,LRP003,3,Km Post,Km post missing,25.6484719,88.6466941,,R586.lrps.htm
,LRPE,3.266,Others,"End at Km post Takurgaon 54 km,Fulbari 44 km,Govt .College more Dinajpur .Intersection with N508.",25.6510278,88.6465274,,R586.lrps.htm
,,,,,,,,R586.lrps.htm
,,,,,,,,R586.lrps.htm
