,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start of road from N 804 at Goalchamat infront of upazila Porishod.,23.5889163,89.8094167,,N808.lrps.htm
,LRP001,1,Km Post,Km Post Missing,23.5816382,89.8147222,,N808.lrps.htm
,LRP001a,1.73,Culvert,Box Culvert,23.5774993,89.8203604,,N808.lrps.htm
,LRP002,2,Km Post,Km Post Missing,23.5759438,89.8223882,,N808.lrps.htm
,LRP002a,2.681,Culvert,Box Culvert,23.5719716,89.8274716,,N808.lrps.htm
,LRP003,3,Km Post,Km Post Missing,23.5701104,89.8297771,,N808.lrps.htm
,LRP003a,3.788,Culvert,Box Culvert,23.568166,89.8364997,,N808.lrps.htm
,LRP004,4,Km Post,Km Post Missing,23.5685271,89.8386663,,N808.lrps.htm
,LRP004a,4.738,Culvert,Box Culvert,23.5689993,89.8458608,,N808.lrps.htm
,LRP005,5,Km Post,Km Post Missing,23.5684993,89.848333,,N808.lrps.htm
,LRPE,5.3,Others,End of road at Munshibazar intersect with N 804 Faridpur,23.5677771,89.8514444,,N808.lrps.htm
,,,,,,,,N808.lrps.htm
,,,,,,,,N808.lrps.htm
