,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Road start from Lakshmipur town Bridge(Tero baki),22.9369997,90.8291382,,R147.lrps.htm
,LRP001,1,Km Post,Kmpost missing,22.9336663,90.8213604,,R147.lrps.htm
,LRP001a,1.835,Bridge,Bridge stars,22.9323604,90.8140556,,R147.lrps.htm
,LRP001b,1.885,Bridge,Bridge End,22.9326938,90.81375,,R147.lrps.htm
,LRP002,2,Km Post,Km post missing,22.9327493,90.8126389,,R147.lrps.htm
,LRP002a,2.065,Culvert,Box Culvert,22.932666,90.812,,R147.lrps.htm
,LRPE,2.205,Others,"Road end with N 809 at Kacharibari,Tero baki",22.9325549,90.8106667,,R147.lrps.htm
,,,,,,,,R147.lrps.htm
,,,,,,,,R147.lrps.htm
