Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic,source_file
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),Z5025.traffic.htm
Z5025-1,Rangpur (Bus Terminal)-Ghagat Bridge(int.with Z5014),LRPS,0,0,LRP004,132,3.152,3.152,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,*  NS,Z5025.traffic.htm
Z5025-2,Ghagat Bridge(int.with Z5014)-Modhupur(int.with Z5024),LRP004,132,3.152,LRP021,15,20.041,16.889,0.0,304.0,316.0,9.0,81.0,92.0,72.0,34.0,602.0,1927.0,1847.0,1388.0,1.0,3437.0,3236.0,6673.0,6673.0,Z5025.traffic.htm
Z5025-3,Modhupur(int.with Z5024)-Badarganj(int.with R557),LRP021,15,20.041,LRP023,2300,23.956,3.915,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,*  NS,Z5025.traffic.htm
Z5025-4,Badarganj(int.with R557)-Laldighi(int.with Z5015),LRP023,2300,23.956,LRP030,140,28.896,4.940,3.0,281.0,379.0,4.0,1.0,116.0,46.0,59.0,837.0,2573.0,2292.0,905.0,0.0,4299.0,3197.0,7496.0,7496.0,Z5025.traffic.htm
Z5025-5,Laldighi(int.with Z5015)-Kholahati Cantonemnt(int.with Z5801),LRP030,140,28.896,LRP031,380,30.216,1.320,3.0,251.0,162.0,29.0,4.0,45.0,38.0,32.0,411.0,1154.0,584.0,670.0,0.0,2129.0,1254.0,3383.0,3383.0,Z5025.traffic.htm
Z5025-6,Kholahati Cantonemnt(int.with Z5801)-Parbatipur(int.with Z5857),LRP031,380,30.216,LRP039,50,37.946,7.730,3.0,251.0,162.0,29.0,4.0,45.0,38.0,32.0,411.0,1154.0,584.0,670.0,0.0,2129.0,1254.0,3383.0,3383.0,Z5025.traffic.htm
Z5025-7,Parbatipur(int.with Z5857)-Chirirbandar(int.with Z5804),LRP039,50,37.946,LRP053,794,52.61,14.664,3.0,251.0,162.0,29.0,4.0,45.0,38.0,32.0,411.0,1154.0,584.0,670.0,0.0,2129.0,1254.0,3383.0,3383.0,Z5025.traffic.htm
Z5025-8,Chirirbandar(int.with Z5804)-Dinajpur (Kumarpara),LRP053,794,52.61,LRP062,5200,66.126,13.516,3.0,281.0,379.0,4.0,1.0,116.0,46.0,59.0,837.0,2573.0,2292.0,905.0,0.0,4299.0,3197.0,7496.0,7496.0,Z5025.traffic.htm
,,,,,,,,,,,,,,,,,,,,,,,,,,Z5025.traffic.htm
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,,Z5025.traffic.htm
