,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Road Start infront of Ruppur Power Plant Signboard Ishwardi.,24.0753604,89.0661667,,N705.lrps.htm
,LRP001,0.025,Km Post,Information missing,24.0755549,89.0661389,,N705.lrps.htm
,LRP002,1.025,Km Post,Km post missing,24.0822216,89.072166,,N705.lrps.htm
,LRP003,2.025,Km Post,Km post missing,24.0733604,89.0768049,,N705.lrps.htm
,LRP004,2.52,Km Post,Info missing,24.0943608,89.0793327,,N705.lrps.htm
,LRP004a,3.263,Culvert,Box culvert,24.1005556,89.0813327,,N705.lrps.htm
,LRP004b,3.275,Culvert,Box Culvert,24.1006389,89.0812771,,N705.lrps.htm
,LRP005,3.63,Km Post,Info missing,24.1039444,89.0802771,,N705.lrps.htm
,LRP005a,4.084,Culvert,Box culvert 2 vent,24.1078889,89.0780827,,N705.lrps.htm
,LRP005b,4.103,Culvert,Box Culvert 2 vent,24.1079444,89.0788882,,N705.lrps.htm
,LRP006,4.63,Km Post,Km post missing,24.1123889,89.0774716,,N705.lrps.htm
,LRP006a,5.008,Monument,Alhaz Mohn,24.1156389,89.0772493,,N705.lrps.htm
,LRP006b,5.04,"Side Road, Left",Road to Baneswer (Z6006),24.1157222,89.0776938,,N705.lrps.htm
,LRP007,5.483,Km Post,Kushtia 43 km,24.1163333,89.081416,,N705.lrps.htm
,LRP008,6.473,Km Post,Information missing,24.118666,89.0907497,,N705.lrps.htm
,LRP009,7.503,Km Post,Ishwardi 3 km,24.117916,89.1006111,,N705.lrps.htm
,LRP010,8.483,Km Post,Paksey 11 km,24.1167771,89.1100556,,N705.lrps.htm
,LRPE,9.453,Others,"End of road Infront of Bkash Sign Board at Intersection of N 704 & N705,Dasuria.",24.1299993,89.1186938,,N705.lrps.htm
,,,,,,,,N705.lrps.htm
,,,,,,,,N705.lrps.htm
