,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,"Start from N-7 at Power house more infornt of Asian bazar, Khulna",22.8189716,89.5582222,,R760.lrps.htm
,LRPSa,0.218,Culvert,Cross drain,22.8172771,89.5577222,,R760.lrps.htm
,LRP001,1,Km Post,KM post missing,22.8103611,89.5564722,,R760.lrps.htm
,LRP001a,1.105,Culvert,Box Culvert,22.8094444,89.5564167,,R760.lrps.htm
,LRP002,1.7,Km Post,Chuknagar 29Km,22.8040278,89.5552222,,R760.lrps.htm
,LRP002a,1.926,Round About,Nirala more,22.8023333,89.5544722,,R760.lrps.htm
,LRP002b,2.208,Culvert,Box Culvert,22.8017222,89.5518889,,R760.lrps.htm
,LRP003,2.716,Km Post,Satkhira 56Km,22.8013889,89.546833,,R760.lrps.htm
,LRP003a,3.376,Bridge,PC Gieder Bridge start,22.8006667,89.5404997,,R760.lrps.htm
,LRP003b,3.426,Bridge,PC Gieder Bridge start,22.8006111,89.5399997,,R760.lrps.htm
,LRP003c,3.559,"Side Road, Left","Z7606, Batiaghata road",22.8003333,89.5387219,,R760.lrps.htm
,LRP004,3.731,Km Post,Chuknagar 27Km,22.8,89.5372219,,R760.lrps.htm
,LRP004a,3.982,Monument,Khulna University,22.7994719,89.5346941,,R760.lrps.htm
,LRP004b,4.615,Cross Road,"N-709, Khulna city bypass",22.7981386,89.5288327,,R760.lrps.htm
,LRP005,4.731,Km Post,Satkhira 54 Km,22.7980274,89.5277216,,R760.lrps.htm
,LRP006,5.731,Km Post,Chuknagar 25Km,22.7960552,89.5182216,,R760.lrps.htm
,LRP007,6.731,Km Post,Satkhira 52Km,22.7942497,89.5086389,,R760.lrps.htm
,LRP008,7.725,Km Post,Chuknagar 23Km,22.7931386,89.4990552,,R760.lrps.htm
,LRP008a,8.64,Bridge,R.C.C. Bridge start,22.792083,89.4901941,,R760.lrps.htm
,LRP008b,8.678,Bridge,R.C.C. Bridge End,22.7919997,89.4898886,,R760.lrps.htm
,LRP009,8.725,Km Post,Information not clear,22.791833,89.4892774,,R760.lrps.htm
,LRP009a,9.42,Bridge,R.C.C. Girder Bridge start,22.7901108,89.4828049,,R760.lrps.htm
,LRP009b,9.493,Bridge,R.C.C. Girder Bridge end,22.7898052,89.482166,,R760.lrps.htm
,LRP010,9.725,Km Post,KM post missing,22.7890552,89.479916,,R760.lrps.htm
,LRP010a,10.315,Culvert,Box Culvert,22.7894719,89.474166,,R760.lrps.htm
,LRP010b,10.635,Culvert,BOx Culvert,22.789833,89.4683604,,R760.lrps.htm
,LRP011,10.705,Km Post,Satkhira 48Km,22.7898886,89.4705549,,R760.lrps.htm
,LRP011a,10.849,Culvert,Box Culvert,22.7900274,89.4691104,,R760.lrps.htm
,LRP012,11.705,Km Post,Chuknagar 19Km,22.7925274,89.4613333,,R760.lrps.htm
,LRP013,12.715,Km Post,Satkhira 46Km,22.7964997,89.4525278,,R760.lrps.htm
,LRP013a,13.185,Bridge,R.C.C. Bridge start,22.7983886,89.4483608,,R760.lrps.htm
,LRP013b,13.223,Bridge,R.C.C. Bridge end,22.7983886,89.4481108,,R760.lrps.htm
,LRP014,13.711,Km Post,Chuknagar 17Km,22.8002222,89.4437219,,R760.lrps.htm
,LRP015,14.711,Km Post,Saatkhira 44Km,22.8032778,89.4346941,,R760.lrps.htm
,LRP016,15.711,Km Post,Cuknagar 15Km,22.8057778,89.4253604,,R760.lrps.htm
,LRP016a,15.861,Culvert,Box culvert,22.8061389,89.4239716,,R760.lrps.htm
,LRP016b,16.581,"Side Road, Right","Z-7043, Fultala Road",22.8079722,89.417166,,R760.lrps.htm
,LRP017,16.711,Km Post,KM post missing,22.8084167,89.4153889,,R760.lrps.htm
