,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,"Start Road at Bhulta ,Intersection with N2(Dhaka Sylhet Road)&N105.",23.7849163,90.5650833,,R202.lrps.htm
,LRP001,1.051,Km Post,Info.Missing,23.7868052,90.5526944,,R202.lrps.htm
,LRP002,2.051,Km Post,Km post missing,23.7864719,90.5454441,,R202.lrps.htm
,LRP003,3.051,Km Post,Km post missing,23.7878886,90.5351663,,R202.lrps.htm
,LRP004,4.051,Km Post,Km post missing,23.7885552,90.5393886,,R202.lrps.htm
,LRP004a,4.171,Bridge,Bridge start,23.7891941,90.5267771,,R202.lrps.htm
,LRP004b,4.187,Bridge,Bridge end,23.7891941,90.5266382,,R202.lrps.htm
,LRP004c,4.591,Others,Murrapara Ferry ghat,23.7897774,90.522916,,R202.lrps.htm
,LRP004d,4.764,Others,Murrapara ferry ghat,23.7914441,90.5217771,,R202.lrps.htm
,LRP005,5.051,Km Post,Km post missing,23.7903886,90.5202493,,R202.lrps.htm
,LRP005a,5.398,Culvert,Box Culvert,23.7876941,90.5195271,,R202.lrps.htm
,LRP006,6.051,Km Post,Km post missing,23.7828049,90.5149444,,R202.lrps.htm
,LRP006a,6.086,Bridge,Vangrra Bridge,23.7826104,90.5147778,,R202.lrps.htm
,LRP006b,6.149,Bridge,61.4 km (Manualy),23.7821382,90.5143611,,R202.lrps.htm
,LRP007,7.051,Km Post,Km post missing,23.7771382,90.5084167,,R202.lrps.htm
,LRP008,7.764,Km Post,Infor.missing,23.7765827,90.50175,,R202.lrps.htm
,LRP008a,8.027,Culvert,Box Culvert,23.6089722,90.4994719,,R202.lrps.htm
,LRP009,8.764,Km Post,Km post missing,23.774666,90.4926941,,R202.lrps.htm
,LRP009a,8.975,Bridge,30.4 km(Manually),23.7751938,90.4908052,,R202.lrps.htm
,LRP009b,9.003,Bridge,30.4km (Manuallu),23.775166,90.4905274,,R202.lrps.htm
,LRP010,9.764,Km Post,Km post missing,23.7731104,90.4837497,,R202.lrps.htm
,LRP010a,9.845,Others,The Bank of Bahe river. Bridge under construction.,23.7728049,90.4830549,,R202.lrps.htm
,LRPE,23,Others,Road end at Rampura.,0,0,,R202.lrps.htm
,,,,,,,,R202.lrps.htm
,,,,,,,,R202.lrps.htm
