,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Road Start with N5 at Nabinagar.,23.9135,90.2585,,N540.lrps.htm
,LRP001,1,Km Post,Km post missing,23.9217771,90.2621111,,N540.lrps.htm
,LRP002,2,Km Post,Km post missing,23.9300271,90.2658333,,N540.lrps.htm
,LRP002a,2.844,Bridge,Bridge start,23.9369997,90.2690549,,N540.lrps.htm
,LRP002b,2.978,Bridge,Bridge end,23.937333,90.2691938,,N540.lrps.htm
,LRP002c,2.979,"Side Road, Right","N302, Tongi -Ashulia- Zerabo EPZ road",23.938083,90.2695827,,N540.lrps.htm
,LRP003,3,Km Post,Km post missing,23.9382774,90.2696938,,N540.lrps.htm
,LRP004,4,Km Post,Km post missing,23.9467774,90.2736382,,N540.lrps.htm
,LRP005,5,Km Post,Km post missing,23.9553611,90.2723049,,N540.lrps.htm
,LRP006,6,Km Post,Km post missing,23.9633611,90.268916,,N540.lrps.htm
,LRP006a,6.743,Culvert,Box culvert,23.9695827,90.2662778,,N540.lrps.htm
,LRP007,7,Km Post,Km post missing,23.9717216,90.2653611,,N540.lrps.htm
,LRP007a,7.721,Bridge,Bridge start,23.9777493,90.2628611,,N540.lrps.htm
,LRP007b,7.759,Bridge,Bridge end,23.9780549,90.2627222,,N540.lrps.htm
,LRP008,8,Km Post,Km post missing,23.9801382,90.2618889,,N540.lrps.htm
,LRP009,9,Km Post,Km post missing,23.9884441,90.2580833,,N540.lrps.htm
,LRP010,10,Km Post,Km post missing,23.996583,90.2541389,,N540.lrps.htm
,LRP011,11,Km Post,Km post missing,24.0048056,90.2503056,,N540.lrps.htm
,LRP012,12,Km Post,Km post missing,24.0130278,90.2463886,,N540.lrps.htm
,LRP012a,12.52,Bridge,Bridge start,24.0173049,90.2445552,,N540.lrps.htm
,LRP012b,12.542,Bridge,Bridge end,24.0174438,90.2445274,,N540.lrps.htm
,LRP013,13,Km Post,Km post missing,24.0214716,90.2436941,,N540.lrps.htm
,LRP013a,13.942,Culvert,Box culvert,24.0298049,90.2421108,,N540.lrps.htm
,LRP014,14,Km Post,Km post missing,24.0303604,90.2420552,,N540.lrps.htm
,LRP014a,14.092,Others,RHD Gazipur Start,0,0,,N540.lrps.htm
,LRP014a,14.092,Others,RHD Gazipur Start,0,0,,N540.lrps.htm
,LRP015,15,Km Post,Km post missing,24.0392497,90.240333,,N540.lrps.htm
,LRPE,16.01,Others,Road End with N4 at Chandra.,24.0475552,90.2388886,,N540.lrps.htm
,,,,,,,,N540.lrps.htm
,,,,,,,,N540.lrps.htm
