,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,"Road start from N110 at bus terminal more, Cox's bazar",21.4272493,92.0061389,,R180.lrps.htm
,LRPSa,0.143,Culvert,Box culvert,21.4275271,92.0048889,,R180.lrps.htm
,LRPSb,0.533,Culvert,Box culvert,21.4296938,92.0019167,,R180.lrps.htm
,LRPSc,0.712,Culvert,Box culvert,21.4308049,92.0006944,,R180.lrps.htm
,LRP001,1.03,Km Post,Cox's Bazar 4km,21.4336108,91.9992219,,R180.lrps.htm
,LRP001a,1.047,Culvert,Box culvert,21.4354163,91.9991108,,R180.lrps.htm
,LRP001b,1.422,Culvert,Box culvert,21.4364719,91.9969719,,R180.lrps.htm
,LRP001c,1.694,Culvert,Box culvert,21.438333,91.9952774,,R180.lrps.htm
,LRP001d,2.085,Culvert,Box culvert,21.4396108,91.9916108,,R180.lrps.htm
,LRP002,2.105,Km Post,Information missing,21.4396663,91.9914163,,R180.lrps.htm
,LRP002a,2.65,Culvert,Box culvert,21.4410274,91.9866108,,R180.lrps.htm
,LRP002b,2.687,"Side Road, Right",Z 1132,21.4413052,91.9859997,,R180.lrps.htm
,LRP002c,2.926,Culvert,Box culvert,21.4415552,91.9844719,,R180.lrps.htm
,LRP003,3.105,Km Post,km post missing,21.4419719,91.9826382,,R180.lrps.htm
,LRP003a,3.165,Culvert,Box culvert,21.442083,91.9820827,,R180.lrps.htm
,LRP003b,3.33,Culvert,Box culvert,21.4424163,91.9828049,,R180.lrps.htm
,LRP003c,3.56,Culvert,Box culvert,21.4428886,91.9786104,,R180.lrps.htm
,LRP003d,3.658,Culvert,Box culvert,21.4419997,91.9777216,,R180.lrps.htm
,LRP004,4.235,Km Post,Cox's Bazar 1km,21.4434441,91.9710549,,R180.lrps.htm
,LRP004a,4.24,Culvert,Box culvert,21.4434163,91.9710271,,R180.lrps.htm
,LRP004b,4.67,"Side Road, Left",Side Road left,21.4420274,91.9683604,,R180.lrps.htm
,LRP005,5.235,Km Post,Km post missing,21.4372497,91.970916,,R180.lrps.htm
,LRP005a,5.642,Culvert,Box culvert,21.4340552,91.972666,,R180.lrps.htm
,LRPE,6.105,Others,Road end with intersection of N110 at Laboni point,21.4303327,91.9747216,,R180.lrps.htm
,,,,,,,,R180.lrps.htm
,,,,,,,,R180.lrps.htm
