,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,"Start from palbari more Triffic island and Intersection at N707 & N708 infront of Royal community Center, Jossore.",23.179666,89.194583,,N707.lrps.htm
,LRP001,0.201,Km Post,"Jessore 2 km, Khulna 62 km",23.1780549,89.1950274,,N707.lrps.htm
,LRP001a,1.197,Monument,Jagroto Bangla,23.1713049,89.2011111,,N707.lrps.htm
,LRP002,1.23,Km Post,"Jessore 1km, khulna 61km",23.1713604,89.2012222,,N707.lrps.htm
,LRP002a,1.232,"Side Road, Right",Airport road Z 7050,23.1713604,89.2011667,,N707.lrps.htm
,LRP002b,2.018,Monument,Bongobondhu Stomvo,23.1675271,89.2078056,,N707.lrps.htm
,LRP002c,2.228,Cross Road,"Left N-702,Right N706",23.1666938,89.2094167,,N707.lrps.htm
,LRP003,2.23,Km Post,Km post missing,23.1665278,89.2095556,,N707.lrps.htm
,LRP003a,2.42,Round About,Chitra more,23.1658611,89.2109167,,N707.lrps.htm
,LRP003b,2.772,Round About,Chowraster more,23.1653333,89.214,,N707.lrps.htm
,LRP003c,3.15,Culvert,Box culvert,23.1643333,89.2174716,,N707.lrps.htm
,LRP004,3.23,Km Post,km post missing,23.1642778,89.2175549,,N707.lrps.htm
,LRP004a,3.725,Culvert,Cross Drain,23.1620278,89.2213604,,N707.lrps.htm
,LRP004b,3.842,"Side Road, Left","N-708,Jessore town Alternate",23.1615833,89.2220271,,N707.lrps.htm
,LRP004c,3.902,"Side Road, Left","N806, Narail road",23.16125,89.222416,,N707.lrps.htm
,LRP004d,4,Monument,Muktijuddho stomvo,23.1604444,89.2228049,,N707.lrps.htm
,LRP005,4.34,Km Post,Km post Broken,23.1577222,89.2244438,,N707.lrps.htm
,LRP005a,5.295,Culvert,Cross drain,23.1511667,89.2302216,,N707.lrps.htm
,LRP006,5.35,Km Post,Km post broken,23.1507778,89.230416,,N707.lrps.htm
,LRP007,6.35,Km Post,Km post missing,22.1439163,89.2365552,,N707.lrps.htm
,,,,,,,,N707.lrps.htm
,,,,,,,,N707.lrps.htm
