,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,"R110 , Demra- Narayanganj road",23.7197216,90.4905274,,R112.lrps.htm
,LRP001,1.008,Km Post,Km post missing,23.7281104,90.4868886,,R112.lrps.htm
,LRP002,2.009,Km Post,Staff Quarter 2 km,23.7366663,90.4833049,,R112.lrps.htm
,LRP003,3.011,Km Post,Staff Quarter 3 km,23.7429163,90.4764438,,R112.lrps.htm
,LRP004,4,Km Post,Staff Quarter 4 km,23.7454719,90.4734716,,R112.lrps.htm
,LRP004a,4.225,Culvert,Box Culvert,23.7484441,90.4668049,,R112.lrps.htm
,LRP004b,4.99,Bridge,Bridge start,23.7496663,90.4599722,,R112.lrps.htm
,LRP004c,5.03,Bridge,Bridge end,23.749833,90.4596944,,R112.lrps.htm
,LRP004d,5.141,Culvert,Box Culvert,23.7500833,90.4541944,,R112.lrps.htm
,LRP005,5.211,Km Post,Infor.missing,23.7501667,90.4581389,,R112.lrps.htm
,LRP005a,5.891,Bridge,Bridge start,23.7526389,90.4523611,,R112.lrps.htm
,LRP005b,5.934,Bridge,Bridge end,23.7528611,90.4521389,,R112.lrps.htm
,LRP006,6.061,Km Post,Staff Quarter 6 km,23.7538889,90.4507778,,R112.lrps.htm
,LRP007,7.06,Km Post,Km post missing,23.7614167,90.4447497,,R112.lrps.htm
,LRP008,8.07,Km Post,Staff Quarter 8 km,23.7626667,90.4358608,,R112.lrps.htm
,LRPE,8.508,Others,The road ends at Ideal School,23.7639444,90.4308327,,R112.lrps.htm
,,,,,,,,R112.lrps.htm
,,,,,,,,R112.lrps.htm
