Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT)
Z7702-1,Signboard-Pingoria(int.with Z7718),LRPS,0,0,LRP001,3613,3.621,3.621,0.0,302.0,326.0,138.0,138.0,119.0,27.0,49.0,537.0,1036.0,754.0,882.0,0.0,2672.0,1636.0,4308.0,4308.0
Z7702-2,Pingoria(int.with Z7718)-Morelganj,LRP001,3613,3.621,LRP001,16446,16.454,12.833,0.0,75.0,74.0,33.0,50.0,16.0,18.0,10.0,1100.0,849.0,589.0,707.0,0.0,2225.0,1296.0,3521.0,3521.0
Z7702-2,Pingoria(int.with Z7718)-Morelganj,LRP001,3613,3.621,LRP001,16446,16.454,12.833,0.0,40.0,134.0,4.0,100.0,85.0,13.0,9.0,865.0,1037.0,696.0,649.0,0.0,2287.0,1345.0,3632.0,3632.0
Z7702-3,Morelganj-Morelganj (CARE Bazar),LRP001,16446,16.454,LRP024,3040,25.988,9.534,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,*  NS
Z7702-4,Morelganj (CARE Bazar)-Bogi,LRP024,3040,25.988,LRP053,202,52.039,26.051,0.0,75.0,74.0,33.0,50.0,16.0,18.0,10.0,1100.0,849.0,589.0,707.0,0.0,2225.0,1296.0,3521.0,3521.0
,,,,,,,,,,,,,,,,,,,,,,,,,
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,
