,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,"Start of Road from N5 at Banani, Bogra.",24.8158333,89.3797216,,N514.lrps.htm
,LRPSa,0.055,Round About,Round about,24.8155556,89.3794438,,N514.lrps.htm
,LRP001,1,Km Post,Km post missing,24.8239716,89.3783327,,N514.lrps.htm
,LRP002,2,Km Post,Km post missing,24.8327493,89.3760271,,N514.lrps.htm
,LRP002a,2.96,Culvert,Box culvert,24.841083,89.3740549,,N514.lrps.htm
,LRP003,3,Km Post,Km post missing,24.8414719,89.3740549,,N514.lrps.htm
,LRP003a,3.77,"Side Road, Left",Left N 510,24.8481663,89.3728327,,N514.lrps.htm
,LRP003b,3.78,Others,Sathmatha,24.8481663,89.3728327,,N514.lrps.htm
,LRP004,4,Km Post,Km post missing,24.8503333,89.3730549,,N514.lrps.htm
,LRP004,4,Km Post,Km post missing,24.8503333,89.3730549,,N514.lrps.htm
,LRP004a,4.09,"Side Road, Right",Z 5032 to Sariakandi,24.8508889,89.3729993,,N514.lrps.htm
,LRP004b,4.105,Rail Road Crossing,Rail road crossing,24.851,89.3730271,,N514.lrps.htm
,LRP004c,4.755,Culvert,Box Culvert,24.8570556,89.3725827,,N514.lrps.htm
,LRP005,5,Km Post,Km post missing,24.8591111,89.3726104,,N514.lrps.htm
,LRP005a,5.645,Culvert,Box culvert,24.8647778,89.3722493,,N514.lrps.htm
,LRP006,6,Km Post,Km post missing,24.8676104,89.3711104,,N514.lrps.htm
,LRP007,7,Km Post,Km post missing,24.8756938,89.3672771,,N514.lrps.htm
,LRP007a,7.85,"Side Road, Right",Z 5073,24.8831382,89.3631667,,N514.lrps.htm
,LRP008,8,Km Post,Km post missing,24.883583,89.3626111,,N514.lrps.htm
,LRP008a,8.185,Culvert,Box culvert,24.8849997,89.36175,,N514.lrps.htm
,LRPE,8.67,Others,"End at Matidali more and meet with N5,Bogra.",24.8891663,89.3602778,,N514.lrps.htm
,,,,,,,,N514.lrps.htm
,,,,,,,,N514.lrps.htm
