,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start of road from N1 at Keranirhat,22.1021389,92.0740827,,N108.lrps.htm
,LRPSa,0.886,Culvert,Box Culvert,22.10375,92.082416,,N108.lrps.htm
,LRP001,1.019,Km Post,Bandarban 21 km,22.1039722,92.0836108,,N108.lrps.htm
,LRP001a,1.214,Bridge,Bridge start,22.1045278,92.0852774,,N108.lrps.htm
,LRP001b,1.26,Bridge,Bridge end,22.1046111,92.0854163,,N108.lrps.htm
,LRP001c,1.586,Culvert,Box Culvert,22.1064167,92.0879163,,N108.lrps.htm
,LRP001d,2.031,Culvert,Box Culvert,22.1088056,92.0913052,,N108.lrps.htm
,LRP002,2.042,Km Post,Bandarban 20 km,22.1090556,92.0915552,,N108.lrps.htm
,LRP002a,2.316,Bridge,Bridge start,22.1096667,92.0940552,,N108.lrps.htm
,LRP002b,2.348,Bridge,Bridge end,22.1097222,92.094333,,N108.lrps.htm
,LRP002c,2.573,Bridge,Bridge start,22.1100556,92.0964997,,N108.lrps.htm
,LRP002d,2.598,Bridge,Bridge end,22.1100556,92.0967219,,N108.lrps.htm
,LRP003,3.042,Km Post,Km post missing,22.1111389,92.1008333,,N108.lrps.htm
,LRP004,4.042,Km Post,Km post missing,22.1164167,92.1084722,,N108.lrps.htm
,LRP004a,4.991,Bridge,Bridge Start,22.1225549,92.1147778,,N108.lrps.htm
,LRP004b,5.089,Bridge,Bridge end,22.123166,92.1153889,,N108.lrps.htm
,LRP005,5.092,Km Post,Bandarban 17 km,22.1231938,92.1153611,,N108.lrps.htm
,LRP005a,5.378,Culvert,Box Culvert,22.1245549,92.1175827,,N108.lrps.htm
,LRP005b,5.524,Culvert,Box Culvert,22.124666,92.1190271,,N108.lrps.htm
,LRP005c,5.793,Culvert,Box Culvert,22.1248604,92.1216104,,N108.lrps.htm
,LRP006,6.092,Km Post,Km post missing,22.1255827,92.124416,,N108.lrps.htm
,LRP006a,6.212,Bridge,Bridge start,22.1262771,92.1252771,,N108.lrps.htm
,LRP006b,6.249,Bridge,Bridge end,22.1264716,92.1255271,,N108.lrps.htm
,LRP006c,7.036,Bridge,Bridge start,22.1276104,92.1327493,,N108.lrps.htm
,LRP006d,7.087,Bridge,Bridge end,22.127666,92.1332216,,N108.lrps.htm
,LRP007,7.088,Km Post,Bandarban 15 km,22.127666,92.1332493,,N108.lrps.htm
,LRP007a,7.1,Culvert,Box Culvert,22.1277771,92.1348608,,N108.lrps.htm
,LRP007b,7.248,Culvert,Box Culvert,22.1273882,92.1395274,,N108.lrps.htm
,LRP007c,7.748,Culvert,Box Culvert,22.1273882,92.1395274,,N108.lrps.htm
,LRP008,8.079,Km Post,Bandarban 14 km,22.1268327,92.1426108,,N108.lrps.htm
,LRP008a,8.431,Bridge,Bridge start,22.1278049,92.145833,,N108.lrps.htm
,LRP008b,8.451,Bridge,Bridge end,22.1278049,92.1459997,,N108.lrps.htm
,LRP009,9.079,Km Post,Km post missing,22.1286382,92.1520833,,N108.lrps.htm
,LRP010,10.099,Km Post,Bandarban 12 km,22.1312493,92.1608889,,N108.lrps.htm
,LRP010a,10.112,Culvert,Box Culvert,22.1313604,92.1608889,,N108.lrps.htm
,LRP010b,10.58,Culvert,Box Culvert,22.1349441,92.1621389,,N108.lrps.htm
,LRP011,11.114,Km Post,Bandarban 11 km,22.1359719,92.16625,,N108.lrps.htm
,LRP011a,12.009,Bridge,Bridge start,22.1405274,92.1709716,,N108.lrps.htm
,LRP011b,12.083,Bridge,Bridge end,22.1406663,92.171666,,N108.lrps.htm
,LRP012,12.144,Km Post,Bandarban 10 km,22.1408608,92.1722216,,N108.lrps.htm
,LRP012a,12.327,Culvert,Box Culvert,22.1421941,92.1733049,,N108.lrps.htm
,LRP012b,12.462,Bridge,Bridge start,22.1426386,92.1743327,,N108.lrps.htm
,LRP012c,12.478,Bridge,Bridge end,22.1426108,92.1744993,,N108.lrps.htm
,LRP012d,12.633,Bridge,Bridge start,22.1427774,92.1757771,,N108.lrps.htm
,LRP012e,12.648,Bridge,Bridge end,22.142833,92.1758049,,N108.lrps.htm
,LRP012f,12.72,Bridge,Bridge start,22.1435552,92.1765271,,N108.lrps.htm
,LRP012g,12.734,Bridge,Bridge end,22.1436108,92.1765827,,N108.lrps.htm
,LRP012h,12.79,Bridge,Bridge start,22.143833,92.1768604,,N108.lrps.htm
,LRP012i,12.804,Bridge,Bridge end,22.1439163,92.1769438,,N108.lrps.htm
,LRP012j,13.109,Bridge,Bridge start,22.1461108,92.1779438,,N108.lrps.htm
,LRP012k,13.132,Bridge,Bridge end,22.1461941,92.1780827,,N108.lrps.htm
,LRP013,13.156,Km Post,Bandarban 9 km,22.1464163,92.1782771,,N108.lrps.htm
