,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start of from N104 at Pach Gachia mor,23.0091944,91.3693882,,N112.lrps.htm
,LRPSa,0.01,Culvert,Box Culvert,23.0093056,91.3694716,,N112.lrps.htm
,LRPSb,0.386,Culvert,Box Culvert,23.0117778,91.3716104,,N112.lrps.htm
,LRPSc,0.879,Culvert,Box Culvert,23.0160278,91.370416,,N112.lrps.htm
,LRP001,1,Km Post,Km post mising,23.0169993,91.370166,,N112.lrps.htm
,LRP001a,1.18,Culvert,Box Culvert,23.0186104,91.3704993,,N112.lrps.htm
,LRP001b,1.22,Cross Road,N1,23.0187493,91.3705271,,N112.lrps.htm
,LRP002,2,Km Post,Km post missing,23.0255827,91.3724438,,N112.lrps.htm
,LRP002a,2.7,Culvert,Box Culvert,23.0317216,91.374166,,N112.lrps.htm
,LRPE,2.72,Others,Start of road at Dewangonj mor meet with Z1031,23.0318604,91.3742493,,N112.lrps.htm
,,,,,,,,N112.lrps.htm
,,,,,,,,N112.lrps.htm
