,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,"The road starts from R370, Mymensingh- Sunamganj road at Raghurampur",24.7625278,90.4504444,,R360.lrps.htm
,LRPSa,0.52,Rail Road Crossing,Rail Road Crossing,24.76025,90.4547778,,R360.lrps.htm
,LRPSb,0.848,Bridge,Bridge start,24.7587778,90.4575278,,R360.lrps.htm
,LRPSc,0.856,Bridge,Bridge end,24.7587222,90.4576111,,R360.lrps.htm
,LRP001,1,Km Post,Km post missing,24.7580833,90.4588611,,R360.lrps.htm
,LRP002,2,Km Post,Km post missing,24.7531944,90.4670271,,R360.lrps.htm
,LRP002a,2.686,Culvert,Box Culvert,24.7501667,90.4728882,,R360.lrps.htm
,LRP003,3,Km Post,Km post missing,24.7485552,90.4754438,,R360.lrps.htm
,LRP003a,3.675,Bridge,Bridge start,24.7462774,90.4815827,,R360.lrps.htm
,LRP003b,3.682,Bridge,Bridge end,24.7462497,90.4816382,,R360.lrps.htm
,LRP004,4,Km Post,Km post missing,24.745083,90.4845274,,R360.lrps.htm
,LRP004a,4.118,Culvert,Box Culvert,24.7448886,90.4857219,,R360.lrps.htm
,LRP004b,4.363,Culvert,Box Culvert,24.7443886,90.4879719,,R360.lrps.htm
,LRP005,5,Km Post,Km post missing,24.7422219,90.4937219,,R360.lrps.htm
,LRP005a,5.733,Culvert,Box Culvert,24.741583,90.495333,,R360.lrps.htm
,LRP006,6,Km Post,Km post missing,24.7367497,90.5008611,,R360.lrps.htm
,LRP006a,6.733,"Side Road, Right",Road to Modhupur bazar(Z 3615),24.7372774,90.508,,R360.lrps.htm
,LRP007,7,Km Post,Km post missing,24.7378608,90.5102778,,R360.lrps.htm
,LRP007a,7.104,Culvert,Box Culvert,24.7381941,90.5115278,,R360.lrps.htm
,LRP008,8,Km Post,Km post missing,24.7401386,90.5197216,,R360.lrps.htm
,LRP009,9,Km Post,Km post missing,24.7386663,90.5290549,,R360.lrps.htm
,LRP009a,9.132,Culvert,Box Culvert,24.7386663,90.5290549,,R360.lrps.htm
,LRP009b,9.232,Culvert,Box Culvert,24.7376108,90.5309438,,R360.lrps.htm
,LRP010,10,Km Post,Km post missing,24.7339441,90.537333,,R360.lrps.htm
,LRP010a,10.623,Culvert,Box Culvert,24.7324438,90.5431941,,R360.lrps.htm
,LRP011,11,Km Post,Km post missing,24.730916,90.5464997,,R360.lrps.htm
,LRP012,12,Km Post,Km post missing,24.7281104,90.5556944,,R360.lrps.htm
,LRP013,13,Km Post,Km post missing,24.7234993,90.5628333,,R360.lrps.htm
,LRP013a,13.334,Bridge,Bridge start,24.7206938,90.5639444,,R360.lrps.htm
,LRP013b,13.35,Bridge,Bridge end,24.7205827,90.564,,R360.lrps.htm
,LRP014,13.998,Km Post,Ishwerganj 4 km Kishoreganj 49 km,24.7155278,90.5668882,,R360.lrps.htm
,LRP014a,14.465,Culvert,Box Culvert,24.7134167,90.5708882,,R360.lrps.htm
,LRP014b,14.965,Culvert,Box Culvert,24.7109722,90.5747216,,R360.lrps.htm
,LRP015,15.007,Km Post,Ishwerganj 3 km Kishoreganj 48 km,24.7107778,90.5750549,,R360.lrps.htm
,LRP015a,15.879,Culvert,Box Culvert,24.7063056,90.5819438,,R360.lrps.htm
,LRP015b,15.931,Culvert,Box Culvert,24.7059444,90.5821938,,R360.lrps.htm
,LRP016,16.013,Km Post,Ishwerganj 2 km Kishoreganj 47 km,24.7053611,90.5826104,,R360.lrps.htm
,LRP016a,16.237,Culvert,Box Culvert,24.70375,90.5839163,,R360.lrps.htm
,LRP016b,16.399,Culvert,Box Culvert,24.7028333,90.5851386,,R360.lrps.htm
,LRP016c,16.728,Culvert,Box Culvert,24.7009444,90.587583,,R360.lrps.htm
