Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT)
N6-1,Kashinathpur-Chabbismile Biswa Road (Int. with Z6028),LRPS,0,0,LRP006,800,6.79,6.790,96.0,251.0,206.0,367.0,143.0,418.0,43.0,126.0,1187.0,824.0,429.0,531.0,2.0,3661.0,962.0,4623.0,4623.0
N6-2,Chabbismile Biswa Road (Int. with Z6028)-Chinakhora (Int. with Z6017),LRP006,800,6.79,LRP012,90,12.06,5.270,96.0,251.0,206.0,367.0,143.0,418.0,43.0,126.0,1187.0,824.0,429.0,531.0,2.0,3661.0,962.0,4623.0,4623.0
N6-3,Chinakhora(Int. with Z6017)-Madhpur (Int. with Z6026),LRP012,90,12.06,LRP021,1627,22.609,10.549,96.0,251.0,206.0,367.0,143.0,418.0,43.0,126.0,1187.0,824.0,429.0,531.0,2.0,3661.0,962.0,4623.0,4623.0
N6-4,Madhpur(Int. with Z6026)-Atikula (Int. with Z6030),LRP021,1627,22.609,LRP024,1548,25.524,2.915,31.0,650.0,405.0,410.0,278.0,417.0,236.0,359.0,1571.0,921.0,834.0,654.0,0.0,5278.0,1488.0,6766.0,6766.0
N6-5,Atikula(Int. with Z6030)-Pabna (Central Bus Terminal) (Int.with N604),LRP024,1548,25.524,LRP041,820,41.755,16.231,31.0,650.0,405.0,410.0,278.0,417.0,236.0,359.0,1571.0,921.0,834.0,654.0,0.0,5278.0,1488.0,6766.0,6766.0
N6-6,Pabna (Int.with N604)-Gaspara (Int.with N604),LRP041,820,41.755,LRP045,1320,46.269,4.514,31.0,650.0,405.0,410.0,278.0,417.0,236.0,359.0,1571.0,921.0,834.0,654.0,0.0,5278.0,1488.0,6766.0,6766.0
N6-7,Pabna (Int.with N604)-Gaspara (Int.with N604),LRP045,1320,46.269,LRP050,1410,51.339,5.070,31.0,650.0,405.0,410.0,278.0,417.0,236.0,359.0,1571.0,921.0,834.0,654.0,0.0,5278.0,1488.0,6766.0,6766.0
N6-8,Tebunia (int.with R604)-Dasuria (Int.with N704),LRP050,1410,51.339,LRP060,1100,61.306,9.967,39.0,558.0,462.0,325.0,108.0,339.0,181.0,201.0,2057.0,1289.0,555.0,491.0,0.0,5559.0,1046.0,6605.0,6605.0
N6-9,Dasuria (Int.with N704)-Kadamchilan (Int.with Z6022),LRP060,1100,61.306,LRP078,520,78.624,17.318,39.0,558.0,462.0,325.0,108.0,339.0,181.0,201.0,2057.0,1289.0,555.0,491.0,0.0,5559.0,1046.0,6605.0,6605.0
N6-10,Kadamchilan (Int.with Z6022)-Banpara (Int.with Z6014),LRP078,520,78.624,LRP083,300,83.424,4.800,36.0,1433.0,1002.0,806.0,488.0,487.0,115.0,244.0,1219.0,1112.0,937.0,1674.0,0.0,6942.0,2611.0,9553.0,9553.0
N6-11,Banpara (Int.with Z6014)-Banpara (Int.with N507),LRP083,300,83.424,LRP084,700,84.844,1.420,36.0,1433.0,1002.0,806.0,488.0,487.0,115.0,244.0,1219.0,1112.0,937.0,1674.0,0.0,6942.0,2611.0,9553.0,9553.0
N6-12,Banpara (Int.with N507)-Ahmedpur (Int. with Z6015),LRP084,700,84.844,LRP089,490,90.064,5.220,36.0,1433.0,1002.0,806.0,488.0,487.0,115.0,244.0,1219.0,1112.0,937.0,1674.0,0.0,6942.0,2611.0,9553.0,9553.0
N6-13,Ahmedpur (Int. with Z6015)-Harishpur (Int.with N602 ),LRP089,490,90.064,LRP099,1380,100.644,10.580,285.0,1905.0,1187.0,546.0,787.0,303.0,61.0,137.0,1705.0,1335.0,1135.0,992.0,2.0,8251.0,2129.0,10380.0,10380.0
N6-14,Harishpur (Int.with N602 )-Bus Stand(Int.with N602),LRP099,1380,100.644,LRP105,990,106.274,5.630,285.0,1918.0,1198.0,552.0,796.0,302.0,61.0,173.0,1889.0,1372.0,1141.0,992.0,1.0,8546.0,2134.0,10680.0,10680.0
N6-15,Bus Stand(Int.with N602)-Puthia (Int.with Z6019),LRP105,990,106.274,LRP118,1400,119.694,13.420,285.0,1905.0,1187.0,546.0,787.0,303.0,61.0,137.0,1705.0,1335.0,1135.0,992.0,2.0,8251.0,2129.0,10380.0,10380.0
N6-16,Puthia (Int.with Z6019)-Baneswar (Int.with Z6006),LRP118,1400,119.694,LRP129,106,129.53,9.836,285.0,1918.0,1198.0,552.0,796.0,302.0,61.0,173.0,1889.0,1372.0,1141.0,992.0,1.0,8546.0,2134.0,10680.0,10680.0
N6-17,Baneswar (Int.with Z6006)-Belpukur(Int.with N603),LRP129,106,129.53,LRP132,165,132.589,3.059,16.0,1182.0,775.0,1162.0,387.0,772.0,165.0,256.0,1188.0,1212.0,744.0,637.0,0.0,7115.0,1381.0,8496.0,8496.0
N6-18,Belpukur(Int.with N603)-BIT More (Int.with Z6010),LRP132,165,132.589,LRP140,2280,142.734,10.145,16.0,1182.0,775.0,1162.0,387.0,772.0,165.0,256.0,1188.0,1212.0,744.0,637.0,0.0,7115.0,1381.0,8496.0,8496.0
N6-19,BIT More (Int.with Z6010)-Kashiadanga(Int.with N603),LRP140,2280,142.734,LRP148,3605,152.529,9.795,16.0,1182.0,775.0,1162.0,387.0,772.0,165.0,256.0,1188.0,1212.0,744.0,637.0,0.0,7115.0,1381.0,8496.0,8496.0
N6-20,Kashiadanga(Int.with N603)-Kashiadanga(Int.with Z6809),LRP148,3605,152.529,LRP148,3655,152.579,0.050,84.0,2255.0,585.0,329.0,186.0,265.0,104.0,157.0,1435.0,1298.0,510.0,201.0,0.0,6698.0,711.0,7409.0,7409.0
N6-21,Kashiadanga(Int.with Z6809)-Bijoynagar(Int.with R681),LRP148,3655,152.579,LRP162,486,163.52,10.941,84.0,2255.0,585.0,329.0,186.0,265.0,104.0,157.0,1435.0,1298.0,510.0,201.0,0.0,6698.0,711.0,7409.0,7409.0
N6-22,Bijoynagar(Int.with R681)-Uzanpara (Int.with R681),LRP162,486,163.52,LRP174,190,175.224,11.704,168.0,1822.0,324.0,478.0,136.0,276.0,72.0,132.0,749.0,825.0,264.0,32.0,0.0,4982.0,296.0,5278.0,5278.0
N6-23,Uzanpara (Int.with R681) Godagari (Int.with Z6813),LRP174,190,175.224,LRP177,800,178.829,3.605,168.0,1822.0,324.0,478.0,136.0,276.0,72.0,132.0,749.0,825.0,264.0,32.0,0.0,4982.0,296.0,5278.0,5278.0
N6-24,"Godagari (Int.with Z6813)-Bishaw road more, Bus Terminal,Nawabganj",LRP177,800,178.829,LRP193,50,194.134,15.305,168.0,1822.0,324.0,478.0,136.0,276.0,72.0,132.0,749.0,825.0,264.0,32.0,0.0,4982.0,296.0,5278.0,5278.0
N6-25,"Bishaw road more, Bus Terminal, Nawabganj-Rasulpur (Int. with Z6816)",LRP193,50,194.134,LRP209,400,210.684,16.550,2.0,166.0,112.0,5.0,9.0,38.0,14.0,24.0,882.0,952.0,963.0,512.0,0.0,2204.0,1475.0,3679.0,3679.0
N6-26,Rasulpur (Int. with Z6816)-Salimabad (Int. with Z6816),LRP209,400,210.684,LRP213,640,214.964,4.280,2.0,166.0,112.0,5.0,9.0,38.0,14.0,24.0,882.0,952.0,963.0,512.0,0.0,2204.0,1475.0,3679.0,3679.0
N6-27,Salimabad (Int. with Z6816)-Kanshat(Int. with Z6802),LRP213,640,214.964,LRP217,15,218.409,3.445,5.0,123.0,150.0,23.0,25.0,32.0,4.0,14.0,590.0,661.0,533.0,206.0,5.0,1627.0,744.0,2371.0,2371.0
N6-28,Kanshat(Int. with Z6802)-Baliadighi,LRP217,15,218.409,LRP230,750,232.244,13.835,5.0,123.0,150.0,23.0,25.0,32.0,4.0,14.0,590.0,661.0,533.0,206.0,5.0,1627.0,744.0,2371.0,2371.0
,,,,,,,,,,,,,,,,,,,,,,,,,
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,
