Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic
R140-13,Wireless More(int.with R146)-Nanupur(int.with Z1403),LRP066a,0,66.741,LRP070,69,70.534,3.793,86.0,772.0,599.0,982.0,40.0,592.0,44.0,445.0,4638.0,740.0,443.0,690.0,0.0,8938.0,1133.0,10071.0,10071.0
R140-14,Nanupur(int.with Z1403)-Vatialpur(int.with R860),LRP070,69,70.534,LRP078,799,79.204,8.670,0.0,295.0,350.0,119.0,105.0,159.0,30.0,108.0,1800.0,750.0,370.0,372.0,0.0,3716.0,742.0,4458.0,4458.0
R140-15,Vatialpur(int.with R860)-Nalgara(int.with Z1466),LRP078,799,79.204,LRP087,1365,88.75,9.546,0.0,295.0,350.0,119.0,105.0,159.0,30.0,108.0,1800.0,750.0,370.0,372.0,0.0,3716.0,742.0,4458.0,4458.0
R140-16,Nalgara(int.with Z1466)-Roypur(int.with Z1472),LRP087,1365,88.75,LRP093,651,94.576,5.826,0.0,295.0,350.0,119.0,105.0,159.0,30.0,108.0,1800.0,750.0,370.0,372.0,0.0,3716.0,742.0,4458.0,4458.0
R140-17,Roypur(int.with Z1472)-Laksmipur Bus stand(int.with N809),LRP093,651,94.576,LRP107,495,107.895,13.319,0.0,295.0,350.0,119.0,105.0,159.0,30.0,108.0,1800.0,750.0,370.0,372.0,0.0,3716.0,742.0,4458.0,4458.0
R140-18,Laksmipur Bus stand(int.with N809)-int.with R145,LRP107,495,107.895,LRP109,114,109.554,1.659,0.0,250.0,225.0,229.0,120.0,419.0,35.0,60.0,3369.0,966.0,509.0,714.0,6.0,5673.0,1229.0,6902.0,6902.0
R140-19,int.with R145-Baghmara(int.with Z1422),LRP109,114,109.554,LRP109,735,110.175,0.621,0.0,250.0,225.0,229.0,120.0,419.0,35.0,60.0,3369.0,966.0,509.0,714.0,6.0,5673.0,1229.0,6902.0,6902.0
R140-20,Baghmara(int.with Z1422)-int.with Z1405,LRP109,735,110.175,LRP110,991,111.451,1.276,0.0,250.0,225.0,229.0,120.0,419.0,35.0,60.0,3369.0,966.0,509.0,714.0,6.0,5673.0,1229.0,6902.0,6902.0
R140-21,int.with Z1405-Mandari(int.with Z1432),LRP110,991,111.451,LRP117,385,117.995,6.544,4.0,512.0,502.0,419.0,339.0,218.0,47.0,136.0,4649.0,535.0,135.0,194.0,4.0,7361.0,333.0,7694.0,7694.0
R140-22,Mandari(int.with Z1432)-Chandraganj(int.with R143),LRP117,385,117.995,LRP124,945,125.575,7.580,4.0,512.0,502.0,419.0,339.0,218.0,47.0,136.0,4649.0,535.0,135.0,194.0,4.0,7361.0,333.0,7694.0,7694.0
R140-23,Chandraganj(int.with R143)-Chandraganj(int.with Z1426),LRP124,945,125.575,LRP126,130,126.78,1.205,4.0,512.0,502.0,419.0,339.0,218.0,47.0,136.0,4649.0,535.0,135.0,194.0,4.0,7361.0,333.0,7694.0,7694.0
R140-24,Chandraganj(int.with Z1426)-Begumganj Zero Point,LRP126,130,126.78,LRPE,0,138.63,11.850,4.0,512.0,502.0,419.0,339.0,218.0,47.0,136.0,4649.0,535.0,135.0,194.0,4.0,7361.0,333.0,7694.0,7694.0
,,,,,,,,,,,,,,,,,,,,,,,,,
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,
