,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Road start from Z2801 at Amberkhana point,24.9050556,91.8698882,,R280.lrps.htm
,LRPSa,0.495,Bridge,Bridge Start,24.9058889,91.8652778,,R280.lrps.htm
,LRPSb,0.515,Bridge,Bridge End,24.9059444,91.8650833,,R280.lrps.htm
,LRP001,1,Km Post,Km post missing,24.9072778,91.8606389,,R280.lrps.htm
,LRP001a,1.246,Culvert,Box culvert,24.9080278,91.8583889,,R280.lrps.htm
,LRP001b,1.742,Culvert,Box culvert,24.9110278,91.8549167,,R280.lrps.htm
,LRP001c,1.866,Culvert,Box culvert,24.91075,91.8538056,,R280.lrps.htm
,LRP002,2,Km Post,Km post missing,24.9103333,91.8525278,,R280.lrps.htm
,LRP002a,2.698,Culvert,Box culvert,24.9105,91.845583,,R280.lrps.htm
,LRP003,3,Km Post,Km post missing,24.90975,91.8426663,,R280.lrps.htm
,LRP003a,3.135,Culvert,Box Culvert,24.9095833,91.841333,,R280.lrps.htm
,LRP003b,3.667,Culvert,Box culvert,24.9090833,91.8361663,,R280.lrps.htm
,LRP004,4,Km Post,Km post missing,24.9103889,91.8332493,,R280.lrps.htm
,LRP004a,4.92,"Side Road, Left","R283, Sylhet- Sunamganj Bypass road",24.9127778,90.824666,,R280.lrps.htm
,LRP005,5,Km Post,Km post missing,24.9130278,91.8238882,,R280.lrps.htm
,LRP005a,5.693,Culvert,Box culvert,24.91475,91.8173327,,R280.lrps.htm
,LRP006,6,Km Post,Km post missing,24.9137222,91.8144444,,R280.lrps.htm
,LRP006a,6.227,Bridge,Bridge Start,24.9127778,91.8125,,R280.lrps.htm
,LRP006b,6.262,Bridge,Bridge End,24.9126667,91.8121667,,R280.lrps.htm
,LRP007,7,Km Post,Km post missing,24.9131389,91.8050278,,R280.lrps.htm
,LRP007a,7.4,Culvert,Box culvert,24.9138611,91.8011667,,R280.lrps.htm
,LRP008,7.83,Km Post,Info missing,24.9129722,91.7970552,,R280.lrps.htm
,LRP008a,8.554,Culvert,Box culvert,24.9116944,91.7900552,,R280.lrps.htm
,LRP009,8.83,Km Post,Km post missing,24.9126111,91.7876108,,R280.lrps.htm
,LRP009a,8.909,Culvert,Box culvert,24.9129444,91.7841663,,R280.lrps.htm
,LRP009b,9.476,Culvert,Box culvert,24.9151667,91.7819716,,R280.lrps.htm
,LRP010,9.83,Km Post,Km post missing,24.9129444,91.7795549,,R280.lrps.htm
,LRP010a,9.867,Culvert,Box culvert,24.9126944,91.7793604,,R280.lrps.htm
,LRP010b,10.392,Culvert,Box culvert,24.9103889,91.7751104,,R280.lrps.htm
,LRP011,10.77,Km Post,Info missing,24.9099167,91.7713882,,R280.lrps.htm
,LRP011a,10.942,Culvert,Box culvert,24.9098056,91.7696938,,R280.lrps.htm
,LRP012,11.755,Km Post,Info missing,24.9102778,91.7617222,,R280.lrps.htm
,LRP012a,12.68,Culvert,Box culvert,24.9105833,91.7526111,,R280.lrps.htm
,LRP013,12.755,Km Post,Info missing,24.9104444,91.7519167,,R280.lrps.htm
,LRP013a,13.383,Bridge,Bridge Start,24.9099444,91.7457219,,R280.lrps.htm
,LRP013b,13.402,Bridge,Bridge End,24.9099444,91.7456108,,R280.lrps.htm
,LRP014,13.755,Km Post,Km post missing,24.9096389,91.7421108,,R280.lrps.htm
,LRP014a,14.417,Bridge,Bridge Start,24.9095,91.7356386,,R280.lrps.htm
,LRP014b,14.644,Bridge,Bridge End,24.91,91.7334719,,R280.lrps.htm
,LRP015,14.755,Km Post,Km post missing,24.9102778,91.7322493,,R280.lrps.htm
,LRP015a,14.84,"Side Road, Right","Z2016, Rashidpur- Lamakazi road",24.9104167,91.7316938,,R280.lrps.htm
,LRP015b,15.335,Culvert,Box culvert,24.9128889,91.7273604,,R280.lrps.htm
,LRP016,15.645,Km Post,Info missing,24.9142222,91.724666,,R280.lrps.htm
,LRP016a,15.874,Bridge,Bridge Start,24.9155,91.7229438,,R280.lrps.htm
,LRP016b,15.887,Bridge,Bridge End,24.9156111,91.7228327,,R280.lrps.htm
,LRP017,16.645,Km Post,Info missing,24.9181104,91.7160556,,R280.lrps.htm
,LRP017a,17.495,Bridge,Bridge Start,24.9206104,91.7082778,,R280.lrps.htm
,LRP017b,17.52,Bridge,Bridge End,24.9206938,91.7080556,,R280.lrps.htm
,LRP018,17.58,Km Post,Info missing,24.9209993,91.7075556,,R280.lrps.htm
,LRP019,18.58,Km Post,Km post missing,24.9269438,91.70025,,R280.lrps.htm
,LRP020,19.535,Km Post,Sunamganj 46 km/ Sunamganj road Division starts,24.9277771,91.6911108,,R280.lrps.htm
,LRP020,19.535,Km Post,Sunamganj 46 km/ Sunamganj road Division starts,24.9277771,91.6911108,,R280.lrps.htm
,LRP020a,19.884,Bridge,Bridge Start,24.928166,91.688333,,R280.lrps.htm
,LRP020b,19.99,Bridge,Bridge End,24.9288327,91.687583,,R280.lrps.htm
,LRP020c,20.495,"Side Road, Right","Z2802, Gobindaganj- Dewrabazar road",24.9300827,91.6828882,,R280.lrps.htm
,LRP020d,20.515,Rail Road Crossing,Rail road crossing,24.930166,91.6827216,,R280.lrps.htm
,LRP021,20.535,Km Post,Sunamganj 45 km,24.9301938,91.6824716,,R280.lrps.htm
,LRP022,21.54,Km Post,Sunamganj 44 km,24.9333049,91.6731382,,R280.lrps.htm
,LRP023,22.54,Km Post,Sunamganj 43 km,24.9358608,91.6636111,,R280.lrps.htm
,LRP023a,23.516,Bridge,Bridge Start,24.9379997,91.6543333,,R280.lrps.htm
,LRP023b,23.54,Bridge,Bridge End,24.9380274,91.6540278,,R280.lrps.htm
,LRP024,23.545,Km Post,Sunamganj 42 km,24.9380274,91.6540278,,R280.lrps.htm
,LRP024a,24.325,Bridge,Bridge Start,24.9397497,91.6465552,,R280.lrps.htm
,LRP024b,24.368,Bridge,Bridge End,24.939833,91.6461663,,R280.lrps.htm
,LRP025,24.545,Km Post,Sunamganj 41 km,24.9402219,91.6444441,,R280.lrps.htm
,LRP026,25.545,Km Post,Sunamganj 40 km,24.9407497,91.6346108,,R280.lrps.htm
,LRP027,26.545,Km Post,Km post missing,24.9409719,91.6245549,,R280.lrps.htm
,LRP028,27.515,Km Post,Sunamganj 38 km,24.9417774,91.6150556,,R280.lrps.htm
,LRP028a,27.52,Bridge,Bridge Start,24.9417774,91.615,,R280.lrps.htm
,LRP028b,27.601,Bridge,Bridge End,24.9417774,91.6141944,,R280.lrps.htm
,LRP029,28.52,Km Post,Sunamganj 37 km,24.9437497,91.6054167,,R280.lrps.htm
,LRP029a,28.813,Bridge,Bridge Start,24.9443052,91.6026389,,R280.lrps.htm
,LRP029b,28.878,Bridge,Bridge End,24.9444719,91.6020278,,R280.lrps.htm
,LRP030,29.53,Km Post,Sunamganj 36 km,24.9457219,91.5956386,,R280.lrps.htm
,LRP030a,30.311,Bridge,Bridge Start,24.9436386,91.5887219,,R280.lrps.htm
,LRP030b,30.356,Bridge,Bridge End,24.943333,91.5884719,,R280.lrps.htm
,LRP031,30.53,Km Post,Sunamganj 35 km,24.9424997,91.5868608,,R280.lrps.htm
,LRP031a,30.876,Bridge,Bridge Start,24.9408886,91.5839997,,R280.lrps.htm
,LRP031b,30.919,Bridge,Bridge End,24.9407219,91.5836941,,R280.lrps.htm
,LRP032,31.53,Km Post,Km post missing,24.9372774,91.5788049,,R280.lrps.htm
,LRP032a,32.227,Bridge,Bridge Start,24.9334163,91.5733882,,R280.lrps.htm
,LRP032b,32.262,Bridge,Bridge End,24.0998886,91.5731382,,R280.lrps.htm
,LRP033,32.53,Km Post,Km post missing,24.931916,91.5707771,,R280.lrps.htm
,LRP033a,33.245,Bridge,Bridge Start,24.9288604,91.5646111,,R280.lrps.htm
,LRP033b,33.3,Bridge,Bridge End,24.9287493,91.5640833,,R280.lrps.htm
,LRP034,33.53,Km Post,Sunamganj 32 km,24.9283049,91.56175,,R280.lrps.htm
,LRP035,34.53,Km Post,Km post missing,24.9265827,91.5522222,,R280.lrps.htm
,LRP035a,35.079,Bridge,Bridge Start,24.9273049,91.5468608,,R280.lrps.htm
,LRP035b,35.107,Bridge,Bridge End,24.9274993,91.5466663,,R280.lrps.htm
,LRP036,35.53,Km Post,Sunamganj 30 km,24.9278049,91.5425274,,R280.lrps.htm
,LRP037,36.53,Km Post,Km post broken,24.9268882,91.5326382,,R280.lrps.htm
,LRP038,37.525,Km Post,Sunamganj 28 km,24.9250827,91.5230549,,R280.lrps.htm
,LRP038a,37.578,Bridge,Bridge Start,24.9251104,91.5225549,,R280.lrps.htm
,LRP038b,37.653,Bridge,Bridge End,24.9251104,91.5218327,,R280.lrps.htm
,LRP038c,38.395,Bridge,Bridge Start,24.9253327,91.5146389,,R280.lrps.htm
,LRP038d,38.495,Bridge,Bridge End,24.9252216,91.5136944,,R280.lrps.htm
,LRP039,38.525,Km Post,Km post missing,24.9251382,91.51325,,R280.lrps.htm
,LRP040,39.525,Km Post,Km post broken,24.9267216,91.5034722,,R280.lrps.htm
,LRP041,40.525,Km Post,Km post missing,24.9258049,91.4936108,,R280.lrps.htm
,LRP041a,40.675,Bridge,Bridge Start,24.9258604,91.4921386,,R280.lrps.htm
,LRP041b,40.697,Bridge,Bridge end,24.9258882,91.4919163,,R280.lrps.htm
,LRP042,41.525,Km Post,Sunamganj 24 km,24.9262771,91.4837774,,R280.lrps.htm
,LRP043,42.49,Km Post,Sunamganj 23 km,24.9265549,91.4743604,,R280.lrps.htm
,LRP043a,42.895,Bridge,Bridge Start,24.9251382,91.4707216,,R280.lrps.htm
,LRP043b,43.092,Bridge,Bridge End,24.9243049,91.4690271,,R280.lrps.htm
,LRP044,43.5,Km Post,Sunamganj 22 km,24.9232771,91.4652222,,R280.lrps.htm
,LRP044a,43.777,"Side Road, Left","R241,Auskandi-Pagla road",24.9233604,91.4625833,,R280.lrps.htm
,LRP045,44.5,Km Post,Sunamganj 21 km,24.923666,91.4553889,,R280.lrps.htm
,LRP045a,45.422,Bridge,Bridge Start,24.9282493,91.4479719,,R280.lrps.htm
