Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT)
R370-1,"Mymensingh DC office (road start, int with N3 & N401) - Shamvuganj (int with R360)",LRPS,0,0,LRP006,1033,6.102,6.102,0.0,883.0,581.0,568.0,1.0,395.0,459.0,617.0,5578.0,1440.0,428.0,5802.0,3.0,10522.0,6233.0,16755.0,16755.0
R370-2,Shamvuganj (int with R360) - Raghurampur (int with R371),LRP006,1033,6.102,LRP006,1384,6.453,0.351,0.0,883.0,581.0,568.0,1.0,395.0,459.0,617.0,5578.0,1440.0,428.0,5802.0,3.0,10522.0,6233.0,16755.0,16755.0
R370-3,Raghurampur (int with R371) - Shamganj (int with Z3704),LRP006,1384,6.453,LRP023,141,22.371,15.918,0.0,834.0,214.0,372.0,32.0,91.0,35.0,66.0,863.0,483.0,158.0,226.0,0.0,2990.0,384.0,3374.0,3374.0
R370-4,Shamganj (int with Z3704) - Magra Bridge (int with Z3701),LRP023,141,22.371,LRP039,1369,39.741,17.370,0.0,883.0,581.0,568.0,1.0,395.0,459.0,617.0,5578.0,1440.0,428.0,5802.0,3.0,10522.0,6233.0,16755.0,16755.0
R370-5,Magra Bridge (int with Z3701) - Netrakona Post office (int with Z3707),LRP039,1369,39.741,LRP039,2668,41.04,1.299,0.0,883.0,581.0,568.0,1.0,395.0,459.0,617.0,5578.0,1440.0,428.0,5802.0,3.0,10522.0,6233.0,16755.0,16755.0
R370-6,Netrakona Post office (int with Z3707) - Int with Z3709,LRP039,2668,41.04,LRP039,4050,42.422,1.382,0.0,834.0,214.0,372.0,32.0,91.0,35.0,66.0,863.0,483.0,158.0,226.0,0.0,2990.0,384.0,3374.0,3374.0
R370-7,Int with Z3709 - Thakurakona (int with Z3703),LRP039,4050,42.422,LRP051,1484,51.942,9.520,0.0,834.0,214.0,372.0,32.0,91.0,35.0,66.0,863.0,483.0,158.0,226.0,0.0,2990.0,384.0,3374.0,3374.0
R370-8,Thakurakona (int with Z3703) - Dharmapash (int with Z2805),LRP051,1484,51.942,LRP064,11738,75.233,23.291,0.0,834.0,214.0,372.0,32.0,91.0,35.0,66.0,863.0,483.0,158.0,226.0,0.0,2990.0,384.0,3374.0,3374.0
R370-9,Dharmapash (int with Z2805) - Niamatpur (int with Z2806),LRP064,11738,75.233,LRP081,38564,118.38,43.147,0.0,834.0,214.0,372.0,32.0,91.0,35.0,66.0,863.0,483.0,158.0,226.0,0.0,2990.0,384.0,3374.0,3374.0
R370-10,"Niamatpur (int with Z2806) - Sunamganj road (road end, int with R280)",LRP081,38564,118.38,LRP081,51184,131,12.620,0.0,834.0,214.0,372.0,32.0,91.0,35.0,66.0,863.0,483.0,158.0,226.0,0.0,2990.0,384.0,3374.0,3374.0
,,,,,,,,,,,,,,,,,,,,,,,,,
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,
