,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start of road from N1 Mainamati,23.4789716,91.1181938,,N102.lrps.htm
,LRPSa,0.329,Culvert,Box Culvert,23.4815827,91.1167771,,N102.lrps.htm
,LRPSb,0.995,Culvert,Box Culvert,23.4866663,91.1133611,,N102.lrps.htm
,LRP001,1,Km Post,Km post missing,23.4867219,91.1133056,,N102.lrps.htm
,LRP002,2,Km Post,B Baria 68 km Sylhet 248 km,23.4935274,91.1069167,,N102.lrps.htm
,LRP002a,2.064,Culvert,Box Culvert,23.4937774,91.1064722,,N102.lrps.htm
,LRP002b,2.365,Culvert,Box Culvert,23.496333,91.1059167,,N102.lrps.htm
,LRP002c,2.52,Culvert,Box Culvert,23.4976941,91.1055833,,N102.lrps.htm
,LRP003,3,Km Post,Km post missing,23.5020278,91.1050556,,N102.lrps.htm
,LRP004,4,Km Post,Km post missing,23.5093333,91.0996386,,N102.lrps.htm
,LRP004a,4.261,Culvert,Box Culvert,23.5112222,91.0981108,,N102.lrps.htm
,LRP005,5,Km Post,Km post missing,23.5166389,91.0939441,,N102.lrps.htm
,LRP006,6.056,Km Post,B Baria 66 km Sylhet 244 km,23.5246104,91.0887774,,N102.lrps.htm
,LRP007,7.056,Km Post,"B. Bari 65 km, Sylhet 243 km",23.5322771,91.0834719,,N102.lrps.htm
,LRP007a,7.08,Culvert,Box Culvert,23.5323882,91.0834719,,N102.lrps.htm
,LRP008,8.081,Km Post,B Baria 64 km Sylhet 242 km,23.5419441,91.0772771,,N102.lrps.htm
,LRP008a,8.537,Bridge,Bridge start,23.5421941,91.0742493,,N102.lrps.htm
,LRP008b,8.554,Bridge,Bridge End,23.5423052,91.0741382,,N102.lrps.htm
,LRP009,9.05,Km Post,B Baria 63 km Sylhet 241 km,23.5457774,91.0706104,,N102.lrps.htm
,LRP009a,9.723,Culvert,Box Culvert,23.5501111,91.0661389,,N102.lrps.htm
,LRP010,10.05,Km Post,Km post missing,23.5523611,91.064,,N102.lrps.htm
,LRP010a,10.16,Cross Road,Z 1219 Left Nimsar Right Burichang,23.5531111,91.0633333,,N102.lrps.htm
,LRP011,11.05,Km Post,"B Baria 61 km, Sylhet 239 km",23.5590556,91.0591111,,N102.lrps.htm
,LRP011a,11.925,Culvert,Box Culvert,23.5605,91.0553056,,N102.lrps.htm
,LRP011b,12.018,Culvert,Box Culvert,23.5501944,91.0549722,,N102.lrps.htm
,LRP012,12.026,Km Post,B Baria 60 km Sylhet 238 km,23.5669438,91.0549167,,N102.lrps.htm
,LRP013,13.041,Km Post,B Baria 59 km Sylhet 237 km,23.5745827,91.05925,,N102.lrps.htm
,LRP014,14.03,Km Post,BBaria 58 km Sylhet 236 km,23.5768882,91.041833,,N102.lrps.htm
,LRP015,15.018,Km Post,B Baria 57 km Sylhet235 km,23.5813882,91.0357774,,N102.lrps.htm
,LRP015a,15.178,Culvert,Box Culvert,23.5825549,91.0352497,,N102.lrps.htm
,LRP016,16.042,Km Post,B Baria56 km Sylhet234 km,23.5858886,91.0283049,,N102.lrps.htm
,LRP017,17.042,Km Post,"B Baria 55 km, Sylhet 233 km",23.5865552,91.1188327,,N102.lrps.htm
,LRP017a,17.396,Culvert,Box Culvert,23.5879997,91.0158333,,N102.lrps.htm
,LRP018,18.01,Km Post,B Baria 54 km Sylhet 232 km,23.5902219,91.01,,N102.lrps.htm
,LRP018a,18.259,Culvert,Box Culvert,23.5911108,91.0077778,,N102.lrps.htm
,LRP019,19.01,Km Post,Km post missing,23.5935552,91.0011944,,N102.lrps.htm
,LRP019a,19.191,Culvert,Box Culvert,23.5944441,90.9996663,,N102.lrps.htm
,LRP019b,19.55,Culvert,Box Culvert,23.5965552,90.9971108,,N102.lrps.htm
,LRP020,20.01,Km Post,Infor.missing,23.5997219,90.9941386,,N102.lrps.htm
,LRP020a,20.56,"Side Road, Left","Side Road, Left to Chandina Z 1008",23.6026111,90.9896108,,N102.lrps.htm
,LRP021,21.03,Km Post,B Baria 51 km Sylhet229 km,23.6065556,90.9889997,,N102.lrps.htm
,LRP021a,21.204,Culvert,Box Culvert,23.6080278,90.9883608,,N102.lrps.htm
,LRP021b,21.595,Culvert,Box Culvert,23.6102778,90.985333,,N102.lrps.htm
,LRP022,22.041,Km Post,B Baria 50 km,23.6122222,90.9818049,,N102.lrps.htm
,LRP022a,22.758,Culvert,Box Culvert,23.6165278,90.9769438,,N102.lrps.htm
,LRP023,23.041,Km Post,B Baria 49 km Sylhet 227 km,23.6187493,90.9756104,,N102.lrps.htm
,LRP023a,23.66,Bridge,Bridge start,23.6236104,90.9727771,,N102.lrps.htm
,LRP023b,23.696,Bridge,Bridge End,23.623916,90.9726382,,N102.lrps.htm
,LRP024,24.04,Km Post,B Baria 48 km Sylhet 226 km,23.6268882,90.9710549,,N102.lrps.htm
,LRP024a,24.055,"Side Road, Left","Side Road, Left Z1017 to Madhaya",23.6269716,90.9709716,,N102.lrps.htm
,LRP024b,24.891,Bridge,Bridge start,23.6341663,90.9707771,,N102.lrps.htm
,LRP024c,25.011,Bridge,Bridge End,23.6351941,90.9708049,,N102.lrps.htm
,LRP025,25.04,Km Post,Infor.missing,23.6354719,90.9708327,,N102.lrps.htm
,LRP025a,25.282,"Side Road, Left",Road to Madhaya,23.6376108,90.9708882,,N102.lrps.htm
,LRP025b,25.894,Culvert,Box Culvert,23.6430552,90.9710827,,N102.lrps.htm
,LRP026,26.046,Km Post,B Baria 46 km Sylhet 224 km,23.6443886,90.9711104,,N102.lrps.htm
,LRP026a,26.732,Culvert,Box Culvert,23.6505,90.9713327,,N102.lrps.htm
,LRP027,27.08,Km Post,BBaria 45 km Sylhet 223 km,23.6532778,90.9728327,,N102.lrps.htm
,LRP027a,27.964,Culvert,Box Culvert,23.6575833,90.9800827,,N102.lrps.htm
,LRP028,28.033,Km Post,BBaria 44 km Sylhet 223 km,23.6579167,90.9806382,,N102.lrps.htm
,LRP028a,28.203,Bridge,Bridge start,23.6587222,90.9820271,,N102.lrps.htm
,LRP028b,28.255,Bridge,Bridge End,23.6589722,90.9824438,,N102.lrps.htm
,LRP028c,28.702,Culvert,Box Culvert,23.6611667,90.9861108,,N102.lrps.htm
,LRP029,29.03,Km Post,BBaria 43 km Sylhet 221 km,23.6628889,90.9888886,,N102.lrps.htm
,LRP029a,29.417,Culvert,Box Culvert,23.6646667,90.9918052,,N102.lrps.htm
,LRP029b,29.64,Bridge,Bridge start,23.6657222,90.9934719,,N102.lrps.htm
,LRP029c,29.701,Bridge,Bridge End,23.666,90.9938886,,N102.lrps.htm
,LRP029d,29.996,Culvert,Box Culvert,23.6674993,90.9962219,,N102.lrps.htm
,LRP030,30.04,Km Post,BBaria 42 Sylhet 220 km,23.6679993,90.9969719,,N102.lrps.htm
,LRP030a,30.667,Bridge,Bridge start,23.6711938,91.0019444,,N102.lrps.htm
,LRP030b,30.696,Bridge,Bridge End,23.6713049,91.0021944,,N102.lrps.htm
,LRP031,31.044,Km Post,BBaria 41 Sylhet 219 km,23.6730827,91.0049722,,N102.lrps.htm
,LRP031a,31.19,Culvert,Box Culvert,23.6738327,91.0061389,,N102.lrps.htm
,LRP031b,31.385,Culvert,Box Culvert,23.6748049,91.0076944,,N102.lrps.htm
,LRP031c,32.01,Bridge,Bridge start,23.6780271,91.0126667,,N102.lrps.htm
,LRP031d,32.023,Bridge,Bridge End,23.6780827,91.0127222,,N102.lrps.htm
,LRP032,32.04,Km Post,BBaria 40 km Sylhet 218 km,23.6779438,91.0129722,,N102.lrps.htm
,LRP032a,32.774,Culvert,Box Culvert,23.6821104,91.0187493,,N102.lrps.htm
,LRP033,33.062,Km Post,BBaria 39 km Sylhet 217 km,23.6836663,91.0210827,,N102.lrps.htm
,LRP033a,33.137,Bridge,Bridge start,23.684083,91.0217216,,N102.lrps.htm
,LRP033b,33.149,Bridge,Bridge End,23.6841386,91.0217771,,N102.lrps.htm
,LRP033c,33.748,Bridge,Bridge start,23.684583,91.0264716,,N102.lrps.htm
,LRP033d,33.758,Bridge,Bridge End,23.6872497,91.0265271,,N102.lrps.htm
,LRP034,34.068,Km Post,BBaria 38 km,23.689083,91.0288327,,N102.lrps.htm
,LRP034a,34.086,Culvert,Box Culvert,23.6891386,91.0289438,,N102.lrps.htm
,LRP034b,34.642,Culvert,Box Culvert,23.6922497,91.033166,,N102.lrps.htm
,LRP035,35.053,Km Post,BBaria 37 km Sylhet 215 km,23.694583,91.0366386,,N102.lrps.htm
,LRP035a,35.227,Bridge,Bridge start,23.6955552,91.0379441,,N102.lrps.htm
,LRP035b,35.581,Bridge,Bridge end,23.6957774,91.0382774,,N102.lrps.htm
,LRP035c,36.035,Bridge,Bridge start,23.6999441,91.0441386,,N102.lrps.htm
,LRP035d,36.05,Bridge,Bridge end,23.7,91.0441941,,N102.lrps.htm
,LRP036,36.086,Km Post,BBara 36 Sylhet 214 km,23.7002778,91.0444719,,N102.lrps.htm
,LRP036a,36.322,Culvert,Box Culvert,23.7014722,91.0462219,,N102.lrps.htm
,LRP036b,36.811,Bridge,Bridge start,23.7042222,91.05,,N102.lrps.htm
,LRP036c,36.828,Bridge,Bridge End,23.7043333,91.0500833,,N102.lrps.htm
,LRP036d,36.995,Bridge,Bridge start,23.70525,91.0513333,,N102.lrps.htm
,LRP036e,37.007,Bridge,Bridge End,23.7053333,91.0514444,,N102.lrps.htm
,LRP037,37.086,Km Post,"B.Bara 35 km, Sylhet 213 km",23.7059722,91.0522778,,N102.lrps.htm
,LRP037a,37.507,Bridge,Bridge start,23.7083056,91.05525,,N102.lrps.htm
,LRP037b,37.518,Bridge,Bridge End,23.7083611,91.0553333,,N102.lrps.htm
,LRP037c,38.05,Culvert,Box Culvert,23.7117222,91.0592778,,N102.lrps.htm
,LRP038,38.076,Km Post,BBaria34 km Sylhet212 km,23.7118333,91.0593889,,N102.lrps.htm
,LRP038a,38.458,"Side Road, Right",Road to Bancharampura(Z1041),23.7142222,91.0624444,,N102.lrps.htm
,LRP038b,38.567,Bridge,Bridge start,23.7148611,91.0632222,,N102.lrps.htm
,LRP038c,38.591,Bridge,Bridge End,23.7149444,91.0633056,,N102.lrps.htm
