Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT)
R860-1,Mostafapur-Iterpool (Int.with Z8603),LRPS,0,0,LRP005,900,6,6.000,16.0,139.0,186.0,82.0,89.0,44.0,54.0,36.0,1789.0,1130.0,292.0,341.0,3.0,3565.0,636.0,4201.0,4201.0
R860-2,Iterpool (Int.with Z8603)-Madaripur (Int.with Z8604),LRP005,900,6,LRP008,420,8.518,2.518,16.0,139.0,186.0,82.0,89.0,44.0,54.0,36.0,1789.0,1130.0,292.0,341.0,3.0,3565.0,636.0,4201.0,4201.0
R860-3,Madaripur (Int.with Z8604)-Kazirtek(Int.with Z8611),LRP008,420,8.518,LRP012,133,12.561,4.043,16.0,139.0,186.0,82.0,89.0,44.0,54.0,36.0,1789.0,1130.0,292.0,341.0,3.0,3565.0,636.0,4201.0,4201.0
R860-4,Kazirtek(Int.with Z8611)-Monohorpur(int.with R861),LRP012,133,12.561,LRP016,6126,22.531,9.970,6.0,117.0,139.0,55.0,53.0,42.0,47.0,27.0,1053.0,921.0,242.0,566.0,0.0,2460.0,808.0,3268.0,3268.0
R860-5,Monohorpur(int.with R861)-Burirhat (int.with Z8601),LRP016,6126,22.531,LRP027,1304,28.627,6.096,6.0,117.0,139.0,55.0,53.0,42.0,47.0,27.0,1053.0,921.0,242.0,566.0,0.0,2460.0,808.0,3268.0,3268.0
R860-6,Burirhat(int.with Z8601)-Harina Ferryghat (int.with Z1403),LRP027,1304,28.627,LRP056,7255,63.829,35.202,6.0,117.0,139.0,55.0,53.0,42.0,47.0,27.0,1053.0,921.0,242.0,566.0,0.0,2460.0,808.0,3268.0,3268.0
R860-7,Harina Ferryghat (int.with Z1403)-Vatialpur (Int.withR140),LRP056,7255,63.829,LRPE,0,74.634,10.805,0.0,185.0,37.0,20.0,30.0,37.0,14.0,8.0,285.0,254.0,96.0,89.0,0.0,870.0,185.0,1055.0,1055.0
,,,,,,,,,,,,,,,,,,,,,,,,,
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,
