,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,"Start of Road from Mohora ,Chittagong.",22.3943886,91.868416,,R163.lrps.htm
,LRPSa,0.06,Rail Road Crossing,Rail Road Crossing,22.3949163,91.8685271,,R163.lrps.htm
,LRPSb,0.953,Culvert,Box Culvert,22.4023889,91.8674438,,R163.lrps.htm
,LRP001,1,Km Post,Km post missing,22.4026111,91.8670271,,R163.lrps.htm
,LRP001a,1.832,Culvert,Box Culvert,22.4079167,91.8620833,,R163.lrps.htm
,LRP002,1.914,Km Post,Inf missing,22.4086389,91.8621944,,R163.lrps.htm
,LRP003,2.914,Km Post,Km post missing,22.4188049,91.8662778,,R163.lrps.htm
,LRP003a,3.13,Culvert,Culvert,22.4171104,91.8656389,,R163.lrps.htm
,LRP003b,3.68,Culvert,Pipe culvert,22.4234993,91.8667771,,R163.lrps.htm
,LRP004,4.011,Km Post,Inf missing,22.4262216,91.8683327,,R163.lrps.htm
,LRP004a,4.608,Bridge,Bridge start,22.4310827,91.870666,,R163.lrps.htm
,LRP004b,4.632,Bridge,Bridge end,22.4312771,91.8707216,,R163.lrps.htm
,LRP004c,4.926,Bridge,Bridge start,22.4334719,91.8721104,,R163.lrps.htm
,LRP005,5.011,Km Post,Km post missing,22.4340552,91.8725827,,R163.lrps.htm
,LRP005a,5.148,Bridge,Bridge end,22.4349719,91.873416,,R163.lrps.htm
,LRP006,6.019,Km Post,Information missing,22.4356941,91.8807493,,R163.lrps.htm
,LRP006a,6.267,Culvert,Pipe Culvert,22.4359441,91.883166,,R163.lrps.htm
,LRP007,7.011,Km Post,Km post missing,22.4346108,91.8901663,,R163.lrps.htm
,LRP007a,7.338,Culvert,Pipe Culvert,22.4365552,91.8933886,,R163.lrps.htm
,LRP007b,7.48,Culvert,Box culvert,22.436833,91.8946941,,R163.lrps.htm
,LRP008,8.038,Km Post,Inf missing,22.4368886,91.9001667,,R163.lrps.htm
,LRP008a,8.06,Culvert,Culvert,22.4368886,91.9001667,,R163.lrps.htm
,LRP009,9.038,Km Post,Km post missing,22.4370274,91.9002222,,R163.lrps.htm
,LRP009a,9.149,Cross Road,Z 1629 Left to Raozan Right to Jelepara.,22.4413886,91.9092222,,R163.lrps.htm
,LRP009b,9.871,Culvert,Pipe Culvert,22.4421386,91.9161944,,R163.lrps.htm
,LRP010,10.042,Km Post,Kaptai 37.50 km,22.4423052,91.917666,,R163.lrps.htm
,LRP010a,10.668,Bridge,Bridge start,22.4424997,91.9237216,,R163.lrps.htm
,LRP010b,10.693,Bridge,Bridge end,22.4424997,91.9239716,,R163.lrps.htm
,LRP010c,11.395,Culvert,Pipe culvert,22.4434997,91.9303049,,R163.lrps.htm
,LRP011,11.41,Km Post,Information missing,22.4439441,91.9305549,,R163.lrps.htm
,LRP011a,11.795,Culvert,Box Culvert,22.4450274,91.9351386,,R163.lrps.htm
