,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start of Road from N3 at Mawna.,24.2262216,90.4096944,,R314.lrps.htm
,LRPSa,0.352,Culvert,Box culvert,24.2280827,90.4123889,,R314.lrps.htm
,LRP001,1.056,Km Post,Gafargaon 44 km,24.2307493,90.4185271,,R314.lrps.htm
,LRP002,2.063,Km Post,Information missing,24.2318049,90.4282216,,R314.lrps.htm
,LRP003,3.064,Km Post,"Gafargaon 42 km,Bormi 9 km",24.2317216,90.4380552,,R314.lrps.htm
,LRP003a,3.319,Culvert,Box culvert,24.2317216,90.4405552,,R314.lrps.htm
,LRP004,4.063,Km Post,Gafargaon 40 km,24.2315549,90.4478608,,R314.lrps.htm
,LRP004a,4.978,Culvert,Pipe Culvert,24.2314716,90.4568333,,R314.lrps.htm
,LRP005,5.066,Km Post,"Gafargaon 39 km,Bormi 6 km",24.2314993,90.4577222,,R314.lrps.htm
,LRP005a,5.084,Culvert,Pipe Culvert,24.2315271,90.4578889,,R314.lrps.htm
,LRP005b,5.777,Culvert,Box culvert,24.2319993,90.4646667,,R314.lrps.htm
,LRP006,6.072,Km Post,Information missing,24.2321104,90.4508889,,R314.lrps.htm
,LRP006a,6.769,Culvert,Box culvert,24.2323327,90.4743604,,R314.lrps.htm
,LRP007,7.082,Km Post,Gafargaon 38 km,24.232666,90.477416,,R314.lrps.htm
,LRP007a,7.539,Culvert,Box culvert,24.2337497,90.4817493,,R314.lrps.htm
,LRP007b,7.945,Culvert,Box culvert,24.2346663,90.4856108,,R314.lrps.htm
,LRP008,8.08,Km Post,Information missing,24.2349719,90.4869163,,R314.lrps.htm
,LRP008a,8.553,Rail Road Crossing,Rail Road Crossing,24.2367219,90.4909719,,R314.lrps.htm
,LRP009,9.076,Km Post,"Gafargaon 36 km,Bormi 3 km",24.2402497,90.4944163,,R314.lrps.htm
,LRP010,10.076,Km Post,Km post missing,24.244083,90.5029167,,R314.lrps.htm
,LRP011,11.066,Km Post,Information missing,24.2463608,90.5121111,,R314.lrps.htm
,LRP011a,11.111,Culvert,Multiple Box Culvert,24.2463608,90.5125556,,R314.lrps.htm
,LRP012,12.066,Km Post,Km post missing,24.2452219,90.5218604,,R314.lrps.htm
,LRP012a,12.381,Bridge,Bridge start,24.2476663,90.5219716,,R314.lrps.htm
,LRP012b,12.485,Bridge,Bridge end,24.248333,90.5226382,,R314.lrps.htm
,LRP013,13.066,Km Post,Km post missing,24.2532222,90.5227493,,R314.lrps.htm
,LRP014,13.49,Km Post,"Gafargaon 31 km,Trimohni 5 km",24.2563611,90.5206938,,R314.lrps.htm
,LRP014a,13.828,Culvert,Pipe Culvert,24.2595278,90.5199716,,R314.lrps.htm
,LRP014b,14.052,Bridge,Bridge start,24.2613056,90.519916,,R314.lrps.htm
,LRP014c,14.089,Bridge,Bridge end,24.2615833,90.519916,,R314.lrps.htm
,LRP014d,14.214,Culvert,Pipe Culvert,24.2625556,90.5199438,,R314.lrps.htm
,LRP014e,14.318,Bridge,Bridge start,24.2636667,90.5198327,,R314.lrps.htm
,LRP014f,14.366,Bridge,Bridge end,24.2640556,90.5197771,,R314.lrps.htm
,LRP015,14.49,Km Post,Gafargaon 30 km,24.2651667,90.5199993,,R314.lrps.htm
,LRP015a,15.167,Bridge,Bridge start,24.2708604,90.5214993,,R314.lrps.htm
,LRP015b,15.183,Bridge,Bridge end,24.2709716,90.5215271,,R314.lrps.htm
,LRP016,15.49,Km Post,Km post missing,24.2736938,90.5217216,,R314.lrps.htm
,LRP016a,16.14,Culvert,Pipe Culvert,24.2787493,90.5242493,,R314.lrps.htm
,LRP016b,16.35,Culvert,Pipe Culvert,24.278416,90.5265827,,R314.lrps.htm
,LRP017,16.511,Km Post,Bormi 4 km,24.2783882,90.5272216,,R314.lrps.htm
,LRP017a,16.726,Culvert,Pipe Culvert,24.2780549,90.5293327,,R314.lrps.htm
,LRP017b,16.843,Culvert,Pipe Culvert,24.2778327,90.5304716,,R314.lrps.htm
,LRP018,17.342,Km Post,Bormi 5 km,24.2744993,90.5358052,,R314.lrps.htm
,LRP018a,17.507,Culvert,Pipe Culvert,24.2756382,90.2756382,,R314.lrps.htm
,LRP018b,17.742,Culvert,Pipe Culvert,24.2736104,90.5378608,,R314.lrps.htm
,LRP018c,17.792,Culvert,Pipe Culvert,24.2733882,90.5383052,,R314.lrps.htm
,LRP018d,17.897,Culvert,Pipe Culvert,24.2728882,90.5391663,,R314.lrps.htm
,LRP018e,18.244,Culvert,Pipe Culvert,24.2731104,90.5425274,,R314.lrps.htm
,LRP019,18.504,Km Post,Km post missing,24.2731938,90.5449997,,R314.lrps.htm
,LRP019a,18.507,Culvert,Pipe Culvert,24.2733604,90.2733604,,R314.lrps.htm
,LRP019b,18.533,Others,End of Bituminous road,24.273166,90.5452774,,R314.lrps.htm
,LRP019c,18.604,Bridge,Under Construction bridge,24.2729716,90.5458886,,R314.lrps.htm
,LRP019d,18.712,Bridge,Under Construction bridge /Start of Mymensingh Road Division,24.2728327,90.5469719,,R314.lrps.htm
,LRP019d,18.712,Bridge,Under Construction bridge /Start of Mymensingh Road Division,24.2728327,90.5469719,,R314.lrps.htm
,LRP019e,18.757,Others,Road Restarted After Bridge,24.2726382,90.5473052,,R314.lrps.htm
,LRP020,19.507,Km Post,Km post missing,24.2753604,90.5526667,,R314.lrps.htm
,LRP020a,20.316,Culvert,Box culvert,24.279916,90.55825,,R314.lrps.htm
,LRP021,20.507,Km Post,Km post missing,24.2805549,90.5600556,,R314.lrps.htm
,LRP021a,21.069,Culvert,Pipe Culvert,24.2819716,90.5646389,,R314.lrps.htm
,LRP021b,21.341,Others,Km post missing,24.2836941,90.5663333,,R314.lrps.htm
,LRP021c,21.405,Others,End of HBB Road,24.2839163,90.5668882,,R314.lrps.htm
,LRP022,21.456,Km Post,Inforormation missing,24.2839441,90.5673327,,R314.lrps.htm
,LRP022a,21.496,Culvert,Box culvert,24.2838886,90.5677216,,R314.lrps.htm
,LRP022b,21.595,Bridge,Baily Bridge start,24.284583,90.568166,,R314.lrps.htm
,LRP022c,21.639,Bridge,Baily Bridge end,24.2845552,90.5686104,,R314.lrps.htm
,LRP022d,22.22,Culvert,Multiple Box culvert,24.2882774,90.5715271,,R314.lrps.htm
,LRP023,22.436,Km Post,Information missing,24.2896386,90.572666,,R314.lrps.htm
,LRP023a,22.922,Bridge,Baily Bridge start,24.2924441,90.5752493,,R314.lrps.htm
,LRP023b,22.94,Bridge,Baily Bridge end,24.2926386,90.5752771,,R314.lrps.htm
,LRP024,23.391,Km Post,Gafargaon 20 km,24.2961386,90.5768882,,R314.lrps.htm
,LRP024a,23.759,Culvert,Pipe culvert,24.2989719,90.5757216,,R314.lrps.htm
,LRP024b,24.038,Culvert,Box culvert,24.3006667,90.574916,,R314.lrps.htm
,LRP024c,24.115,Culvert,Box culvert,24.3013056,90.5748049,,R314.lrps.htm
,LRP025,24.407,Km Post,Information missing,24.3033889,90.5758049,,R314.lrps.htm
,LRP025a,24.493,Culvert,Box culvert,24.3034167,90.5766104,,R314.lrps.htm
,LRP025b,24.748,Culvert,Box culvert,24.3035833,90.5789993,,R314.lrps.htm
,LRP026,25.391,Km Post,Bormi 13 km,24.3063056,90.5837497,,R314.lrps.htm
,LRP026a,25.531,Bridge,Bridge start,24.3072222,90.5846386,,R314.lrps.htm
,LRP026b,25.541,Bridge,Bridge end,24.3071944,90.5847497,,R314.lrps.htm
,LRP026c,25.859,Culvert,Box culvert,24.3096389,90.584333,,R314.lrps.htm
,LRP026d,26.226,Culvert,Box culvert,24.3125833,90.5828882,,R314.lrps.htm
,LRP027,26.391,Km Post,Km post missing,24.3139444,90.5682493,,R314.lrps.htm
,LRP027a,26.576,Bridge,Bridge start,24.3154722,90.5819438,,R314.lrps.htm
,LRP027b,26.586,Culvert,Bridge end,24.3155833,90.5819438,,R314.lrps.htm
,LRP027c,26.762,Culvert,Pipe culvert,24.3156389,90.5818882,,R314.lrps.htm
,LRP027d,27.072,Culvert,Box Culvert,24.3197493,90.5815827,,R314.lrps.htm
,LRP028,27.386,Km Post,Information missing,24.3220827,90.5826938,,R314.lrps.htm
