Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic,source_file
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),R301.traffic.htm
R301-1,"Tongi (road start, int with N3) - Mirer bazar (Int.with N105)",LRPS,0,0,LRP005,1898,6.946,6.946,250.0,1852.0,1710.0,1188.0,573.0,1581.0,219.0,2013.0,2564.0,986.0,211.0,639.0,3.0,12936.0,853.0,13789.0,13789.0,R301.traffic.htm
R301-2,Mirer bazar (Int.with N105) - Arikhola (int with Z3010),LRP005,1898,6.946,LRP015,1550,16.655,9.709,250.0,1852.0,1710.0,1188.0,573.0,1581.0,219.0,2013.0,2564.0,986.0,211.0,639.0,3.0,12936.0,853.0,13789.0,13789.0,R301.traffic.htm
R301-3,Arikhola (int with Z3010) - Arikhola (Int.with Z3025),LRP015,1550,16.655,LRP015,2142,17.247,0.592,118.0,1674.0,1253.0,926.0,408.0,1155.0,141.0,860.0,2037.0,771.0,370.0,1038.0,0.0,9343.0,1408.0,10751.0,10751.0,R301.traffic.htm
R301-4,Arikhola (Int.with Z3025) - Kaliganj (Int.with R302),LRP015,2142,17.247,LRP018,82,18.22,0.973,118.0,1674.0,1253.0,926.0,408.0,1155.0,141.0,860.0,2037.0,771.0,370.0,1038.0,0.0,9343.0,1408.0,10751.0,10751.0,R301.traffic.htm
R301-5,Kaliganj (Int.with R302) - Ghorashal (int with Z2039 & Z2047),LRP018,82,18.22,LRP022,2777,24.93,6.710,118.0,1674.0,1253.0,926.0,408.0,1155.0,141.0,860.0,2037.0,771.0,370.0,1038.0,0.0,9343.0,1408.0,10751.0,10751.0,R301.traffic.htm
R301-6,Ghorashal (int with Z2039 & Z2047) - Gorashal Tan Station (int with Z2037),LRP022,2777,24.93,LRP022,4636,26.789,1.859,118.0,1674.0,1253.0,926.0,408.0,1155.0,141.0,860.0,2037.0,771.0,370.0,1038.0,0.0,9343.0,1408.0,10751.0,10751.0,R301.traffic.htm
R301-7,Gorashal Tan Station (int with Z2037) - Asmandirchar (int with Z2045),LRP022,4636,26.789,LRP031,88,31.208,4.419,118.0,1674.0,1253.0,926.0,408.0,1155.0,141.0,860.0,2037.0,771.0,370.0,1038.0,0.0,9343.0,1408.0,10751.0,10751.0,R301.traffic.htm
R301-8,"Asmandirchar (int with Z2045) - Panchdona (road end, int with N2)",LRP031,88,31.208,LRP031,1917,33.037,1.829,118.0,1674.0,1253.0,926.0,408.0,1155.0,141.0,860.0,2037.0,771.0,370.0,1038.0,0.0,9343.0,1408.0,10751.0,10751.0,R301.traffic.htm
,,,,,,,,,,,,,,,,,,,,,,,,,,R301.traffic.htm
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,,R301.traffic.htm
