,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start from Boro bazar more infront of traffic is land intersection at R747 & R745 & R748 Chuadanga.,23.6453052,88.8450552,,R748.lrps.htm
,LRPSa,0.779,Culvert,Slab Culvert,23.6399441,88.8405274,,R748.lrps.htm
,LRP001,1.04,Km Post,Kaliganj 65 km,23.6387497,88.838333,,R748.lrps.htm
,LRP001a,1.49,Culvert,Slab Culvert,23.6384997,88.8338886,,R748.lrps.htm
,LRP002,2.04,Km Post,Jibonagar 30 km Jessore 94 km,23.6381386,88.8286104,,R748.lrps.htm
,LRP003,3.04,Km Post,Jibonagar 29 km,23.6348608,88.8193604,,R748.lrps.htm
,LRP003a,3.79,Culvert,Pipe Culvert,23.6322216,88.8126944,,R748.lrps.htm
,LRP003b,3.88,Culvert,Pipe Culvert,23.6317493,88.8120278,,R748.lrps.htm
,LRP004,4.04,Km Post,Jibonagar 28 km Jessore 91 km,23.6307493,88.8111111,,R748.lrps.htm
,LRP005,5.04,Km Post,Jibonagar 27 km Jessore 90 km,23.6238882,88.8044722,,R748.lrps.htm
,LRP005a,5.176,Culvert,Box Culvert,23.6230827,88.8035833,,R748.lrps.htm
,LRP005b,5.581,Culvert,Box Culvert,23.6212771,88.8000833,,R748.lrps.htm
,LRP006,6.03,Km Post,Jibonnagar 26 km,23.6194438,88.7962219,,R748.lrps.htm
,LRP006a,6.212,Culvert,Box Culvert,23.618666,88.7946386,,R748.lrps.htm
,LRP007,7.05,Km Post,Jibonnagar 25 km Kaliganj 59 km,23.6149722,88.7875552,,R748.lrps.htm
,LRP007a,7.757,Culvert,Box Culvert,23.6094722,88.7841941,,R748.lrps.htm
,LRP008,8.04,Km Post,Jibannagar 24 km,23.6072222,88.7829438,,R748.lrps.htm
,LRP008a,8.84,Culvert,Box Culvert,23.6005,88.781666,,R748.lrps.htm
,LRP009,9.04,Km Post,Jibannagar 23 km Kaliganj 57 km,23.5985274,88.782416,,R748.lrps.htm
,LRP010,10.04,Km Post,Jassore 86+ mkm Jibannagar 22 km,23.5903052,88.7858608,,R748.lrps.htm
,LRP010a,10.468,Culvert,Box Culvert,23.5876108,88.797083,,R748.lrps.htm
,LRP010b,11.06,Culvert,Box culvert,23.5831382,88.7916663,,R748.lrps.htm
,LRP011,11.065,Km Post,Jibannagar 21 km Kaliganj 55 km,23.5830827,88.7916941,,R748.lrps.htm
,LRP012,12.045,Km Post,Jibannagar 20 km Jessore 84 km,23.5745271,88.7924997,,R748.lrps.htm
,LRP013,13.045,Km Post,Jibannagar 19 km Kaliganj53 km,23.566666,88.7973886,,R748.lrps.htm
,LRP014,14.045,Km Post,Jibannagar 18 km Jessore 82 km,23.55875,88.793333,,R748.lrps.htm
,LRP015,15.025,Km Post,Jibannagar 17 km Kaliganj 51 km,23.5508611,88.7905552,,R748.lrps.htm
,LRP015a,15.525,Culvert,Box Culvert,23.5467219,88.792083,,R748.lrps.htm
,LRP015b,15.998,Culvert,Box Culvert,23.5444441,88.7959997,,R748.lrps.htm
,LRP016,16.055,Km Post,Jibannagar 16 km Jessore 80 km,23.5441941,88.7964163,,R748.lrps.htm
,LRP016a,16.651,Rail Road Crossing,Ishwardi-Khulana rail,23.541333,88.8013889,,R748.lrps.htm
,LRP016b,16.862,Culvert,Box Culvert,23.5396386,88.8022222,,R748.lrps.htm
,LRP017,17.035,Km Post,Jibannagar 15 km Jessore79 km,23.5381108,88.8028889,,R748.lrps.htm
,LRP017a,17.327,Culvert,Box Culvert,23.5359441,88.8028889,,R748.lrps.htm
,LRP018,18.035,Km Post,Jibannagar 14 km,23.5301104,88.8071667,,R748.lrps.htm
,LRP018a,18.375,"Side Road, Right",R 749 To Mujibnagar,23.5272771,88.8076944,,R748.lrps.htm
,LRP018b,18.53,Culvert,Box Culvert,23.5258882,88.8084444,,R748.lrps.htm
,LRP019,19.025,Km Post,Jibannagar 13 km Kaliganj 47 km,23.5218327,88.81025,,R748.lrps.htm
,LRP020,20.045,Km Post,Jessore 76 km Jibannagar 12 km,23.5133333,88.8141389,,R748.lrps.htm
,LRP021,21.025,Km Post,Jibannagar 11 km Kaliganj 45 km,23.5064167,88.8197493,,R748.lrps.htm
,LRP021a,21.113,Culvert,Box Culvert,23.5060278,88.820416,,R748.lrps.htm
,LRP022,22.045,Km Post,Jessore 74 km Jibannagar 10 km,23.5,88.8268604,,R748.lrps.htm
