,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start from Bhanga More and Intersection of N805 and N804 &N8.,23.3902219,89.9837497,,N805.lrps.htm
,LRP001,0.645,Km Post,Bhatiapara 37 km,23.3912219,89.977666,,N805.lrps.htm
,LRP001a,0.965,Culvert,Box culvert,23.3918052,89.9744993,,N805.lrps.htm
,LRP001b,0.988,Culvert,Box culvert,23.391833,89.9742216,,N805.lrps.htm
,LRP002,1.645,Km Post,Bhatiapara 36 km,23.3936386,89.9682771,,N805.lrps.htm
,LRP002a,1.788,Culvert,Box culvert,23.3941386,89.9670827,,N805.lrps.htm
,LRP002b,2.012,Culvert,Box culvert,23.3949997,89.9651389,,N805.lrps.htm
,LRP002c,2.4,Culvert,Box culvert,23.3964719,89.9617222,,N805.lrps.htm
,LRP003,2.67,Km Post,Gopalganj 64 km,23.3974441,89.9594722,,N805.lrps.htm
,LRP003a,3,Culvert,Box culvert,23.3987219,89.9565278,,N805.lrps.htm
,LRP003b,3.195,Culvert,Box culvert,23.3994441,89.9548056,,N805.lrps.htm
,LRP004,3.67,Km Post,Km post missing,23.4013611,89.9502778,,N805.lrps.htm
,LRP004a,3.82,Culvert,Box culvert,23.4016667,89.9491108,,N805.lrps.htm
,LRP004b,4.155,Bridge,Start of bridge,23.4019167,89.9457497,,N805.lrps.htm
,LRP004c,4.275,Bridge,End of bridge,23.402,89.9445274,,N805.lrps.htm
,LRP004d,4.52,Culvert,Box culvert,23.4021111,89.9422774,,N805.lrps.htm
,LRP005,4.66,Km Post,Khulna 118 km,23.4021944,89.9409441,,N805.lrps.htm
,LRP005a,5.02,"Side Road, Right",Z8067 to nagarkanda,23.4024167,89.937083,,N805.lrps.htm
,LRP005b,5.456,Culvert,Box culvert,23.4016111,89.933333,,N805.lrps.htm
,LRP006,5.61,Km Post,Khulna 117 km,23.4006111,89.932166,,N805.lrps.htm
,LRP006a,5.63,Bridge,Start of bridge,23.4005556,89.9320549,,N805.lrps.htm
,LRP006b,5.712,Bridge,End of bridge,23.4,89.9314993,,N805.lrps.htm
,LRP006c,6.293,Culvert,Box culvert,23.3962497,89.9275549,,N805.lrps.htm
,LRP007,6.62,Km Post,Jessore 86 km,23.3939719,89.9252216,,N805.lrps.htm
,LRP007a,6.674,Bridge,Start of bridge,23.3938052,89.9250271,,N805.lrps.htm
,LRP007b,6.738,Bridge,End of bridge,23.3933886,89.9246104,,N805.lrps.htm
,LRP007c,6.992,Culvert,Box culvert,23.3918052,89.9229438,,N805.lrps.htm
,LRP007d,7.518,Culvert,Box culvert,23.3883886,89.919416,,N805.lrps.htm
