Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic
N7-15,Al-Hera Bus stand (Int.with N712)-Int.with Z7460(Kaliganj),LRP106,598,106.639,LRP119,102,119.74,13.101,33.0,1286.0,655.0,595.0,845.0,298.0,83.0,365.0,1779.0,1324.0,874.0,504.0,0.0,7263.0,1378.0,8641.0,8641.0
N7-16,Int.with Z7460(Kaliganj)-Kaliganj Bus stand (Int.with R748),LRP119,102,119.74,LRP119,720,120.358,0.618,33.0,1286.0,655.0,595.0,845.0,298.0,83.0,365.0,1779.0,1324.0,874.0,504.0,0.0,7263.0,1378.0,8641.0,8641.0
N7-17,Kaliganj Bus stand (Int.with R748)-Dulal Mondia Bazar Z7057,LRP119,720,120.358,LRP122,810,123.448,3.090,166.0,1759.0,749.0,948.0,519.0,240.0,252.0,307.0,941.0,898.0,833.0,159.0,0.0,6779.0,992.0,7771.0,7771.0
N7-18,Dulal Mondia Bazar Z7057 -Churamonkathi Bazar ( Z7031),LRP122,810,123.448,LRP141,440,142.142,18.694,166.0,1759.0,749.0,948.0,519.0,240.0,252.0,307.0,941.0,898.0,833.0,159.0,0.0,6779.0,992.0,7771.0,7771.0
N7-19,Churamonkathi Bazar ( Z7031)-Palbari (Int.with N707),LRP141,440,142.142,LRP146,450,147.121,4.979,166.0,1759.0,749.0,948.0,519.0,240.0,252.0,307.0,941.0,898.0,833.0,159.0,0.0,6779.0,992.0,7771.0,7771.0
N7-20,Palbari (Int.with N707)-Chanchra More (Int.with N706),LRP146,450,147.121,LRP150,570,151.261,4.140,115.0,1818.0,932.0,970.0,479.0,642.0,159.0,314.0,1559.0,1413.0,1063.0,1174.0,0.0,8401.0,2237.0,10638.0,10638.0
N7-21,Chanchra More (Int.with N706) -Murail (Int.with N707),LRP150,570,151.261,LRP154,1130,155.578,4.317,115.0,1818.0,932.0,970.0,479.0,642.0,159.0,314.0,1559.0,1413.0,1063.0,1174.0,0.0,8401.0,2237.0,10638.0,10638.0
N7-22,Murail (Int.with N707) - Rajarhat R755,LRP154,1130,155.578,LRP156,600,157.078,1.500,115.0,1818.0,932.0,970.0,479.0,642.0,159.0,314.0,1559.0,1413.0,1063.0,1174.0,0.0,8401.0,2237.0,10638.0,10638.0
N7-23,Rajarhat R755- Prembag (Int.with Z7049),LRP156,600,157.078,LRP170,650,171.168,14.090,115.0,1818.0,932.0,970.0,479.0,642.0,159.0,314.0,1559.0,1413.0,1063.0,1174.0,0.0,8401.0,2237.0,10638.0,10638.0
N7-24,Prembag (Int.with Z7049) -Prembag Int.with Z7048,LRP170,650,171.168,LRP171,376,171.894,0.726,115.0,1818.0,932.0,970.0,479.0,642.0,159.0,314.0,1559.0,1413.0,1063.0,1174.0,0.0,8401.0,2237.0,10638.0,10638.0
N7-25,Prembag Int.with Z7048 -Phultala Int.with Z7030,LRP171,376,171.894,LRP190,195,190.105,18.211,115.0,1818.0,932.0,970.0,479.0,642.0,159.0,314.0,1559.0,1413.0,1063.0,1174.0,0.0,8401.0,2237.0,10638.0,10638.0
N7-26,Phultala Int.with Z7030 -Phultala (Int.with Z7043),LRP190,195,190.105,LRP190,555,190.465,0.360,107.0,1988.0,300.0,443.0,338.0,214.0,165.0,227.0,2677.0,1835.0,1576.0,2099.0,0.0,8294.0,3675.0,11969.0,11969.0
N7-27,"Phultala (Int.with Z7043) - Afilgat, Fultala (Int.with N709)",LRP190,555,190.465,LRP195,186,195.154,4.689,107.0,1988.0,300.0,443.0,338.0,214.0,165.0,227.0,2677.0,1835.0,1576.0,2099.0,0.0,8294.0,3675.0,11969.0,11969.0
N7-28,"Afilgat, Fultala (Int.with N709)-Fulbari Railgate (Int.with Z7040)",LRP195,186,195.154,LRP201,925,201.9,6.746,107.0,1988.0,300.0,443.0,338.0,214.0,165.0,227.0,2677.0,1835.0,1576.0,2099.0,0.0,8294.0,3675.0,11969.0,11969.0
N7-29,Fulbari Railgate (Int.with Z7040) -Power house More (Int.with R760) (Left),LRP201,925,201.9,LRP210,349,210.364,8.464,107.0,1988.0,300.0,443.0,338.0,214.0,165.0,227.0,2677.0,1835.0,1576.0,2099.0,0.0,8294.0,3675.0,11969.0,11969.0
N7-30,Power house More (Int.with R760) -Rupsha Ghat Start,LRP210,349,210.364,LRP210,3685,213.7,3.336,107.0,1988.0,300.0,443.0,338.0,214.0,165.0,227.0,2677.0,1835.0,1576.0,2099.0,0.0,8294.0,3675.0,11969.0,11969.0
N7-31,Rupsha Ghat End-Rupsha (Int.with R771),LRP210,3685,213.7,LRP210,4325,214.34,0.640,87.0,1734.0,824.0,465.0,712.0,544.0,252.0,475.0,1176.0,2086.0,1366.0,1399.0,0.0,8355.0,2765.0,11120.0,11120.0
N7-32,Rupsha (Int.with R771) -Kudir battala (Int.with N709),LRP210,4325,214.34,LRP219,470,218.961,4.621,87.0,1734.0,824.0,465.0,712.0,544.0,252.0,475.0,1176.0,2086.0,1366.0,1399.0,0.0,8355.0,2765.0,11120.0,11120.0
N7-33,Kudir battala (Int.with N709) - Katakhali (Int.with N805),LRP219,470,218.961,LRP223,715,223.226,4.265,87.0,1734.0,824.0,465.0,712.0,544.0,252.0,475.0,1176.0,2086.0,1366.0,1399.0,0.0,8355.0,2765.0,11120.0,11120.0
N7-34,"Katakhali (Int.with N805) - End of Road, Digraj",LRP223,715,223.226,LRP250,74,249.665,26.439,87.0,1734.0,824.0,465.0,712.0,544.0,252.0,475.0,1176.0,2086.0,1366.0,1399.0,0.0,8355.0,2765.0,11120.0,11120.0
,,,,,,,,,,,,,,,,,,,,,,,,,
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,
