,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start from N 405 at Nalka more Sirajganj.,24.422916,89.5963886,,R451.lrps.htm
,LRPSa,0.118,Culvert,Box Culvert,24.4237216,89.5971663,,R451.lrps.htm
,LRPSb,0.91,Bridge,Baily Bridge start,24.429666,89.6012222,,R451.lrps.htm
,LRPSc,0.96,Bridge,Baily Bridge end,24.4300827,89.6016389,,R451.lrps.htm
,LRP001,1,Km Post,Km post missing,24.4302771,89.6019444,,R451.lrps.htm
,LRP002,2,Km Post,Km post missing,24.4349997,89.6102778,,R451.lrps.htm
,LRP002a,2.586,Culvert,2 vevt Box Culvert,24.438333,89.615,,R451.lrps.htm
,LRP003,3,Km Post,Km post missing,24.4411108,89.6172771,,R451.lrps.htm
,LRP003a,3.82,Culvert,Box Culvert,24.4454719,89.6230549,,R451.lrps.htm
,LRP004,4,Km Post,Km post missing,24.445833,89.6255549,,R451.lrps.htm
,LRP004a,4.829,Culvert,2 vent Box Culvert,24.4469441,89.6324993,,R451.lrps.htm
,LRP005,5,Km Post,Km post missing,24.4472219,89.6355552,,R451.lrps.htm
,LRP005a,5.903,Monument,Durjoy Bangla,24.448333,89.643333,,R451.lrps.htm
,LRP006,6,Km Post,Km post missing,24.4486108,89.6452774,,R451.lrps.htm
,LRP006a,6.585,Bridge,Bridge start,24.448333,89.65,,R451.lrps.htm
,LRP006b,6.645,Bridge,Bridge end,24.448333,89.6505556,,R451.lrps.htm
,LRP007,7,Km Post,Km post missing,24.448333,89.6552778,,R451.lrps.htm
,LRP008,8,Km Post,Km post missing,24.4488886,89.665,,R451.lrps.htm
,LRP009,9,Km Post,Km post missing,24.4480552,89.6744438,,R451.lrps.htm
,LRP010,10,Km Post,Km post missing,24.45275,89.6828604,,R451.lrps.htm
,LRP010a,10.597,Bridge,Bridge start,24.4544444,89.6874997,,R451.lrps.htm
,LRP010b,10.637,Bridge,Bridge end,24.4547222,89.6880552,,R451.lrps.htm
,LRP010c,10.845,"Side Road, Left",Left Z 5401,24.4541667,89.6899997,,R451.lrps.htm
,LRP011,11,Km Post,Km post missing,24.4536111,89.6924997,,R451.lrps.htm
,LRP012,12,Km Post,Km post missing,24.4508333,89.7011111,,R451.lrps.htm
,LRP012a,12.337,Monument,Muktir sopan,24.4518333,89.7023333,,R451.lrps.htm
,LRP012b,12.711,Bridge,Bridge start,24.4525,89.7055556,,R451.lrps.htm
,LRP012c,12.743,Bridge,Bridge end,24.4522222,89.7061111,,R451.lrps.htm
,LRP012d,12.8,"Side Road, Right",Right Z 5402,24.4524722,89.7065,,R451.lrps.htm
,LRP013,13,Km Post,Km post missing,24.4522222,89.7105556,,R451.lrps.htm
,LRP013a,13.378,"Side Road, Right",Right R450,24.4494719,89.7143333,,R451.lrps.htm
,LRP014,14,Km Post,Km post missing,24.4548056,89.7166389,,R451.lrps.htm
,LRPE,14.44,Others,End at Hosenpur bot tala more Sirajganj,24.4581389,89.7180827,,R451.lrps.htm
,,,,,,,,R451.lrps.htm
,,,,,,,,R451.lrps.htm
