Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic,source_file
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),R211.traffic.htm
R211-1,"Itakhola (road start, )-Bandardia (Iny.with Z2033)",LRPS,0,0,LRP003,817,3.75,3.750,0.0,460.0,168.0,165.0,591.0,149.0,20.0,160.0,1202.0,392.0,174.0,248.0,0.0,3307.0,422.0,3729.0,3729.0,R211.traffic.htm
R211-2,Bandardia (Iny.with Z2033) - Shibpur (Int.with Z2036),LRP003,817,3.75,LRP005,1670,6.632,2.882,0.0,460.0,168.0,165.0,591.0,149.0,20.0,160.0,1202.0,392.0,174.0,248.0,0.0,3307.0,422.0,3729.0,3729.0,R211.traffic.htm
R211-3,Shibpur (Int.with Z2036) - Shibpur (Int.with Z2035),LRP005,1670,6.632,LRP007,481,7.459,0.827,0.0,460.0,168.0,165.0,591.0,149.0,20.0,160.0,1202.0,392.0,174.0,248.0,0.0,3307.0,422.0,3729.0,3729.0,R211.traffic.htm
R211-4,Shibpur (Int.with Z2035) - Akdaria (int with R212),LRP007,481,7.459,LRP011,648,11.662,4.203,0.0,460.0,168.0,165.0,591.0,149.0,20.0,160.0,1202.0,392.0,174.0,248.0,0.0,3307.0,422.0,3729.0,3729.0,R211.traffic.htm
R211-5,Akdaria (int with R212) - Hatirdia (Int.with Z2044),LRP011,648,11.662,LRP014,625,14.7,3.038,0.0,460.0,168.0,165.0,591.0,149.0,20.0,160.0,1202.0,392.0,174.0,248.0,0.0,3307.0,422.0,3729.0,3729.0,R211.traffic.htm
R211-6,Hatirdia (Int.with Z2044) - Hatirdia (Int.with R313),LRP014,625,14.7,LRP017,56,17.137,2.437,0.0,417.0,128.0,175.0,716.0,136.0,11.0,41.0,1321.0,701.0,327.0,120.0,0.0,3646.0,447.0,4093.0,4093.0,R211.traffic.htm
R211-7,Hatirdia (Int.with R313) - Manohardi (int with Z2049 link road),LRP017,56,17.137,LRP019,772,19.902,2.765,0.0,417.0,128.0,175.0,716.0,136.0,11.0,41.0,1321.0,701.0,327.0,120.0,0.0,3646.0,447.0,4093.0,4093.0,R211.traffic.htm
R211-8,Manohardi (int with Z2049 link road start) - Manohardi (int with Z2049 link road end),LRP019,772,19.902,LRP022,781,22.981,3.079,0.0,417.0,128.0,175.0,716.0,136.0,11.0,41.0,1321.0,701.0,327.0,120.0,0.0,3646.0,447.0,4093.0,4093.0,R211.traffic.htm
R211-9,Manohardi (int with Z2049 link road end) - Chalakchar (int with Z2122),LRP022,781,22.981,LRP025,1185,26.457,3.476,0.0,417.0,128.0,175.0,716.0,136.0,11.0,41.0,1321.0,701.0,327.0,120.0,0.0,3646.0,447.0,4093.0,4093.0,R211.traffic.htm
R211-10,Chalakchar (int with Z2122) - Motkhola (int with R312),LRP025,1185,26.457,LRP035,174,34.231,7.774,0.0,303.0,161.0,179.0,323.0,71.0,12.0,43.0,513.0,495.0,391.0,205.0,0.0,2100.0,596.0,2696.0,2696.0,R211.traffic.htm
R211-11,Motkhola (int with R312) - Bottala (int with Z3616),LRP035,174,34.231,LRP036,205,35.265,1.034,0.0,303.0,161.0,179.0,323.0,71.0,12.0,43.0,513.0,495.0,391.0,205.0,0.0,2100.0,596.0,2696.0,2696.0,R211.traffic.htm
R211-12,"Bottala (int with Z3616) - Katiadi (road end , int with R360)",LRP036,205,35.265,LRP044,2060,45.114,9.849,0.0,303.0,161.0,179.0,323.0,71.0,12.0,43.0,513.0,495.0,391.0,205.0,0.0,2100.0,596.0,2696.0,2696.0,R211.traffic.htm
,,,,,,,,,,,,,,,,,,,,,,,,,,R211.traffic.htm
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,,R211.traffic.htm
