,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start of road from R748 at Jibonnagar Bus stand,23.420916,88.8222493,,R743.lrps.htm
,LRP001,0.405,Km Post,Info missing,23.4175271,88.8212493,,R743.lrps.htm
,LRP001a,0.658,Culvert,Box Culvert,23.4154167,88.8205271,,R743.lrps.htm
,LRP001b,1.231,Culvert,Box Culvert,23.4106111,88.8186938,,R743.lrps.htm
,LRP002,1.405,Km Post,Info missing,23.409,88.8180271,,R743.lrps.htm
,LRP002a,2.065,Culvert,Box Culvert,23.4035833,88.8159444,,R743.lrps.htm
,LRP003,2.405,Km Post,Info missing,23.4005278,88.8167216,,R743.lrps.htm
,LRP003a,3.169,Culvert,Box Culvert,23.3949997,88.8209993,,R743.lrps.htm
,LRP004,3.405,Km Post,Km post missing,23.3930552,88.8222493,,R743.lrps.htm
,LRP005,4.405,Km Post,Km post missing,23.3851941,88.8268882,,R743.lrps.htm
,LRPE,4.86,Others,End of road at Duttanagar,23.381666,88.8262493,,R743.lrps.htm
,,,,,,,,R743.lrps.htm
,,,,,,,,R743.lrps.htm
