,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,"Start from N517 at park and more , Rangpur.",25.7161111,89.2623056,,N506.lrps.htm
,LRP001,0.028,Km Post,"Kurigram 50 km,Burangamari 89 km",25.7161944,89.2624444,,N506.lrps.htm
,LRP001a,0.165,Culvert,Box culvert,25.7169438,89.2635833,,N506.lrps.htm
,LRP002,1.028,Km Post,"Kurigram 49 km,chilmari 79 km",25.7211104,89.2706382,,N506.lrps.htm
,LRP002a,1.276,Culvert,Box culvert,25.7225827,89.2724716,,N506.lrps.htm
,LRP003,2.028,Km Post,Km post broken,25.7271382,89.278166,,N506.lrps.htm
,LRP003a,2.156,Culvert,Box culvert,25.7279716,89.2791938,,N506.lrps.htm
,LRP003b,2.717,Bridge,Start of bridge,25.7312493,89.2833886,,N506.lrps.htm
,LRP003c,2.737,Bridge,End of bridge,25.7313049,89.2834441,,N506.lrps.htm
,LRP004,3.025,Km Post,"Kurigram 47 km,nagesshori 69 km",25.7329993,89.2856108,,N506.lrps.htm
,LRP004a,3.076,Culvert,Box culvert,25.7333049,89.2859997,,N506.lrps.htm
,LRP004b,3.245,Round About,Right Z 5010,25.7342497,89.2872219,,N506.lrps.htm
,LRP004c,3.462,Culvert,Box culvert,25.7344441,89.2893886,,N506.lrps.htm
,LRP004d,3.695,Cross Road,,25.7341386,89.291333,,N506.lrps.htm
,LRP005,4.035,Km Post,"Lalmonirhat 40 km,Burungamari 86 km",25.7337219,89.2949441,,N506.lrps.htm
,LRP005a,4.358,Culvert,Box culvert,25.7333886,89.2981386,,N506.lrps.htm
,LRP005b,4.746,Culvert,Box culvert,25.7345274,89.3016389,,N506.lrps.htm
,LRP006,5.04,Km Post,"Patgram 123 km,nagesshori 57 km",25.7349163,89.3046389,,N506.lrps.htm
,LRP007,6.04,Km Post,"Kurigram 44 km,lalmonirhat 38 km",25.7360552,89.3145556,,N506.lrps.htm
,LRP008,7.04,Km Post,"Varungamari 82 km,Chilmari 73 km",25.7409719,89.321666,,N506.lrps.htm
,LRP008a,7.416,Culvert,Box culvert,25.744083,89.3231938,,N506.lrps.htm
,LRP009,8.035,Km Post,"Lalmonirhat 36 km,patgram 120 km",25.748083,89.327416,,N506.lrps.htm
,LRP009a,8.615,Bridge,Start of bridge R C C,25.7517778,89.3314716,,N506.lrps.htm
,LRP009b,8.646,Bridge,End of bridge R C C,25.7519722,89.3317216,,N506.lrps.htm
,LRP010,9.04,Km Post,"Kurigram 41 km,nagesshori 63 km",25.7545,89.3344719,,N506.lrps.htm
,LRP011,10.04,Km Post,"Patgram 118 km,vurungamari 79 km",25.7585556,89.3431941,,N506.lrps.htm
,LRP011a,10.353,Culvert,Box culvert,25.7591111,89.3462219,,N506.lrps.htm
,LRP012,11.04,Km Post,"Kurigram 39 km,Patgram 117 km",25.7590556,89.3531389,,N506.lrps.htm
,LRP012a,11.49,Culvert,Box culvert,25.7602222,89.3574722,,N506.lrps.htm
,LRP013,12.04,Km Post,"Kurigram 38 km,nagesshori 60 km",25.76125,89.3628333,,N506.lrps.htm
,LRP013a,12.436,Culvert,Pipe culvert,25.7622222,89.3663889,,N506.lrps.htm
,LRP014,13.035,Km Post,"Lalmonirhat 31 km,Vurungamari 76 km",25.7636944,89.3723882,,N506.lrps.htm
,LRP014a,13.913,Bridge,Start of bridge R C C,25.7661111,89.3806938,,N506.lrps.htm
,LRP014b,13.946,Bridge,End of bridge R C C,25.7661667,89.3809993,,N506.lrps.htm
,LRP015,14.035,Km Post,Km post missing,25.7665,89.3820827,,N506.lrps.htm
,LRP016,15.025,Km Post,"Chilmari 65 km,Nagesshori 67 km",25.7666389,89.3917497,,N506.lrps.htm
,LRP016a,15.952,Culvert,Box culvert,25.7673327,89.4009444,,N506.lrps.htm
