Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic,source_file
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),R160.traffic.htm
R160-1,Hathazari (int with N106) - Katirhat (int with Z1087),LRPS,0,0,LRP013,250,11.715,11.715,3.0,690.0,390.0,122.0,284.0,540.0,265.0,498.0,2790.0,488.0,210.0,169.0,0.0,6070.0,379.0,6449.0,6449.0,R160.traffic.htm
R160-2,Katirhat (int with Z1087) - Fatikchhari (int with Z1619),LRP013,250,11.715,LRP023,898,22.383,10.668,3.0,690.0,390.0,122.0,284.0,540.0,265.0,498.0,2790.0,488.0,210.0,169.0,0.0,6070.0,379.0,6449.0,6449.0,R160.traffic.htm
R160-3,Fatikchhari (int with Z1619) - Haidchakia (int with R151),LRP023,898,22.383,LRP025,980,24.44,2.057,3.0,690.0,390.0,122.0,284.0,540.0,265.0,498.0,2790.0,488.0,210.0,169.0,0.0,6070.0,379.0,6449.0,6449.0,R160.traffic.htm
R160-4,Haidchakia (int with R151) - Manikchhari (int with Z1601),LRP025,980,24.44,LRP043,440,42.77,18.330,0.0,216.0,134.0,62.0,115.0,34.0,146.0,26.0,331.0,259.0,99.0,204.0,0.0,1323.0,303.0,1626.0,1626.0,R160.traffic.htm
R160-5,Manikchhari (int with Z1601) - Jaliapara (int with R160 & Z1602),LRP043,440,42.77,LRP058,256,57.521,14.751,0.0,216.0,134.0,62.0,115.0,34.0,146.0,26.0,331.0,259.0,99.0,204.0,0.0,1323.0,303.0,1626.0,1626.0,R160.traffic.htm
R160-6,Jaliapara (int with R160 & Z1602) - Matiranga (int with Z1608),LRP058,256,57.521,LRP071,670,70.915,13.394,0.0,216.0,134.0,62.0,115.0,34.0,146.0,26.0,331.0,259.0,99.0,204.0,0.0,1323.0,303.0,1626.0,1626.0,R160.traffic.htm
R160-7,Matiranga (int with Z1608) - Khagrachhari (Int.with R162),LRP071,670,70.915,LRP087,525,86.74,15.825,0.0,216.0,134.0,62.0,115.0,34.0,146.0,26.0,331.0,259.0,99.0,204.0,0.0,1323.0,303.0,1626.0,1626.0,R160.traffic.htm
R160-8,Khagrachhari (Int.with R162) - Chengi Square Khagrachhari (int with Z1603 & Z1604),LRP087,525,86.74,LRP090,712,89.912,3.172,0.0,216.0,134.0,62.0,115.0,34.0,146.0,26.0,331.0,259.0,99.0,204.0,0.0,1323.0,303.0,1626.0,1626.0,R160.traffic.htm
,,,,,,,,,,,,,,,,,,,,,,,,,,R160.traffic.htm
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,,R160.traffic.htm
