Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic,source_file
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),R820.traffic.htm
R820-1,Kadamtoli More (int.with N802)-Konakhola(Int.with Z8002),LRPS,0,0,LRP006a,0,5.973,5.973,0.0,117.0,84.0,149.0,192.0,90.0,34.0,55.0,2446.0,851.0,274.0,1132.0,0.0,4018.0,1406.0,5424.0,5424.0,R820.traffic.htm
R820-2,Konakhola(Int.with Z8002)-Ruhitpur(Int.with Z5069),LRP006a,0,5.973,LRP007,3736,10.166,4.193,0.0,117.0,84.0,149.0,192.0,90.0,34.0,55.0,2446.0,851.0,274.0,1132.0,0.0,4018.0,1406.0,5424.0,5424.0,R820.traffic.htm
R820-3,Ruhitpur(Int.with Z5069)-Kharsur (Int.with Z8003),LRP007,3736,10.166,LRP019,2721,21.711,11.545,0.0,204.0,374.0,159.0,139.0,302.0,39.0,442.0,2621.0,505.0,114.0,641.0,0.0,4785.0,755.0,5540.0,5540.0,R820.traffic.htm
R820-4,Kharsur (Int.with Z8003)-Tikarpur(int.with Z8204),LRP019,2721,21.711,LRP024,2578,26.016,4.305,0.0,204.0,374.0,159.0,139.0,302.0,39.0,442.0,2621.0,505.0,114.0,641.0,0.0,4785.0,755.0,5540.0,5540.0,R820.traffic.htm
R820-5,Tikarpur (int.with Z8204) -Dohar (Bashtala)int with Z8207,LRP024,2578,26.016,LRP041,802,41.911,15.895,0.0,204.0,374.0,159.0,139.0,302.0,39.0,442.0,2621.0,505.0,114.0,641.0,0.0,4785.0,755.0,5540.0,5540.0,R820.traffic.htm
R820-6,Dohar (Bashtala)int with Z8207-Meghula (Int.with Z8204),LRP041,802,41.911,LRP049,888,49.591,7.680,0.0,204.0,374.0,159.0,139.0,302.0,39.0,442.0,2621.0,505.0,114.0,641.0,0.0,4785.0,755.0,5540.0,5540.0,R820.traffic.htm
R820-7,Meghula (Int.with Z8204)-Fultala(Int.with Z8205),LRP049,888,49.591,LRP055,771,55.758,6.167,0.0,183.0,244.0,164.0,138.0,210.0,76.0,356.0,1335.0,460.0,61.0,268.0,0.0,3166.0,329.0,3495.0,3495.0,R820.traffic.htm
R820-8,Fultala(Int.with Z8205)-Srinagar (Int.with N8),LRP055,771,55.758,LRPE,0,72.052,16.294,0.0,183.0,244.0,164.0,138.0,210.0,76.0,356.0,1335.0,460.0,61.0,268.0,0.0,3166.0,329.0,3495.0,3495.0,R820.traffic.htm
,,,,,,,,,,,,,,,,,,,,,,,,,,R820.traffic.htm
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,,R820.traffic.htm
