,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,"Side Road, Left","Road start at Keean bridge More ,intersection of N209, R250, N205 anf N206",24.8859441,91.868166,,N206.lrps.htm
,LRPSa,0.028,Bridge,Bridge start,24.886333,91.8682493,,N206.lrps.htm
,LRPSb,0.377,Bridge,Bridge end,24.8882497,91.8680271,,N206.lrps.htm
,LRPSc,0.825,Others,Post office More.,24.891333,91.8699438,,N206.lrps.htm
,LRP001,1,Km Post,Km post missing,24.8914997,91.8717493,,N206.lrps.htm
,LRP001a,1.368,Culvert,Box Culvert,24.8923886,91.8751382,,N206.lrps.htm
,LRP001b,1.77,Culvert,Box Culvert,24.8938052,91.8781382,,N206.lrps.htm
,LRPE,1.797,Others,Road End with N2 at Nyarpool,24.8939441,91.8783049,,N206.lrps.htm
,,,,,,,,N206.lrps.htm
,,,,,,,,N206.lrps.htm
