road,id,model_type,condition,name,lat,lon,length
N208,1007997,bridge,A,BRAMMON GRAM BOX CULVERT,24.576770323622,91.8903201307086,3.0
N208,1007998,link,Z,Sylhet 41 km,24.5818604,91.8931941,925.5362068731584
N208,1007999,bridge,B,KARIMPUR BOX CULVERT,24.58737143206,91.8945694766712,3.1
N208,1008000,bridge,A,KARIMPUR BOX CULVERT,24.5888742039325,91.8950645921348,3.1
N208,1008001,link,Z,Box Culvert,24.5898886,91.8956108,62.35442816031719
N208,1008002,link,Z,Sylhet 40 km,24.5902774,91.8960552,931.8883501921787
N208,1008003,bridge,A,KARIMPUR BOX CULVERT,24.5923768999999,91.8975248802325,3.1
N208,1008004,bridge,A,KARIMPUR BOX CULVERT,24.594668972455,91.8983419958083,3.1
N208,1008005,bridge,A,GOYESPUR,24.595673463473,91.898555057485,9.5
N208,1008006,link,Z,Box Culvert,24.5981386,91.8992497,29.04649254096843
N208,1008007,link,Z,Sylhet 39 km,24.5983886,91.899333,322.1077241693143
N208,1008008,bridge,C,Kutalpur Bridge,24.5999345760869,91.8998952804347,10.3
N208,1008009,link,Z,Box culvert,24.6011389,91.9003333,675.7314577345733
N208,1008010,bridge,A,TIKERPAR BOX CULVERT,24.6033544798099,91.9013600653206,4.5
